task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final,Motivational,Sentiment
C11,Summarise,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,0.0,0.0,0.6666666666666667,,0.0,0.0,0.0,0.0
C11,Summarise,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,1.0,0.6666666666666667,1.0,1.0,0.6666666666666667,1.0,0.33333333333333337,1.0
C11,Summarise,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667
C11,Summarise,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,1.0,0.0,0.0,1.0,0.33333333333333337,1.0,0.33333333333333337
C16,Interpret,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,0.0,0.6666666666666667,0.5,1.0,0.6666666666666667,0.33333333333333337,0.0
C16,Interpret,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
C16,Interpret,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.0,0.33333333333333337,0.33333333333333337,,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337
C16,Interpret,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,1.0,1.0,1.0,1.0,0.6666666666666667,0.33333333333333337,1.0,1.0
C17,Interpret,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,0.0,1.0,0.6666666666666667,,1.0,1.0,0.6666666666666667,1.0
C17,Interpret,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,1.0,0.0,0.0,,0.0,0.0,0.0,0.33333333333333337
C17,Interpret,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.0,0.33333333333333337,0.6666666666666667,1.0,0.0
C17,Interpret,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,0.33333333333333337,1.0,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667
C5,Idea-to-Text,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0
C5,Idea-to-Text,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,1.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,1.0
C5,Idea-to-Text,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.0,0.0,0.0,,0.0,0.0,0.0,0.33333333333333337
C5,Idea-to-Text,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,1.0,0.6666666666666667
C6,Idea-to-Text,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,0.6666666666666667,1.0
C6,Idea-to-Text,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,0.0,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337
C6,Idea-to-Text,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.0,0.0,,0.0,0.0,0.33333333333333337,0.0
C6,Idea-to-Text,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,0.6666666666666667,1.0,,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667
C8,Summarise,DeepSeek-R1-0528,c4_rbhqVR33GZrmhNE00QRi,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,0.33333333333333337,0.0,0.0,0.6666666666666667
C8,Summarise,Qwen3-235B-A22B-2507,c4_rbhqVR33GZrmhNE00QRi,0.6666666666666667,0.0,0.0,,1.0,0.6666666666666667,1.0,1.0
C8,Summarise,gemini-2.5-flash,c4_rbhqVR33GZrmhNE00QRi,0.0,0.33333333333333337,0.33333333333333337,0.5,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337
C8,Summarise,gemini-2.5-pro,c4_rbhqVR33GZrmhNE00QRi,1.0,1.0,1.0,1.0,0.0,0.33333333333333337,0.33333333333333337,0.0
