task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
C1,Idea-to-Text,DeepSeek,C_V5,0.6666666666666667,1.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
C1,Idea-to-Text,Flash,C_V5,0.0,0.33333333333333337,0.0,,0.33333333333333337,0.0,0.0,0.0
C1,Idea-to-Text,Gemini,C_V5,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0
C1,Idea-to-Text,Qwen,C_V5,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337
C11,Summarise,DeepSeek,C_V5,0.0,0.0,0.33333333333333337,,0.0,0.0,0.0,0.0
C11,Summarise,Flash,C_V5,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
C11,Summarise,Gemini,C_V5,1.0,0.33333333333333337,0.0,,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0
C11,Summarise,Qwen,C_V5,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667
C12,Summarise,DeepSeek,C_V5,0.0,0.0,1.0,,0.0,0.0,0.33333333333333337,0.0
C12,Summarise,Flash,C_V5,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667
C12,Summarise,Gemini,C_V5,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337
C12,Summarise,Qwen,C_V5,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
C14,Interpret,DeepSeek,C_V5,0.0,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,1.0,0.33333333333333337,0.33333333333333337
C14,Interpret,Flash,C_V5,0.6666666666666667,0.6666666666666667,0.33333333333333337,,0.0,0.0,0.6666666666666667,0.6666666666666667
C14,Interpret,Gemini,C_V5,0.33333333333333337,0.0,1.0,0.0,0.33333333333333337,0.33333333333333337,0.0,1.0
C14,Interpret,Qwen,C_V5,1.0,1.0,0.0,,1.0,0.6666666666666667,1.0,0.0
C15,Interpret,DeepSeek,C_V5,0.33333333333333337,0.0,0.33333333333333337,,0.6666666666666667,0.0,0.0,0.0
C15,Interpret,Flash,C_V5,0.0,0.6666666666666667,0.6666666666666667,1.0,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
C15,Interpret,Gemini,C_V5,0.6666666666666667,0.33333333333333337,1.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
C15,Interpret,Qwen,C_V5,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
C4,Idea-to-Text,DeepSeek,C_V5,1.0,1.0,0.33333333333333337,,1.0,0.0,1.0,0.0
C4,Idea-to-Text,Flash,C_V5,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
C4,Idea-to-Text,Gemini,C_V5,0.0,0.0,1.0,,0.0,0.33333333333333337,0.33333333333333337,1.0
C4,Idea-to-Text,Qwen,C_V5,0.33333333333333337,0.6666666666666667,0.0,1.0,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337
