task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
B11,Q01,Summarise,Fluency,4.0,2.0,3.0,1.0,B_V2
B11,Q02,Summarise,Coherence,4.0,3.0,2.0,1.0,B_V2
B11,Q03,Summarise,Conciseness,4.0,2.0,1.0,3.0,B_V2
B11,Q04,Summarise,Accuracy,2.0,3.0,1.0,4.0,B_V2
B11,Q05,Summarise,Sentiment match,4.0,2.0,3.0,1.0,B_V2
B11,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,B_V2
B11,Q07,Summarise,Constructiveness,4.0,3.0,2.0,1.0,B_V2
B11,Q08,Summarise,Final choice,4.0,3.0,2.0,1.0,B_V2
B17,Q01,Interpret,Fluency,3.0,2.0,4.0,1.0,B_V2
B17,Q02,Interpret,Coherence,3.0,2.0,4.0,1.0,B_V2
B17,Q03,Interpret,Conciseness,2.0,3.0,4.0,1.0,B_V2
B17,Q04,Interpret,Accuracy,1.0,4.0,3.0,2.0,B_V2
B17,Q05,Interpret,Sentiment match,4.0,3.0,2.0,1.0,B_V2
B17,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,B_V2
B17,Q07,Interpret,Constructiveness,2.0,3.0,4.0,1.0,B_V2
B17,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,B_V2
B18,Q01,Interpret,Fluency,4.0,1.0,3.0,2.0,B_V2
B18,Q02,Interpret,Coherence,3.0,2.0,4.0,1.0,B_V2
B18,Q03,Interpret,Conciseness,2.0,4.0,1.0,3.0,B_V2
B18,Q04,Interpret,Accuracy,4.0,1.0,3.0,2.0,B_V2
B18,Q05,Interpret,Sentiment match,4.0,3.0,2.0,1.0,B_V2
B18,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,B_V2
B18,Q07,Interpret,Constructiveness,2.0,3.0,4.0,1.0,B_V2
B18,Q08,Interpret,Final choice,3.0,4.0,2.0,1.0,B_V2
B5,Q01,Idea-to-Text,Fluency,4.0,2.0,3.0,1.0,B_V2
B5,Q02,Idea-to-Text,Coherence,2.0,1.0,4.0,3.0,B_V2
B5,Q03,Idea-to-Text,Conciseness,3.0,4.0,2.0,1.0,B_V2
B5,Q04,Idea-to-Text,Accuracy,4.0,2.0,3.0,1.0,B_V2
B5,Q05,Idea-to-Text,Sentiment match,3.0,2.0,4.0,1.0,B_V2
B5,Q06,Idea-to-Text,Motivational tone,2.0,3.0,1.0,4.0,B_V2
B5,Q07,Idea-to-Text,Constructiveness,2.0,1.0,4.0,3.0,B_V2
B5,Q08,Idea-to-Text,Final choice,3.0,1.0,4.0,2.0,B_V2
B6,Q01,Idea-to-Text,Fluency,3.0,2.0,4.0,1.0,B_V2
B6,Q02,Idea-to-Text,Coherence,1.0,4.0,2.0,3.0,B_V2
B6,Q03,Idea-to-Text,Conciseness,3.0,1.0,4.0,2.0,B_V2
B6,Q04,Idea-to-Text,Accuracy,,2.0,,1.0,B_V2
B6,Q05,Idea-to-Text,Sentiment match,3.0,2.0,4.0,1.0,B_V2
B6,Q06,Idea-to-Text,Motivational tone,1.0,3.0,2.0,4.0,B_V2
B6,Q07,Idea-to-Text,Constructiveness,1.0,4.0,2.0,3.0,B_V2
B6,Q08,Idea-to-Text,Final choice,1.0,3.0,4.0,2.0,B_V2
B9,Q01,Summarise,Fluency,4.0,2.0,3.0,1.0,B_V2
B9,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,B_V2
B9,Q03,Summarise,Conciseness,4.0,2.0,3.0,1.0,B_V2
B9,Q04,Summarise,Accuracy,,2.0,,1.0,B_V2
B9,Q05,Summarise,Sentiment match,3.0,2.0,4.0,1.0,B_V2
B9,Q06,Summarise,Motivational tone,1.0,3.0,4.0,2.0,B_V2
B9,Q07,Summarise,Constructiveness,3.0,4.0,2.0,1.0,B_V2
B9,Q08,Summarise,Final choice,4.0,2.0,3.0,1.0,B_V2
