"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"A14","Interpret","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","0","0","0","0","0.666666666666666","0","0","0"
"A14","Interpret","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","1","1","0.666666666666666","1","1","1","0.666666666666666","0.666666666666666"
"A14","Interpret","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","0.666666666666666","0.666666666666666","1","0.333333333333333","0","0.666666666666666","1","1"
"A14","Interpret","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.333333333333333","0.333333333333333","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"A16","Interpret","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","1","1","0.666666666666666","1","0.666666666666666","1","1","1"
"A16","Interpret","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","0","0","0","0","1","0.666666666666666","0","0"
"A16","Interpret","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","0.666666666666666","0.666666666666666","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333","0.666666666666666"
"A16","Interpret","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.333333333333333","0.333333333333333","1","0.666666666666666","0","0","0.666666666666666","0.333333333333333"
"A4","Idea-to-Text","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","1","1","1","1","0.666666666666666","1","0","1"
"A4","Idea-to-Text","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666","0.333333333333333","0.333333333333333","1","0.333333333333333"
"A4","Idea-to-Text","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","0","0","0","0.333333333333333","0","0","0.666666666666666","0"
"A4","Idea-to-Text","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.666666666666666","0.666666666666666","0.333333333333333","0","1","0.666666666666666","0.333333333333333","0.666666666666666"
"A6","Idea-to-Text","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","1","1","1","0","0.666666666666666","1","1","1"
"A6","Idea-to-Text","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","0.333333333333333","0.333333333333333","0.666666666666666","1","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"A6","Idea-to-Text","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","0","0","0.333333333333333","0.666666666666666","0","0","0","0"
"A6","Idea-to-Text","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.666666666666666","0.666666666666666","0","0.333333333333333","1","0.666666666666666","0.666666666666666","0.666666666666666"
"A8","Summarise","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","1","0","1","0.666666666666666","0","0","0","0"
"A8","Summarise","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","0.333333333333333","1","0","0","1","1","1","0.666666666666666"
"A8","Summarise","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","0","0.666666666666666","0.333333333333333","1","0.666666666666666","0.333333333333333","0.333333333333333","1"
"A8","Summarise","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.666666666666666","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666","0.333333333333333"
"A9","Summarise","DeepSeek-R1-0528","a3_4ecbb8c1e68eebfac599","0","0","1","0.333333333333333","0","0","0","0"
"A9","Summarise","Qwen3-235B-A22B-2507","a3_4ecbb8c1e68eebfac599","0.666666666666666","1","0","0.666666666666666","1","1","0.666666666666666","1"
"A9","Summarise","gemini-2.5-flash","a3_4ecbb8c1e68eebfac599","1","0.666666666666666","0.333333333333333","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"A9","Summarise","gemini-2.5-pro","a3_4ecbb8c1e68eebfac599","0.333333333333333","0.333333333333333","0.666666666666666","1","0.666666666666666","0.666666666666666","1","0.666666666666666"
