task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final,Motivational,Sentiment
C1,Idea-to-Text,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667
C1,Idea-to-Text,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,0.0,0.0,,0.6666666666666667,0.6666666666666667,1.0,0.33333333333333337
C1,Idea-to-Text,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.33333333333333337,0.33333333333333337,,0.0,0.0,0.0,0.0
C1,Idea-to-Text,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666667,1.0
C11,Summarise,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.6666666666666667,1.0,,0.0,0.0,0.0,0.0
C11,Summarise,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,1.0,0.0,0.0,1.0,0.33333333333333337,1.0,0.6666666666666667,1.0
C11,Summarise,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337
C11,Summarise,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,1.0,0.33333333333333337,0.5,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667
C12,Summarise,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.6666666666666667,1.0,,0.0,0.0,0.0,0.0
C12,Summarise,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,1.0,0.0,0.0,0.0,0.33333333333333337,1.0,0.33333333333333337,0.33333333333333337
C12,Summarise,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,1.0,0.6666666666666667,0.5,0.6666666666666667,0.33333333333333337,1.0,0.6666666666666667
C12,Summarise,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0
C14,Interpret,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0
C14,Interpret,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.0,0.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.33333333333333337
C14,Interpret,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.0,1.0,0.6666666666666667
C14,Interpret,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,1.0,1.0,1.0,0.33333333333333337,1.0,0.6666666666666667,0.0,0.0
C15,Interpret,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,1.0,0.6666666666666667,,0.6666666666666667,0.0,0.0,0.0
C15,Interpret,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666667,1.0
C15,Interpret,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667
C15,Interpret,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.6666666666666667,1.0,,1.0,0.33333333333333337,0.33333333333333337,0.33333333333333337
C4,Idea-to-Text,DeepSeek-R1-0528,c5_Bcz3izCYouYWPL3X8BWe,0.6666666666666667,0.6666666666666667,0.33333333333333337,,0.0,0.33333333333333337,1.0,0.6666666666666667
C4,Idea-to-Text,Qwen3-235B-A22B-2507,c5_Bcz3izCYouYWPL3X8BWe,0.0,0.0,0.6666666666666667,,0.33333333333333337,0.0,0.6666666666666667,0.0
C4,Idea-to-Text,gemini-2.5-flash,c5_Bcz3izCYouYWPL3X8BWe,0.33333333333333337,0.33333333333333337,0.0,,1.0,0.6666666666666667,0.0,0.33333333333333337
C4,Idea-to-Text,gemini-2.5-pro,c5_Bcz3izCYouYWPL3X8BWe,1.0,1.0,1.0,1.0,0.6666666666666667,1.0,0.33333333333333337,1.0
