task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
C10,Summarise,DeepSeek,C_V2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C10,Summarise,Flash,C_V2,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667,1.0,0.33333333333333337,0.33333333333333337
C10,Summarise,Gemini,C_V2,1.0,0.33333333333333337,1.0,,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0
C10,Summarise,Qwen,C_V2,0.6666666666666667,1.0,0.6666666666666667,1.0,1.0,0.6666666666666667,1.0,0.6666666666666667
C12,Summarise,DeepSeek,C_V2,0.0,0.0,1.0,,0.33333333333333337,0.0,1.0,0.33333333333333337
C12,Summarise,Flash,C_V2,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667
C12,Summarise,Gemini,C_V2,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.0,0.6666666666666667,0.6666666666666667,0.0
C12,Summarise,Qwen,C_V2,1.0,1.0,0.0,,1.0,1.0,0.0,1.0
C15,Interpret,DeepSeek,C_V2,0.0,0.0,0.6666666666666667,1.0,0.6666666666666667,0.0,0.0,0.0
C15,Interpret,Flash,C_V2,1.0,0.6666666666666667,0.33333333333333337,,0.0,0.6666666666666667,0.6666666666666667,0.6666666666666667
C15,Interpret,Gemini,C_V2,0.6666666666666667,0.33333333333333337,1.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337
C15,Interpret,Qwen,C_V2,0.33333333333333337,1.0,0.0,,1.0,1.0,1.0,1.0
C18,Interpret,DeepSeek,C_V2,0.33333333333333337,0.33333333333333337,1.0,,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.33333333333333337
C18,Interpret,Flash,C_V2,0.0,0.6666666666666667,0.0,1.0,1.0,0.33333333333333337,1.0,0.0
C18,Interpret,Gemini,C_V2,1.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0
C18,Interpret,Qwen,C_V2,0.6666666666666667,1.0,0.33333333333333337,,0.33333333333333337,1.0,0.6666666666666667,0.6666666666666667
C4,Idea-to-Text,DeepSeek,C_V2,0.0,0.6666666666666667,0.33333333333333337,,1.0,0.33333333333333337,1.0,0.0
C4,Idea-to-Text,Flash,C_V2,0.6666666666666667,1.0,0.6666666666666667,,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337
C4,Idea-to-Text,Gemini,C_V2,0.33333333333333337,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666667
C4,Idea-to-Text,Qwen,C_V2,1.0,0.33333333333333337,0.0,1.0,0.33333333333333337,1.0,0.33333333333333337,1.0
C6,Idea-to-Text,DeepSeek,C_V2,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,,0.33333333333333337
C6,Idea-to-Text,Flash,C_V2,0.0,0.33333333333333337,0.0,0.5,0.33333333333333337,0.0,,1.0
C6,Idea-to-Text,Gemini,C_V2,0.6666666666666667,0.0,1.0,0.0,0.0,0.33333333333333337,,0.0
C6,Idea-to-Text,Qwen,C_V2,0.33333333333333337,0.6666666666666667,0.33333333333333337,,0.6666666666666667,0.6666666666666667,,0.6666666666666667
