"Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Idea-to-Text","DeepSeek","42.0","42.0","0.09336330607598152","0.022332633964103017","0.010304198117181852","0.00716891690462648","0.18784636577262784","0.5734065934065934","0.282724861345551","0.8393625124347659","3.2049417224701964","0.8393625124347659","0.9801156973108192","0.8791473150253296","0.9094029545783997","0.8939835369586945"
"Idea-to-Text","Flash","50.2","50.2","0.08608082854891366","0.025978570040374856","0.010857444143363594","0.0071569089882668165","0.12783623414442427","0.4555311355311355","0.19857073432946076","0.8849614994934145","3.8391275361606843","0.8849614994934145","1.0","0.8747529745101928","0.9007887423038483","0.8875353991985321"
"Idea-to-Text","Gemini","31.6","31.6","0.15661946107866412","0.06279552730718915","0.03883310688726575","0.01889550117178597","0.25868977891437056","0.5942857142857143","0.3599424876333512","0.9156399998904743","2.4060872442371215","0.9156399998904743","1.0","0.8937438309192658","0.9166794419288635","0.9050418913364411"
"Idea-to-Text","Qwen","39.4","39.4","0.17250222577069105","0.0950027999365762","0.04434620552939677","0.020749681718762743","0.24313389087692494","0.6742124542124542","0.3559525772579684","0.912626854569579","2.993639691342934","0.912626854569579","1.0","0.894080400466919","0.9356089890003204","0.9143473923206329"
"Interpret","DeepSeek","53.5","53.5","0.12881270405308518","0.032268307183121056","0.01100582112035423","0.006513029120708912","0.1466847086364169","0.14352398205501665","0.13686971799608702","0.9109826183272892","0.9673492325714441","0.9109826183272892","1.0","0.8429483354091645","0.8659631013870239","0.8541837334632874"
"Interpret","Flash","83.1","83.1","0.1766869741717211","0.051924454869599825","0.025014623059798114","0.014121820757792438","0.17903438320454595","0.2269809954824733","0.18434895170189286","0.8098918499744844","1.5398798733146357","0.8098918499744844","0.9949741090466038","0.8650342106819153","0.8848100066184997","0.8745760023593903"
"Interpret","Gemini","46.4","46.4","0.14292534870794865","0.05476013945529081","0.018463975097969508","0.009566634929601336","0.21890589569160998","0.16425156838218263","0.1776425644474886","0.8215528616196602","0.8366842579719677","0.8215528616196602","0.9904761904761905","0.8834230959415436","0.8838580191135407","0.8835163533687591"
"Interpret","Qwen","91.9","91.90","0.21469610783134224","0.0765091632786195","0.02730309013515852","0.011880631664447461","0.15635610495194427","0.23617841360370337","0.18321151079522224","0.8188932839816896","1.519076545452716","0.8188932839816896","0.9965811965811966","0.8575435400009155","0.8915025293827057","0.8740576088428498"
"Summarise","DeepSeek","16.30","16.30","0.03608570585785572","0.02113495100467723","0.013588552173034965","0.010143412301954424","0.7284453781512605","0.19326051621334642","0.30300723905771065","0.9826086956521738","0.27160512133218123","0.9826086956521738","1.0","0.9010527908802033","0.8664662480354309","0.8833875119686126"
"Summarise","Flash","24.60","24.60","0.11451175790488526","0.06083319178412829","0.034128672890602924","0.016992590077721824","0.43736179529282976","0.19207711889787363","0.2621562491072863","0.958243799153055","0.4267086382016025","0.958243799153055","1.0","0.9161369800567627","0.8870748400688171","0.9013251721858978"
"Summarise","Gemini","23.100","23.100","0.10841540155863949","0.06125595611056024","0.029945280905820153","0.015268073066358367","0.4615467347298011","0.18746181491464511","0.2615279405588684","0.9516666666666668","0.40491708246042046","0.9516666666666668","1.0","0.9188561618328095","0.8854111969470978","0.9017739355564117"
"Summarise","Qwen","31.800","31.800","0.2078450275913672","0.12896271360974396","0.07877090698928807","0.04034774264000903","0.46848602762354885","0.2560526831658907","0.33023412550269027","0.9232357703325444","0.5287075848333329","0.9232357703325444","0.9944444444444445","0.9220166444778443","0.8991084933280945","0.9103972792625428"
