task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
A14,Q01,Interpret,Fluency,3.0,2.0,4.0,1.0,A_V3
A14,Q02,Interpret,Coherence,1.0,2.0,4.0,3.0,A_V3
A14,Q03,Interpret,Conciseness,2.0,3.0,1.0,4.0,A_V3
A14,Q04,Interpret,Accuracy,,,2.0,1.0,A_V3
A14,Q05,Interpret,Sentiment match,4.0,1.0,2.0,3.0,A_V3
A14,Q06,Interpret,Motivational tone,3.0,1.0,4.0,2.0,A_V3
A14,Q07,Interpret,Constructiveness,1.0,4.0,3.0,2.0,A_V3
A14,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,A_V3
A16,Q01,Interpret,Fluency,4.0,1.0,2.0,3.0,A_V3
A16,Q02,Interpret,Coherence,4.0,2.0,3.0,1.0,A_V3
A16,Q03,Interpret,Conciseness,1.0,3.0,2.0,4.0,A_V3
A16,Q04,Interpret,Accuracy,,1.0,3.0,2.0,A_V3
A16,Q05,Interpret,Sentiment match,4.0,2.0,3.0,1.0,A_V3
A16,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,A_V3
A16,Q07,Interpret,Constructiveness,2.0,4.0,3.0,1.0,A_V3
A16,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,A_V3
A4,Q01,Idea-to-Text,Fluency,3.0,2.0,4.0,1.0,A_V3
A4,Q02,Idea-to-Text,Coherence,1.0,3.0,2.0,4.0,A_V3
A4,Q03,Idea-to-Text,Conciseness,3.0,2.0,1.0,4.0,A_V3
A4,Q04,Idea-to-Text,Accuracy,,,2.0,1.0,A_V3
A4,Q05,Idea-to-Text,Sentiment match,2.0,3.0,1.0,4.0,A_V3
A4,Q06,Idea-to-Text,Motivational tone,1.0,4.0,2.0,3.0,A_V3
A4,Q07,Idea-to-Text,Constructiveness,1.0,3.0,2.0,4.0,A_V3
A4,Q08,Idea-to-Text,Final choice,3.0,2.0,4.0,1.0,A_V3
A6,Q01,Idea-to-Text,Fluency,3.0,1.0,4.0,2.0,A_V3
A6,Q02,Idea-to-Text,Coherence,3.0,2.0,4.0,1.0,A_V3
A6,Q03,Idea-to-Text,Conciseness,3.0,4.0,2.0,1.0,A_V3
A6,Q04,Idea-to-Text,Accuracy,,2.0,,1.0,A_V3
A6,Q05,Idea-to-Text,Sentiment match,4.0,2.0,3.0,1.0,A_V3
A6,Q06,Idea-to-Text,Motivational tone,1.0,3.0,2.0,4.0,A_V3
A6,Q07,Idea-to-Text,Constructiveness,1.0,3.0,2.0,4.0,A_V3
A6,Q08,Idea-to-Text,Final choice,2.0,3.0,1.0,4.0,A_V3
A8,Q01,Summarise,Fluency,4.0,3.0,1.0,2.0,A_V3
A8,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,A_V3
A8,Q03,Summarise,Conciseness,2.0,4.0,3.0,1.0,A_V3
A8,Q04,Summarise,Accuracy,,2.0,,1.0,A_V3
A8,Q05,Summarise,Sentiment match,4.0,2.0,1.0,3.0,A_V3
A8,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,A_V3
A8,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,A_V3
A8,Q08,Summarise,Final choice,4.0,1.0,3.0,2.0,A_V3
A9,Q01,Summarise,Fluency,4.0,1.0,2.0,3.0,A_V3
A9,Q02,Summarise,Coherence,4.0,3.0,2.0,1.0,A_V3
A9,Q03,Summarise,Conciseness,1.0,3.0,2.0,4.0,A_V3
A9,Q04,Summarise,Accuracy,2.0,,1.0,3.0,A_V3
A9,Q05,Summarise,Sentiment match,4.0,2.0,3.0,1.0,A_V3
A9,Q06,Summarise,Motivational tone,4.0,2.0,1.0,3.0,A_V3
A9,Q07,Summarise,Constructiveness,4.0,3.0,2.0,1.0,A_V3
A9,Q08,Summarise,Final choice,4.0,3.0,2.0,1.0,A_V3
