"Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Idea-to-Text","DeepSeek","40.1","40.1","0.10587647981742976","0.0547197733905397","0.02200120248288548","0.012227581923535754","0.19919555839966624","0.5816117216117216","0.296476677906668","0.887271430609043","3.089377286991644","0.887271430609043","1.0","0.8768673539161682","0.9045194566249848","0.8904505670070648"
"Idea-to-Text","Flash","47.9","47.9","0.0814001693700736","0.028247274741156243","0.01385357038776196","0.008275299829107928","0.134687555642412","0.4652380952380953","0.20800755872063967","0.8739718150826222","3.69505494219827","0.8739718150826222","1.0","0.8701400399208069","0.901597410440445","0.8855665266513825"
"Idea-to-Text","Gemini","32.0","32.0","0.11886520737327189","0.045188257479601104","0.024349927182481124","0.017297565593316983","0.22621995820271681","0.5277655677655677","0.3161909166997049","0.8942396313364055","2.4673992654921975","0.8942396313364055","1.0","0.8863311529159545","0.9123068213462829","0.89909987449646"
"Idea-to-Text","Qwen","47.3","47.3","0.14432900432900433","0.05800944503700972","0.029206090153636823","0.014449544462911168","0.2035974025974026","0.6431868131868133","0.3040483722968624","0.8664285714285714","3.634065931266312","0.8664285714285714","0.9966101694915255","0.8852969169616699","0.9282579481601715","0.9061879992485047"
"Interpret","DeepSeek","52.9","52.9","0.1334340144943561","0.05190318296137257","0.018559852636132003","0.00961322561420871","0.14619073720911063","0.12579432097642274","0.13208428235432138","0.9407350031262643","0.8542393038010546","0.9407350031262643","1.0","0.8456004381179809","0.8629722416400909","0.8541386187076568"
"Interpret","Flash","76.8","76.8","0.2177918413584826","0.054064034385367665","0.026637777807228747","0.011790737479617544","0.18838202586841707","0.2233183444764749","0.19799329459299264","0.8143994581034819","1.2730425178505587","0.8143994581034819","0.9933445945945947","0.8577164947986603","0.872116619348526","0.8647314548492432"
"Interpret","Gemini","44.8","44.8","0.1795586979178962","0.04749963072820394","0.017579735381866298","0.009027347029521331","0.2309337594258963","0.17031661202153142","0.18967839759365598","0.8554093089751287","0.7390205937290937","0.8554093089751287","0.9953488372093023","0.8826734542846679","0.8724275588989258","0.8774505853652954"
"Interpret","Qwen","83.0","83.0","0.22561036973784626","0.08073761045350417","0.040546063943832394","0.024598109987664436","0.16860678399656895","0.21814260640316122","0.18779001703085513","0.8303686594902698","1.2801532564790563","0.8303686594902698","0.9980392156862745","0.8620819330215455","0.8819278478622437","0.8718355834484101"
"Summarise","DeepSeek","Sat Jun 14 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Sat Jun 14 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.0866155170264303","0.05796027342928985","0.03335558372859636","0.014480419446051634","0.856484962406015","0.28553337527422895","0.422331064028948","0.9866666666666667","0.3190672795349984","0.9866666666666667","1.0","0.9237817049026489","0.888523280620575","0.9057809233665466"
"Summarise","Flash","Wed Aug 20 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Wed Aug 20 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.13164595265759702","0.06137562485493594","0.02815168586314601","0.013218577100990938","0.5108734396377417","0.23397748903084267","0.3188902114757108","0.9644210526315788","0.44429930309872","0.9644210526315788","1.0","0.9226015448570252","0.892098605632782","0.907047176361084"
"Summarise","Gemini","Sun Mar 23 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Sun Mar 23 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.24265758564866485","0.1801993067105205","0.14349708866569877","0.11925196318125315","0.5714242424242424","0.3139586962833914","0.39544406840111745","0.9202766798418972","0.5296281838640218","0.9202766798418972","0.9825757575757577","0.9390887379646301","0.9062625288963317","0.9223446071147918"
"Summarise","Qwen","Wed Apr 30 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Wed Apr 30 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.21961108314450697","0.1489817803513402","0.10506517436539534","0.07833291696160358","0.4415988320873921","0.27624661246612464","0.3375948212819864","0.9315045904130053","0.6176609707433319","0.9315045904130053","1.0","0.9213291287422181","0.9078677117824554","0.914528238773346"
