task_id,prompt_label,candidate_index,model
C5,C5_Q01_Fluency,1,Qwen
C5,C5_Q01_Fluency,2,DeepSeek
C5,C5_Q01_Fluency,3,Gemini
C5,C5_Q01_Fluency,4,Flash
C5,C5_Q02_Coherence,1,DeepSeek
C5,C5_Q02_Coherence,2,Flash
C5,C5_Q02_Coherence,3,Qwen
C5,C5_Q02_Coherence,4,Gemini
C5,C5_Q03_Conciseness,1,DeepSeek
C5,C5_Q03_Conciseness,2,Gemini
C5,C5_Q03_Conciseness,3,Qwen
C5,C5_Q03_Conciseness,4,Flash
C5,C5_Q04_Accuracy,1,Qwen
C5,C5_Q04_Accuracy,2,Flash
C5,C5_Q04_Accuracy,3,Gemini
C5,C5_Q04_Accuracy,4,DeepSeek
C5,C5_Q05_Sentimentmatch,1,Flash
C5,C5_Q05_Sentimentmatch,2,Gemini
C5,C5_Q05_Sentimentmatch,3,DeepSeek
C5,C5_Q05_Sentimentmatch,4,Qwen
C5,C5_Q06_Motivationaltone,1,Flash
C5,C5_Q06_Motivationaltone,2,Qwen
C5,C5_Q06_Motivationaltone,3,Gemini
C5,C5_Q06_Motivationaltone,4,DeepSeek
C5,C5_Q07_Constructiveness,1,DeepSeek
C5,C5_Q07_Constructiveness,2,Qwen
C5,C5_Q07_Constructiveness,3,Flash
C5,C5_Q07_Constructiveness,4,Gemini
C5,C5_Q08_Finalchoice,1,Qwen
C5,C5_Q08_Finalchoice,2,Gemini
C5,C5_Q08_Finalchoice,3,Flash
C5,C5_Q08_Finalchoice,4,DeepSeek
C6,C6_Q01_Fluency,1,DeepSeek
C6,C6_Q01_Fluency,2,Flash
C6,C6_Q01_Fluency,3,Gemini
C6,C6_Q01_Fluency,4,Qwen
C6,C6_Q02_Coherence,1,DeepSeek
C6,C6_Q02_Coherence,2,Qwen
C6,C6_Q02_Coherence,3,Flash
C6,C6_Q02_Coherence,4,Gemini
C6,C6_Q03_Conciseness,1,Qwen
C6,C6_Q03_Conciseness,2,Gemini
C6,C6_Q03_Conciseness,3,DeepSeek
C6,C6_Q03_Conciseness,4,Flash
C6,C6_Q04_Accuracy,1,Qwen
C6,C6_Q04_Accuracy,2,DeepSeek
C6,C6_Q04_Accuracy,3,Flash
C6,C6_Q04_Accuracy,4,Gemini
C6,C6_Q05_Sentimentmatch,1,Qwen
C6,C6_Q05_Sentimentmatch,2,Flash
