"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"C13","Interpret","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","0.666666666666666","0.666666666666666","","0.333333333333333","0","0.333333333333333","1"
"C13","Interpret","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","0.333333333333333","0","","1","0.666666666666666","1","0"
"C13","Interpret","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0","0","0.333333333333333","","0.666666666666666","1","0.666666666666666","0.333333333333333"
"C13","Interpret","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","1","1","1","1","0","0.333333333333333","0","0.666666666666666"
"C14","Interpret","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","0.333333333333333","0.333333333333333","0","0","0.333333333333333","0","0"
"C14","Interpret","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","1","1","0","","1","1","1","1"
"C14","Interpret","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0","0","0.666666666666666","0.5","0.666666666666666","0","0.666666666666666","0.666666666666666"
"C14","Interpret","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","0.666666666666666","1","1","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333"
"C2","Idea-to-Text","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","0","0.666666666666666","1","0.333333333333333","0","0.666666666666666","0.333333333333333"
"C2","Idea-to-Text","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","1","0.666666666666666","0","0.333333333333333","1","0.333333333333333","0","1"
"C2","Idea-to-Text","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666","0.333333333333333","0"
"C2","Idea-to-Text","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","1","1","0","0","1","1","0.666666666666666"
"C3","Idea-to-Text","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0","0.666666666666666","0.666666666666666","0.333333333333333","0","1","0.666666666666666","1"
"C3","Idea-to-Text","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","1","0.333333333333333","0","1","0.666666666666666","0","0","0.333333333333333"
"C3","Idea-to-Text","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","0","0.333333333333333","0.666666666666666","1","0.333333333333333","0.333333333333333","0"
"C3","Idea-to-Text","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","1","1","0","0.333333333333333","0.666666666666666","1","0.666666666666666"
"C7","Summarise","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0","0","0.333333333333333","1","0","0","0","0"
"C7","Summarise","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","1","0.666666666666666","0","0","0.333333333333333","0.333333333333333","1","1"
"C7","Summarise","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","0.333333333333333","0.666666666666666","","0.666666666666666","0.666666666666666","0.333333333333333","0.666666666666666"
"C7","Summarise","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","1","1","0.5","1","1","0.666666666666666","0.333333333333333"
"C8","Summarise","DeepSeek-R1-0528","c1_zd2Im2lzIeBT1mTIXzSU","0","0","0.333333333333333","0","0","0","0","0"
"C8","Summarise","Qwen3-235B-A22B-2507","c1_zd2Im2lzIeBT1mTIXzSU","1","0.666666666666666","0","0.666666666666666","0.333333333333333","0.333333333333333","1","0.666666666666666"
"C8","Summarise","gemini-2.5-flash","c1_zd2Im2lzIeBT1mTIXzSU","0.666666666666666","0.333333333333333","1","0.333333333333333","1","1","0.666666666666666","1"
"C8","Summarise","gemini-2.5-pro","c1_zd2Im2lzIeBT1mTIXzSU","0.333333333333333","1","0.666666666666666","1","0.666666666666666","0.666666666666666","0.333333333333333","0.333333333333333"
