"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"B1","Idea-to-Text","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","0","0.666666666666666","0.666666666666666","1","0.666666666666666","1","1","1"
"B1","Idea-to-Text","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","1","0.333333333333333","0.333333333333333","","1","0.333333333333333","0.333333333333333","0.333333333333333"
"B1","Idea-to-Text","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","0","0","","0","0","0","0"
"B1","Idea-to-Text","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","1","1","0","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666"
"B12","Summarise","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","0","1","0.333333333333333","0","1","0","0"
"B12","Summarise","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","1","0.666666666666666","0","1","1","0","0.333333333333333","0.333333333333333"
"B12","Summarise","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","1","0.333333333333333","0.666666666666666","0.333333333333333","0.666666666666666","1","1"
"B12","Summarise","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","0","0.333333333333333","0.666666666666666","0","0.666666666666666","0.333333333333333","0.666666666666666","0.666666666666666"
"B14","Interpret","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","1","0","0","","0","0","0","0"
"B14","Interpret","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","0.666666666666666","0.666666666666666","0","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B14","Interpret","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","0.333333333333333","0.333333333333333","1","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"B14","Interpret","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","0","1","1","0.5","1","1","1","1"
"B15","Interpret","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","0","0.666666666666666","0.666666666666666","0","0.666666666666666","0","0","0"
"B15","Interpret","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","0","0","0.666666666666666","0","0.333333333333333","0.666666666666666","0.666666666666666"
"B15","Interpret","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","0.333333333333333","0.333333333333333","1","0.333333333333333","0.666666666666666","1","1"
"B15","Interpret","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","1","1","1","0.333333333333333","1","1","0.333333333333333","0.333333333333333"
"B6","Idea-to-Text","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","1","0.666666666666666","1","1","1","1","1"
"B6","Idea-to-Text","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","0.333333333333333","0.333333333333333","","0","0","0","0"
"B6","Idea-to-Text","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0","0","0","","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"B6","Idea-to-Text","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","1","0.666666666666666","1","0","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B9","Summarise","DeepSeek-R1-0528","b4_QiqyDK2NR2SgNNHM5UIT","0","0","0.333333333333333","","0","0","0.333333333333333","0"
"B9","Summarise","Qwen3-235B-A22B-2507","b4_QiqyDK2NR2SgNNHM5UIT","1","1","0","0","1","1","0.666666666666666","0.333333333333333"
"B9","Summarise","gemini-2.5-flash","b4_QiqyDK2NR2SgNNHM5UIT","0.333333333333333","0.333333333333333","1","0.5","0.666666666666666","0.666666666666666","0","1"
"B9","Summarise","gemini-2.5-pro","b4_QiqyDK2NR2SgNNHM5UIT","0.666666666666666","0.666666666666666","0.666666666666666","1","0.333333333333333","0.333333333333333","1","0.666666666666666"
