task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final,Motivational,Sentiment
B10,Summarise,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,1.0,1.0
B10,Summarise,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,0.6666666666666667,0.0,,1.0,1.0,0.33333333333333337,0.33333333333333337
B10,Summarise,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,1.0,1.0,1.0,,0.6666666666666667,0.33333333333333337,0.0,0.0
B10,Summarise,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667
B11,Summarise,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.0,0.0,0.5,0.0,0.0,0.6666666666666667,0.6666666666666667
B11,Summarise,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.0,0.33333333333333337,0.6666666666666667,1.0,1.0
B11,Summarise,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.33333333333333337,1.0,,0.6666666666666667,0.33333333333333337,0.0,0.0
B11,Summarise,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,1.0,1.0,0.6666666666666667,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
B13,Interpret,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.6666666666666667,0.6666666666666667,,1.0,0.6666666666666667,0.6666666666666667,0.33333333333333337
B13,Interpret,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,1.0,0.0
B13,Interpret,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,1.0,1.0,0.0,,0.6666666666666667,1.0,0.33333333333333337,1.0
B13,Interpret,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666667
B16,Interpret,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0
B16,Interpret,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,1.0,0.6666666666666667,0.0,0.0,1.0,1.0,0.6666666666666667,0.6666666666666667
B16,Interpret,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,1.0,0.33333333333333337,,0.6666666666666667,0.33333333333333337,1.0,0.0
B16,Interpret,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.0,1.0,,0.0,0.0,0.0,0.33333333333333337
B3,Idea-to-Text,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337
B3,Idea-to-Text,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,1.0
B3,Idea-to-Text,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,1.0,1.0,0.33333333333333337,0.0,1.0,1.0,0.33333333333333337,0.6666666666666667
B3,Idea-to-Text,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.0,1.0,1.0,0.0,0.33333333333333337,1.0,0.0
B4,Idea-to-Text,DeepSeek-R1-0528,b3_xSNh6CDjzffpeBtcaLPs,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667
B4,Idea-to-Text,Qwen3-235B-A22B-2507,b3_xSNh6CDjzffpeBtcaLPs,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,1.0,1.0,0.33333333333333337,0.33333333333333337
B4,Idea-to-Text,gemini-2.5-flash,b3_xSNh6CDjzffpeBtcaLPs,1.0,0.6666666666666667,0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0,0.0
B4,Idea-to-Text,gemini-2.5-pro,b3_xSNh6CDjzffpeBtcaLPs,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,0.33333333333333337,1.0,1.0
