task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
C13,Q01,Interpret,Fluency,4.0,2.0,3.0,1.0,C_V1
C13,Q02,Interpret,Coherence,2.0,3.0,1.0,4.0,C_V1
C13,Q03,Interpret,Conciseness,1.0,4.0,2.0,3.0,C_V1
C13,Q04,Interpret,Accuracy,1.0,,2.0,,C_V1
C13,Q05,Interpret,Sentiment match,1.0,3.0,2.0,4.0,C_V1
C13,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,C_V1
C13,Q07,Interpret,Constructiveness,2.0,3.0,4.0,1.0,C_V1
C13,Q08,Interpret,Final choice,4.0,3.0,2.0,1.0,C_V1
C14,Q01,Interpret,Fluency,4.0,2.0,1.0,3.0,C_V1
C14,Q02,Interpret,Coherence,4.0,2.0,3.0,1.0,C_V1
C14,Q03,Interpret,Conciseness,1.0,3.0,2.0,4.0,C_V1
C14,Q04,Interpret,Accuracy,,1.0,2.0,,C_V1
C14,Q05,Interpret,Sentiment match,4.0,2.0,1.0,3.0,C_V1
C14,Q06,Interpret,Motivational tone,3.0,1.0,4.0,2.0,C_V1
C14,Q07,Interpret,Constructiveness,1.0,4.0,3.0,2.0,C_V1
C14,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,C_V1
C2,Q01,Idea-to-Text,Fluency,3.0,4.0,2.0,1.0,C_V1
C2,Q02,Idea-to-Text,Coherence,1.0,3.0,4.0,2.0,C_V1
C2,Q03,Idea-to-Text,Conciseness,2.0,4.0,1.0,3.0,C_V1
C2,Q04,Idea-to-Text,Accuracy,,,2.0,1.0,C_V1
C2,Q05,Idea-to-Text,Sentiment match,2.0,3.0,4.0,1.0,C_V1
C2,Q06,Idea-to-Text,Motivational tone,2.0,3.0,1.0,4.0,C_V1
C2,Q07,Idea-to-Text,Constructiveness,1.0,4.0,2.0,3.0,C_V1
C2,Q08,Idea-to-Text,Final choice,3.0,4.0,2.0,1.0,C_V1
C3,Q01,Idea-to-Text,Fluency,4.0,1.0,2.0,3.0,C_V1
C3,Q02,Idea-to-Text,Coherence,1.0,4.0,3.0,2.0,C_V1
C3,Q03,Idea-to-Text,Conciseness,2.0,3.0,1.0,4.0,C_V1
C3,Q04,Idea-to-Text,Accuracy,,2.0,,1.0,C_V1
C3,Q05,Idea-to-Text,Sentiment match,4.0,2.0,3.0,1.0,C_V1
C3,Q06,Idea-to-Text,Motivational tone,2.0,3.0,1.0,4.0,C_V1
C3,Q07,Idea-to-Text,Constructiveness,2.0,4.0,1.0,3.0,C_V1
C3,Q08,Idea-to-Text,Final choice,4.0,2.0,3.0,1.0,C_V1
C7,Q01,Summarise,Fluency,4.0,3.0,1.0,2.0,C_V1
C7,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V1
C7,Q03,Summarise,Conciseness,1.0,3.0,2.0,4.0,C_V1
C7,Q04,Summarise,Accuracy,,2.0,3.0,1.0,C_V1
C7,Q05,Summarise,Sentiment match,4.0,2.0,1.0,3.0,C_V1
C7,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,C_V1
C7,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V1
C7,Q08,Summarise,Final choice,4.0,1.0,3.0,2.0,C_V1
C8,Q01,Summarise,Fluency,4.0,2.0,3.0,1.0,C_V1
C8,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V1
C8,Q03,Summarise,Conciseness,1.0,3.0,2.0,4.0,C_V1
C8,Q04,Summarise,Accuracy,2.0,3.0,1.0,,C_V1
C8,Q05,Summarise,Sentiment match,3.0,2.0,1.0,4.0,C_V1
C8,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,C_V1
C8,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V1
C8,Q08,Summarise,Final choice,4.0,2.0,3.0,1.0,C_V1
