"Group","Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"A","Idea-to-Text","Gemini","31.6","31.6","0.156619461078664","0.0627955273071891","0.0388331068872657","0.0188955011717859","0.25868977891437","0.594285714285714","0.359942487633351","0.915639999890474","2.40608724423712","0.915639999890474","1","0.893743830919265","0.916679441928863","0.905041891336441"
"B","Idea-to-Text","Gemini","32.4","32.4","0.108448877781469","0.0366740200468723","0.0160352693296263","0.0107886835952872","0.217816105006774","0.515018315018315","0.305621160178813","0.874473808079202","2.56227106023988","0.874473808079202","1","0.886840945482254","0.905028271675109","0.895826882123947"
"C","Idea-to-Text","Gemini","32","32","0.118865207373271","0.0451882574796011","0.0243499271824811","0.0172975655933169","0.226219958202716","0.527765567765567","0.316190916699704","0.894239631336405","2.46739926549219","0.894239631336405","1","0.886331152915954","0.912306821346282","0.89909987449646"
"","","AVG","32","32","0.12797784874446802","0.0482192682778875","0.02640610113312437","0.01566058345346333","0.23424194737462","0.5456898656898653","0.32725152150395603","0.8947844797686937","2.4785858566563967","0.8947844797686937","1","0.8889719764391577","0.9113381783167513","0.8999895493189495"
"","","STDEV.S","0.3999999999999986","0.3999999999999986","0.025345245084000264","0.01332192010305543","0.011537167668566075","0.0042941711306498645","0.02158537786052707","0.04256513231171216","0.02880024979201861","0.020588503634825717","0.07869053921344249","0.020588503634825717","0","0.0041404007655846745","0.005885672778831979","0.004671481527729293"
"A","Interpret","Gemini","46.4","46.4","0.142925348707948","0.0547601394552908","0.0184639750979695","0.00956663492960133","0.218905895691609","0.164251568382182","0.177642564447488","0.82155286161966","0.836684257971967","0.82155286161966","0.99047619047619","0.883423095941543","0.88385801911354","0.883516353368759"
"B","Interpret","Gemini","41.8","41.8","0.160256772691838","0.0339389550364718","0.0160091388361147","0.00846332199395081","0.192670937967307","0.137910545053402","0.159290478643196","0.892507605837157","0.744258769494746","0.892507605837157","1","0.875854116678237","0.873150014877319","0.874472415447235"
"C","Interpret","Gemini","44.8","44.8","0.179558697917896","0.0474996307282039","0.0175797353818662","0.00902734702952133","0.230933759425896","0.170316612021531","0.189678397593655","0.855409308975128","0.739020593729093","0.855409308975128","0.995348837209302","0.882673454284667","0.872427558898925","0.877450585365295"
"","","AVG","44.333333333333336","44.333333333333336","0.16091360643922734","0.04539957507332217","0.017350949771983468","0.009019101317691154","0.21417019769493736","0.157492908485705","0.17553714689477964","0.8564899254773151","0.7733212070652686","0.8564899254773151","0.9952750092284974","0.8806502223014823","0.8764785309632613","0.8784797847270963"
"","","STDEV.S","2.335237318418265","2.335237318418265","0.01832550521850029","0.010568259339447455","0.0012433070455830173","0.0005517026847099177","0.01956606764604796","0.017227823622933347","0.015302973300582981","0.035489713027315455","0.05493647956041228","0.035489713027315455","0.0047623339750080245","0.004170427138246775","0.006401024892957094","0.00460897404818519"
"A","Summarise","Gemini","23.1","23.1","0.108415401558639","0.0612559561105602","0.0299452809058201","0.0152680730663583","0.461546734729801","0.187461814914645","0.261527940558868","0.951666666666666","0.40491708246042","0.951666666666666","1","0.918856161832809","0.885411196947097","0.901773935556411"
"B","Summarise","Gemini","21.9","21.9","0.150685462480908","0.0738598405860219","0.0362611930523548","0.0234787640685809","0.412784679089026","0.180769124168514","0.244578509636692","0.95213768115942","0.4624170556952","0.95213768115942","1","0.919917982816696","0.884657776355743","0.90190457701683"
"C","Summarise","Gemini","23.3","23.3","0.242657585648664","0.18019930671052","0.143497088665698","0.119251963181253","0.571424242424242","0.313958696283391","0.395444068401117","0.920276679841897","0.529628183864021","0.920276679841897","0.982575757575757","0.93908873796463","0.906262528896331","0.922344607114791"
"","","AVG","22.766666666666666","22.766666666666666","0.16725281656273702","0.10510503446903403","0.06990118754129097","0.05266626677206407","0.48191855208102297","0.22739654512218332","0.3005168395322257","0.9413603425559943","0.46565410733988033","0.9413603425559943","0.994191919191919","0.9259542942047118","0.892110500733057","0.908674373229344"
"","","STDEV.S","0.7571877794400382","0.7571877794400382","0.06863744541625628","0.06533817236942357","0.0638141064600595","0.057810856129329215","0.08125814402532623","0.07503967309095677","0.08264505361902527","0.018260506256521473","0.06241853555505414","0.018260506256521473","0.010059891054061982","0.011387145191499812","0.012261803965870755","0.011838950023541461"
"","","","","","","","","","","","","","","","","","",""
"","","TOTAL","","","","","","","","","","","","","","","",""
"","","AVG","33.03333333333333","33.03333333333333","0.1520480905821441","0.0662412926067479","0.037886079482132934","0.02578198384773952","0.31011023238352675","0.3101931064325845","0.2677685026436538","0.8975449159340011","1.2391870570205152","0.8975449159340011","0.9964889761401388","0.8985254976484508","0.8933090700043564","0.8957145690917966"
"","","STDEV.S","9.452909604984066","9.452909604984066","0.04190179265757273","0.044616644603112654","0.040541846073646276","0.03542647962850846","0.13617041159538698","0.1845173148317533","0.0830207796203447","0.043116812528176826","0.9407904508618736","0.043116812528176826","0.0061744927960677995","0.02184550086261485","0.01688634536478498","0.015067604123470175"
