"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final choice","Motivational tone","Sentiment match"
"A1","Idea-to-Text","DeepSeek","A_V1","0.333333333333333","1","0.333333333333333","0","1","1","0.666666666666666","0.666666666666666"
"A1","Idea-to-Text","Flash","A_V1","0","0.666666666666666","0","0","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333"
"A1","Idea-to-Text","Gemini","A_V1","1","0","1","0","0.666666666666666","0.333333333333333","1","1"
"A1","Idea-to-Text","Qwen","A_V1","0.666666666666666","0.333333333333333","0.666666666666666","1","0","0","0","0"
"A2","Idea-to-Text","DeepSeek","A_V5","0.666666666666666","1","0.666666666666666","0","1","0.333333333333333","0.666666666666666","0.333333333333333"
"A2","Idea-to-Text","Flash","A_V5","0","0.666666666666666","0","0.666666666666666","0.666666666666666","1","0.333333333333333","0.666666666666666"
"A2","Idea-to-Text","Gemini","A_V5","0.333333333333333","0","1","0.333333333333333","0","0","1","0"
"A2","Idea-to-Text","Qwen","A_V5","1","0.333333333333333","0.333333333333333","1","0.333333333333333","0.666666666666666","0","1"
"A2","Idea-to-Text","DeepSeek","A_V4","0.333333333333333","1","0.666666666666666","0","0.666666666666666","0.666666666666666","0.666666666666666","1"
"A2","Idea-to-Text","Flash","A_V4","0.666666666666666","0.333333333333333","0","0","1","1","0.333333333333333","0.333333333333333"
"A2","Idea-to-Text","Gemini","A_V4","0","0.666666666666666","1","0","0","0","1","0.666666666666666"
"A2","Idea-to-Text","Qwen","A_V4","1","0","0.333333333333333","1","0.333333333333333","0.333333333333333","0","0"
"A3","Idea-to-Text","DeepSeek","A_V4","1","1","0.333333333333333","0","0.666666666666666","0.666666666666666","1","0.666666666666666"
"A3","Idea-to-Text","Flash","A_V4","0.666666666666666","0.666666666666666","0","0","1","0","0.333333333333333","0.333333333333333"
"A3","Idea-to-Text","Gemini","A_V4","0","0","1","0","0","1","0.666666666666666","0"
"A3","Idea-to-Text","Qwen","A_V4","0.333333333333333","0.333333333333333","0.666666666666666","1","0.333333333333333","0.333333333333333","0","1"
"A3","Idea-to-Text","DeepSeek","A_V2","0.333333333333333","1","0.333333333333333","0","0.333333333333333","0.666666666666666","1","0.666666666666666"
"A3","Idea-to-Text","Flash","A_V2","0.666666666666666","0.333333333333333","0","0","1","0.333333333333333","0.333333333333333","0"
"A3","Idea-to-Text","Gemini","A_V2","0","0","1","0","0","0","0.666666666666666","1"
"A3","Idea-to-Text","Qwen","A_V2","1","0.666666666666666","0.666666666666666","1","0.666666666666666","1","0","0.333333333333333"
"A4","Idea-to-Text","DeepSeek","A_V5","1","1","0.333333333333333","1","1","0.666666666666666","1","0"
"A4","Idea-to-Text","Flash","A_V5","0.666666666666666","0.333333333333333","0.666666666666666","0","0.333333333333333","0","0","1"
"A4","Idea-to-Text","Gemini","A_V5","0.333333333333333","0","1","0","0","1","0.666666666666666","0.666666666666666"
"A4","Idea-to-Text","Qwen","A_V5","0","0.666666666666666","0","0","0.666666666666666","0.333333333333333","0.333333333333333","0.333333333333333"
"A4","Idea-to-Text","DeepSeek","A_V3","0.333333333333333","1","0.333333333333333","0","1","0.333333333333333","1","0.666666666666666"
"A4","Idea-to-Text","Flash","A_V3","0.666666666666666","0.333333333333333","0.666666666666666","0","0.333333333333333","0.666666666666666","0","0.333333333333333"
