task_id,prompt_label,candidate_index,model
C1,C1_Q01_Fluency,1,Qwen
C1,C1_Q01_Fluency,2,DeepSeek
C1,C1_Q01_Fluency,3,Gemini
C1,C1_Q01_Fluency,4,Flash
C1,C1_Q02_Coherence,1,DeepSeek
C1,C1_Q02_Coherence,2,Flash
C1,C1_Q02_Coherence,3,Qwen
C1,C1_Q02_Coherence,4,Gemini
C1,C1_Q03_Conciseness,1,DeepSeek
C1,C1_Q03_Conciseness,2,Gemini
C1,C1_Q03_Conciseness,3,Qwen
C1,C1_Q03_Conciseness,4,Flash
C1,C1_Q04_Accuracy,1,Qwen
C1,C1_Q04_Accuracy,2,Flash
C1,C1_Q04_Accuracy,3,Gemini
C1,C1_Q04_Accuracy,4,DeepSeek
C1,C1_Q05_Sentimentmatch,1,Flash
C1,C1_Q05_Sentimentmatch,2,Gemini
C1,C1_Q05_Sentimentmatch,3,DeepSeek
C1,C1_Q05_Sentimentmatch,4,Qwen
C1,C1_Q06_Motivationaltone,1,Flash
C1,C1_Q06_Motivationaltone,2,Qwen
C1,C1_Q06_Motivationaltone,3,Gemini
C1,C1_Q06_Motivationaltone,4,DeepSeek
C1,C1_Q07_Constructiveness,1,DeepSeek
C1,C1_Q07_Constructiveness,2,Qwen
C1,C1_Q07_Constructiveness,3,Flash
C1,C1_Q07_Constructiveness,4,Gemini
C1,C1_Q08_Finalchoice,1,Qwen
C1,C1_Q08_Finalchoice,2,Gemini
C1,C1_Q08_Finalchoice,3,Flash
C1,C1_Q08_Finalchoice,4,DeepSeek
C4,C4_Q01_Fluency,1,DeepSeek
C4,C4_Q01_Fluency,2,Flash
C4,C4_Q01_Fluency,3,Gemini
C4,C4_Q01_Fluency,4,Qwen
C4,C4_Q02_Coherence,1,DeepSeek
C4,C4_Q02_Coherence,2,Qwen
C4,C4_Q02_Coherence,3,Flash
C4,C4_Q02_Coherence,4,Gemini
C4,C4_Q03_Conciseness,1,Qwen
C4,C4_Q03_Conciseness,2,Gemini
C4,C4_Q03_Conciseness,3,DeepSeek
C4,C4_Q03_Conciseness,4,Flash
C4,C4_Q04_Accuracy,1,Qwen
C4,C4_Q04_Accuracy,2,DeepSeek
C4,C4_Q04_Accuracy,3,Flash
C4,C4_Q04_Accuracy,4,Gemini
C4,C4_Q05_Sentimentmatch,1,Qwen
C4,C4_Q05_Sentimentmatch,2,Flash
C4,C4_Q05_Sentimentmatch,3,Gemini
C4,C4_Q05_Sentimentmatch,4,DeepSeek
C4,C4_Q06_Motivationaltone,1,DeepSeek
C4,C4_Q06_Motivationaltone,2,Qwen
C4,C4_Q06_Motivationaltone,3,Gemini
C4,C4_Q06_Motivationaltone,4,Flash
C4,C4_Q07_Constructiveness,1,DeepSeek
C4,C4_Q07_Constructiveness,2,Qwen
C4,C4_Q07_Constructiveness,3,Flash
C4,C4_Q07_Constructiveness,4,Gemini
C4,C4_Q08_Finalchoice,1,Gemini
C4,C4_Q08_Finalchoice,2,DeepSeek
C4,C4_Q08_Finalchoice,3,Flash
C4,C4_Q08_Finalchoice,4,Qwen
C11,C11_Q01_Fluency,1,Gemini
C11,C11_Q01_Fluency,2,Qwen
C11,C11_Q01_Fluency,3,DeepSeek
C11,C11_Q01_Fluency,4,Flash
C11,C11_Q02_Coherence,1,Qwen
C11,C11_Q02_Coherence,2,Gemini
C11,C11_Q02_Coherence,3,DeepSeek
C11,C11_Q02_Coherence,4,Flash
C11,C11_Q03_Conciseness,1,Qwen
C11,C11_Q03_Conciseness,2,Gemini
C11,C11_Q03_Conciseness,3,Flash
C11,C11_Q03_Conciseness,4,DeepSeek
C11,C11_Q04_Accuracy,1,Qwen
C11,C11_Q04_Accuracy,2,DeepSeek
C11,C11_Q04_Accuracy,3,Flash
C11,C11_Q04_Accuracy,4,Gemini
C11,C11_Q05_Sentimentmatch,1,Gemini
C11,C11_Q05_Sentimentmatch,2,Flash
C11,C11_Q05_Sentimentmatch,3,DeepSeek
C11,C11_Q05_Sentimentmatch,4,Qwen
C11,C11_Q06_Motivationaltone,1,DeepSeek
C11,C11_Q06_Motivationaltone,2,Gemini
C11,C11_Q06_Motivationaltone,3,Qwen
C11,C11_Q06_Motivationaltone,4,Flash
C11,C11_Q07_Constructiveness,1,Qwen
C11,C11_Q07_Constructiveness,2,DeepSeek
C11,C11_Q07_Constructiveness,3,Flash
C11,C11_Q07_Constructiveness,4,Gemini
C11,C11_Q08_Finalchoice,1,Flash
C11,C11_Q08_Finalchoice,2,Gemini
C11,C11_Q08_Finalchoice,3,Qwen
C11,C11_Q08_Finalchoice,4,DeepSeek
C12,C12_Q01_Fluency,1,Flash
C12,C12_Q01_Fluency,2,Gemini
C12,C12_Q01_Fluency,3,DeepSeek
C12,C12_Q01_Fluency,4,Qwen
C12,C12_Q02_Coherence,1,Qwen
C12,C12_Q02_Coherence,2,DeepSeek
C12,C12_Q02_Coherence,3,Flash
C12,C12_Q02_Coherence,4,Gemini
C12,C12_Q03_Conciseness,1,Gemini
C12,C12_Q03_Conciseness,2,DeepSeek
C12,C12_Q03_Conciseness,3,Qwen
C12,C12_Q03_Conciseness,4,Flash
C12,C12_Q04_Accuracy,1,Gemini
C12,C12_Q04_Accuracy,2,DeepSeek
C12,C12_Q04_Accuracy,3,Flash
C12,C12_Q04_Accuracy,4,Qwen
C12,C12_Q05_Sentimentmatch,1,Flash
C12,C12_Q05_Sentimentmatch,2,DeepSeek
C12,C12_Q05_Sentimentmatch,3,Qwen
C12,C12_Q05_Sentimentmatch,4,Gemini
C12,C12_Q06_Motivationaltone,1,DeepSeek
C12,C12_Q06_Motivationaltone,2,Gemini
C12,C12_Q06_Motivationaltone,3,Flash
C12,C12_Q06_Motivationaltone,4,Qwen
C12,C12_Q07_Constructiveness,1,Qwen
C12,C12_Q07_Constructiveness,2,DeepSeek
C12,C12_Q07_Constructiveness,3,Flash
C12,C12_Q07_Constructiveness,4,Gemini
C12,C12_Q08_Finalchoice,1,Gemini
C12,C12_Q08_Finalchoice,2,Flash
C12,C12_Q08_Finalchoice,3,DeepSeek
C12,C12_Q08_Finalchoice,4,Qwen
C14,C14_Q01_Fluency,1,Qwen
C14,C14_Q01_Fluency,2,DeepSeek
C14,C14_Q01_Fluency,3,Gemini
C14,C14_Q01_Fluency,4,Flash
C14,C14_Q02_Coherence,1,DeepSeek
C14,C14_Q02_Coherence,2,Qwen
C14,C14_Q02_Coherence,3,Gemini
C14,C14_Q02_Coherence,4,Flash
C14,C14_Q03_Conciseness,1,DeepSeek
C14,C14_Q03_Conciseness,2,Flash
C14,C14_Q03_Conciseness,3,Gemini
C14,C14_Q03_Conciseness,4,Qwen
C14,C14_Q04_Accuracy,1,DeepSeek
C14,C14_Q04_Accuracy,2,Qwen
C14,C14_Q04_Accuracy,3,Gemini
C14,C14_Q04_Accuracy,4,Flash
C14,C14_Q05_Sentimentmatch,1,Gemini
C14,C14_Q05_Sentimentmatch,2,Flash
C14,C14_Q05_Sentimentmatch,3,DeepSeek
C14,C14_Q05_Sentimentmatch,4,Qwen
C14,C14_Q06_Motivationaltone,1,Flash
C14,C14_Q06_Motivationaltone,2,DeepSeek
C14,C14_Q06_Motivationaltone,3,Qwen
C14,C14_Q06_Motivationaltone,4,Gemini
C14,C14_Q07_Constructiveness,1,Gemini
C14,C14_Q07_Constructiveness,2,DeepSeek
C14,C14_Q07_Constructiveness,3,Flash
C14,C14_Q07_Constructiveness,4,Qwen
C14,C14_Q08_Finalchoice,1,Gemini
C14,C14_Q08_Finalchoice,2,Flash
C14,C14_Q08_Finalchoice,3,Qwen
C14,C14_Q08_Finalchoice,4,DeepSeek
C15,C15_Q01_Fluency,1,Gemini
C15,C15_Q01_Fluency,2,Flash
C15,C15_Q01_Fluency,3,DeepSeek
C15,C15_Q01_Fluency,4,Qwen
C15,C15_Q02_Coherence,1,Qwen
C15,C15_Q02_Coherence,2,Flash
C15,C15_Q02_Coherence,3,Gemini
C15,C15_Q02_Coherence,4,DeepSeek
C15,C15_Q03_Conciseness,1,Qwen
C15,C15_Q03_Conciseness,2,Flash
