"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"A10","Summarise","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0","0.666666666666666","1","0.5","0.666666666666666","0","0","0"
"A10","Summarise","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","1","0","0","","0.333333333333333","0.333333333333333","1","0.666666666666666"
"A10","Summarise","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","0.333333333333333","0.333333333333333","0","1","1","0.666666666666666","1"
"A10","Summarise","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","1","0.666666666666666","1","0","0.666666666666666","0.333333333333333","0.333333333333333"
"A12","Summarise","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0","0.666666666666666","1","0.333333333333333","0","0","0","0"
"A12","Summarise","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","1","0","0","0","0.333333333333333","0.333333333333333","1","0.333333333333333"
"A12","Summarise","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","0.333333333333333","0.333333333333333","0.666666666666666","1","1","0.666666666666666","1"
"A12","Summarise","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","1","0.666666666666666","1","0.666666666666666","0.666666666666666","0.333333333333333","0.666666666666666"
"A15","Interpret","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","1","0.666666666666666","1","0","0.333333333333333","0.666666666666666","0.666666666666666"
"A15","Interpret","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","0","0.333333333333333","0","0","0.333333333333333","0.666666666666666","0","0.333333333333333"
"A15","Interpret","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","0.666666666666666","0.333333333333333","","0.666666666666666","0","0.333333333333333","1"
"A15","Interpret","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","1","0","1","0.5","1","1","1","0"
"A18","Interpret","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","1","0","0.666666666666666","1","1","0.666666666666666","1"
"A18","Interpret","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","0","1","0.333333333333333","0","0.666666666666666","0.333333333333333","0"
"A18","Interpret","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","1","0.333333333333333","0.333333333333333","0","0.333333333333333","0","1","0.333333333333333"
"A18","Interpret","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","0","0.666666666666666","0.666666666666666","1","0.666666666666666","0.333333333333333","0","0.666666666666666"
"A2","Idea-to-Text","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666"
"A2","Idea-to-Text","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","1","0","0.333333333333333","0.333333333333333","1","0","1","0"
"A2","Idea-to-Text","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","0.333333333333333","0","0","0","0.333333333333333","0.333333333333333","0.333333333333333"
"A2","Idea-to-Text","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","0","1","1","1","0.666666666666666","1","0","1"
"A4","Idea-to-Text","DeepSeek-R1-0528","a5_Q516tv4jqOpz6G0k2YcD","0.333333333333333","0.666666666666666","1","0.666666666666666","0.333333333333333","1","0","1"
"A4","Idea-to-Text","Qwen3-235B-A22B-2507","a5_Q516tv4jqOpz6G0k2YcD","0.666666666666666","0","0","0.333333333333333","1","0.333333333333333","1","0"
"A4","Idea-to-Text","gemini-2.5-flash","a5_Q516tv4jqOpz6G0k2YcD","1","0.333333333333333","0.333333333333333","1","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"A4","Idea-to-Text","gemini-2.5-pro","a5_Q516tv4jqOpz6G0k2YcD","0","1","0.666666666666666","0","0","0","0.333333333333333","0.333333333333333"
