scope,evaluator_id,group,task_type,criterion,std_beta,N,note
ALL,ALL,ALL,ALL,Fluency,0.22876883908517215,264,
ALL,ALL,ALL,ALL,Coherence,0.2451219982714435,264,
ALL,ALL,ALL,ALL,Conciseness,0.023007650828456218,264,
ALL,ALL,ALL,ALL,Accuracy,-0.005288542627862741,264,
ALL,ALL,ALL,ALL,Constructiveness,0.2687637784105552,264,
ALL,ALL,ALL,ALL,Motivational,0.14766916973941485,264,
ALL,ALL,ALL,ALL,Sentiment,0.1350344440566276,264,
TASK,ALL,ALL,Idea-to-Text,Fluency,0.14811725823342528,87,
TASK,ALL,ALL,Idea-to-Text,Coherence,0.382954068349022,87,
TASK,ALL,ALL,Idea-to-Text,Conciseness,0.047780423613023454,87,
TASK,ALL,ALL,Idea-to-Text,Accuracy,-0.013457106505124439,87,
TASK,ALL,ALL,Idea-to-Text,Constructiveness,0.23776735675989263,87,
TASK,ALL,ALL,Idea-to-Text,Motivational,0.15702602435458785,87,
TASK,ALL,ALL,Idea-to-Text,Sentiment,0.09549132630164262,87,
TASK,ALL,ALL,Interpret,Fluency,0.17744529893508626,88,
TASK,ALL,ALL,Interpret,Coherence,0.19969546700389168,88,
TASK,ALL,ALL,Interpret,Conciseness,-0.010950066229030997,88,
TASK,ALL,ALL,Interpret,Accuracy,-0.06390660587494681,88,
TASK,ALL,ALL,Interpret,Constructiveness,0.27184097747309555,88,
TASK,ALL,ALL,Interpret,Motivational,0.21459422806866543,88,
TASK,ALL,ALL,Interpret,Sentiment,0.16030657094348996,88,
TASK,ALL,ALL,Summarise,Fluency,0.35084346201386885,89,
TASK,ALL,ALL,Summarise,Coherence,0.13769332728457148,89,
TASK,ALL,ALL,Summarise,Conciseness,0.05166033950370487,89,
TASK,ALL,ALL,Summarise,Accuracy,0.09641416935054999,89,
TASK,ALL,ALL,Summarise,Constructiveness,0.37706695855780337,89,
TASK,ALL,ALL,Summarise,Motivational,0.07975560526327091,89,
TASK,ALL,ALL,Summarise,Sentiment,0.1188194374581582,89,
GROUP,ALL,A,ALL,Fluency,0.2893378553616869,97,
GROUP,ALL,A,ALL,Coherence,0.3746789945483209,97,
GROUP,ALL,A,ALL,Conciseness,-0.028294248683816553,97,
GROUP,ALL,A,ALL,Accuracy,-0.0470502852774862,97,
GROUP,ALL,A,ALL,Constructiveness,0.31760707191689697,97,
GROUP,ALL,A,ALL,Motivational,0.022668702884144326,97,
GROUP,ALL,A,ALL,Sentiment,0.0854190818691915,97,
GROUP,ALL,B,ALL,Fluency,0.2510654064084914,93,
GROUP,ALL,B,ALL,Coherence,0.25223470595619374,93,
GROUP,ALL,B,ALL,Conciseness,0.09143075385636051,93,
GROUP,ALL,B,ALL,Accuracy,-0.06528648449485268,93,
GROUP,ALL,B,ALL,Constructiveness,0.39945117490763077,93,
GROUP,ALL,B,ALL,Motivational,0.11914098915917906,93,
GROUP,ALL,B,ALL,Sentiment,0.10450756349077074,93,
GROUP,ALL,C,ALL,Fluency,0.18485839151508335,74,
GROUP,ALL,C,ALL,Coherence,0.0032834938718729126,74,
GROUP,ALL,C,ALL,Conciseness,0.15195033996827845,74,
GROUP,ALL,C,ALL,Accuracy,0.12014380430118296,74,
GROUP,ALL,C,ALL,Constructiveness,0.046069740494064676,74,
GROUP,ALL,C,ALL,Motivational,0.2896858873363269,74,
GROUP,ALL,C,ALL,Sentiment,0.13378834574407972,74,
GROUP_TASK,ALL,A,Idea-to-Text,Fluency,0.3557232121148482,30,
GROUP_TASK,ALL,A,Idea-to-Text,Coherence,0.3641519062429038,30,
GROUP_TASK,ALL,A,Idea-to-Text,Conciseness,0.14756958366442272,30,
GROUP_TASK,ALL,A,Idea-to-Text,Accuracy,-0.1335607961944002,30,
GROUP_TASK,ALL,A,Idea-to-Text,Constructiveness,0.201575839224554,30,
GROUP_TASK,ALL,A,Idea-to-Text,Motivational,-0.11128191633998455,30,
GROUP_TASK,ALL,A,Idea-to-Text,Sentiment,0.023874823112887113,30,
GROUP_TASK,ALL,A,Interpret,Fluency,0.21284492711657904,32,
GROUP_TASK,ALL,A,Interpret,Coherence,0.3299397018462721,32,
GROUP_TASK,ALL,A,Interpret,Conciseness,0.10823040936612775,32,
GROUP_TASK,ALL,A,Interpret,Accuracy,-0.1678041062714804,32,
GROUP_TASK,ALL,A,Interpret,Constructiveness,0.4285388575407286,32,
GROUP_TASK,ALL,A,Interpret,Motivational,0.04206283843367489,32,
GROUP_TASK,ALL,A,Interpret,Sentiment,0.019786261226492727,32,
GROUP_TASK,ALL,A,Summarise,Fluency,0.28287336000774044,35,
GROUP_TASK,ALL,A,Summarise,Coherence,0.3494019110969271,35,
GROUP_TASK,ALL,A,Summarise,Conciseness,0.13670291915605443,35,
GROUP_TASK,ALL,A,Summarise,Accuracy,0.07231818309304344,35,
GROUP_TASK,ALL,A,Summarise,Constructiveness,0.3655623172087612,35,
GROUP_TASK,ALL,A,Summarise,Motivational,0.24200231122640303,35,
GROUP_TASK,ALL,A,Summarise,Sentiment,0.1324193061913439,35,
GROUP_TASK,ALL,B,Idea-to-Text,Fluency,-0.08849067539294175,33,
GROUP_TASK,ALL,B,Idea-to-Text,Coherence,0.35968594306339496,33,
GROUP_TASK,ALL,B,Idea-to-Text,Conciseness,0.26630582152304394,33,
GROUP_TASK,ALL,B,Idea-to-Text,Accuracy,0.023193247252520213,33,
GROUP_TASK,ALL,B,Idea-to-Text,Constructiveness,0.782383385532422,33,
GROUP_TASK,ALL,B,Idea-to-Text,Motivational,-0.04216391318444512,33,
GROUP_TASK,ALL,B,Idea-to-Text,Sentiment,-0.08092485965921124,33,
GROUP_TASK,ALL,B,Interpret,Fluency,0.2878869083403822,31,
GROUP_TASK,ALL,B,Interpret,Coherence,-0.13402585412549461,31,
GROUP_TASK,ALL,B,Interpret,Conciseness,0.13657329502843102,31,
GROUP_TASK,ALL,B,Interpret,Accuracy,-0.16708439888690715,31,
GROUP_TASK,ALL,B,Interpret,Constructiveness,0.5128073572690023,31,
GROUP_TASK,ALL,B,Interpret,Motivational,0.35969650311712903,31,
GROUP_TASK,ALL,B,Interpret,Sentiment,0.3832092546436846,31,
GROUP_TASK,ALL,B,Summarise,Fluency,0.20010057120158387,29,
GROUP_TASK,ALL,B,Summarise,Coherence,0.44841254981967477,29,
GROUP_TASK,ALL,B,Summarise,Conciseness,0.09460859332303667,29,
GROUP_TASK,ALL,B,Summarise,Accuracy,-0.1610083267338683,29,
GROUP_TASK,ALL,B,Summarise,Constructiveness,0.1947994843387639,29,
GROUP_TASK,ALL,B,Summarise,Motivational,-0.03950774413157213,29,
GROUP_TASK,ALL,B,Summarise,Sentiment,0.04273562098406971,29,
GROUP_TASK,ALL,C,Idea-to-Text,Fluency,0.017478647392965008,24,
GROUP_TASK,ALL,C,Idea-to-Text,Coherence,0.1517435313120294,24,
GROUP_TASK,ALL,C,Idea-to-Text,Conciseness,0.1140260267599985,24,
GROUP_TASK,ALL,C,Idea-to-Text,Accuracy,0.26298041008483036,24,
GROUP_TASK,ALL,C,Idea-to-Text,Constructiveness,0.03151379295567547,24,
GROUP_TASK,ALL,C,Idea-to-Text,Motivational,0.3623860825027224,24,
GROUP_TASK,ALL,C,Idea-to-Text,Sentiment,0.2934260027525045,24,
GROUP_TASK,ALL,C,Interpret,Fluency,0.15557174716650884,25,
GROUP_TASK,ALL,C,Interpret,Coherence,0.22544637683354118,25,
GROUP_TASK,ALL,C,Interpret,Conciseness,-0.03127528867629254,25,
GROUP_TASK,ALL,C,Interpret,Accuracy,0.18009627135275877,25,
GROUP_TASK,ALL,C,Interpret,Constructiveness,-0.11322920015090507,25,
GROUP_TASK,ALL,C,Interpret,Motivational,0.4045441078384725,25,
GROUP_TASK,ALL,C,Interpret,Sentiment,-0.13625281086919855,25,
GROUP_TASK,ALL,C,Summarise,Fluency,0.46863975440759187,25,
GROUP_TASK,ALL,C,Summarise,Coherence,-0.5714987028848054,25,
GROUP_TASK,ALL,C,Summarise,Conciseness,0.4005158588897806,25,
GROUP_TASK,ALL,C,Summarise,Accuracy,0.2702313922104782,25,
GROUP_TASK,ALL,C,Summarise,Constructiveness,0.4342336402765355,25,
GROUP_TASK,ALL,C,Summarise,Motivational,0.36482836055400636,25,
GROUP_TASK,ALL,C,Summarise,Sentiment,-0.15468620039546144,25,
EVALUATOR,a1,A,ALL,Fluency,0.3441867013220501,21,
EVALUATOR,a1,A,ALL,Coherence,0.7496911128542305,21,
EVALUATOR,a1,A,ALL,Conciseness,-0.16396270890008235,21,
EVALUATOR,a1,A,ALL,Accuracy,-0.2763280440543337,21,
EVALUATOR,a1,A,ALL,Constructiveness,0.13204356572167858,21,
EVALUATOR,a1,A,ALL,Motivational,-0.0553368905769305,21,
EVALUATOR,a1,A,ALL,Sentiment,-0.16945068749541545,21,
EVALUATOR,a2,A,ALL,Fluency,0.5205476947036034,16,
EVALUATOR,a2,A,ALL,Coherence,1.0142261101603853,16,
EVALUATOR,a2,A,ALL,Conciseness,-0.44861750924351507,16,
EVALUATOR,a2,A,ALL,Accuracy,-0.5627330019965492,16,
