scope,evaluator_id,group,task_type,criterion,spearman_rho,N
ALL,ALL,ALL,ALL,Fluency,0.47011974362375714,340
ALL,ALL,ALL,ALL,Coherence,0.4937699990617225,340
ALL,ALL,ALL,ALL,Conciseness,0.052368180097516155,340
ALL,ALL,ALL,ALL,Accuracy,0.0905840701955867,264
ALL,ALL,ALL,ALL,Constructiveness,0.5063235051459669,340
ALL,ALL,ALL,ALL,Motivational,0.3827430543197974,340
ALL,ALL,ALL,ALL,Sentiment,0.3876429659922932,340
TASK,ALL,ALL,Idea-to-Text,Fluency,0.44667294185793927,112
TASK,ALL,ALL,Idea-to-Text,Coherence,0.5924082253276373,112
TASK,ALL,ALL,Idea-to-Text,Conciseness,0.32694048222431393,112
TASK,ALL,ALL,Idea-to-Text,Accuracy,0.09308239622311217,87
TASK,ALL,ALL,Idea-to-Text,Constructiveness,0.5797190645137933,112
TASK,ALL,ALL,Idea-to-Text,Motivational,0.29262001303308954,112
TASK,ALL,ALL,Idea-to-Text,Sentiment,0.4618148577221055,112
TASK,ALL,ALL,Interpret,Fluency,0.37900471142520614,120
TASK,ALL,ALL,Interpret,Coherence,0.4573395170789164,120
TASK,ALL,ALL,Interpret,Conciseness,-0.01657096584216726,120
TASK,ALL,ALL,Interpret,Accuracy,0.0749559767259453,88
TASK,ALL,ALL,Interpret,Constructiveness,0.41540783274440524,120
TASK,ALL,ALL,Interpret,Motivational,0.487963780918728,120
TASK,ALL,ALL,Interpret,Sentiment,0.33392962308598356,120
TASK,ALL,ALL,Summarise,Fluency,0.595499041275608,108
TASK,ALL,ALL,Summarise,Coherence,0.432016348773842,108
TASK,ALL,ALL,Summarise,Conciseness,-0.155858310626703,108
TASK,ALL,ALL,Summarise,Accuracy,0.10377890475092244,89
TASK,ALL,ALL,Summarise,Constructiveness,0.5312796447673831,108
TASK,ALL,ALL,Summarise,Motivational,0.35962761126248866,108
TASK,ALL,ALL,Summarise,Sentiment,0.3702063780401655,108
GROUP,ALL,A,ALL,Fluency,0.43333333333333335,120
GROUP,ALL,A,ALL,Coherence,0.5333333333333333,120
GROUP,ALL,A,ALL,Conciseness,0.06,120
GROUP,ALL,A,ALL,Accuracy,0.17377979164856017,97
GROUP,ALL,A,ALL,Constructiveness,0.48666666666666664,120
GROUP,ALL,A,ALL,Motivational,0.31999999999999995,120
GROUP,ALL,A,ALL,Sentiment,0.3933333333333333,120
GROUP,ALL,B,ALL,Fluency,0.5931034482758621,116
GROUP,ALL,B,ALL,Coherence,0.703448275862069,116
GROUP,ALL,B,ALL,Conciseness,0.013793103448275864,116
GROUP,ALL,B,ALL,Accuracy,-0.06700347408838805,93
GROUP,ALL,B,ALL,Constructiveness,0.6827586206896552,116
GROUP,ALL,B,ALL,Motivational,0.4137931034482759,116
GROUP,ALL,B,ALL,Sentiment,0.4,116
GROUP,ALL,C,ALL,Fluency,0.3825022361359571,104
GROUP,ALL,C,ALL,Coherence,0.246690518783542,104
GROUP,ALL,C,ALL,Conciseness,0.09301207513416815,104
GROUP,ALL,C,ALL,Accuracy,0.16922650909310522,74
GROUP,ALL,C,ALL,Constructiveness,0.34224060822898034,104
GROUP,ALL,C,ALL,Motivational,0.4061046511627907,104
GROUP,ALL,C,ALL,Sentiment,0.3806686046511628,104
GROUP_TASK,ALL,A,Idea-to-Text,Fluency,0.33999999999999997,40
GROUP_TASK,ALL,A,Idea-to-Text,Coherence,0.5599999999999999,40
GROUP_TASK,ALL,A,Idea-to-Text,Conciseness,0.37999999999999995,40
GROUP_TASK,ALL,A,Idea-to-Text,Accuracy,0.07545818254146856,30
GROUP_TASK,ALL,A,Idea-to-Text,Constructiveness,0.44,40
GROUP_TASK,ALL,A,Idea-to-Text,Motivational,0.15999999999999998,40
GROUP_TASK,ALL,A,Idea-to-Text,Sentiment,0.41999999999999993,40
