"Group","Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"A","Idea-to-Text","DeepSeek","42","42","0.0933633060759815","0.022332633964103","0.0103041981171818","0.00716891690462648","0.187846365772627","0.573406593406593","0.282724861345551","0.839362512434765","3.20494172247019","0.839362512434765","0.980115697310819","0.879147315025329","0.909402954578399","0.893983536958694"
"B","Idea-to-Text","DeepSeek","42.2","42.2","0.119421983701053","0.0559867514915322","0.0280898791037479","0.0142902660878765","0.186138115848168","0.558315018315018","0.278581352907301","0.891434307294772","3.33278388014519","0.891434307294772","1","0.877362978458404","0.901649355888366","0.889336311817169"
"C","Idea-to-Text","DeepSeek","40.1","40.1","0.105876479817429","0.0547197733905397","0.0220012024828854","0.0122275819235357","0.199195558399666","0.581611721611721","0.296476677906668","0.887271430609043","3.08937728699164","0.887271430609043","1","0.876867353916168","0.904519456624984","0.890450567007064"
"","","AVG","41.43333333333334","41.43333333333334","0.10622058986482118","0.0443463862820583","0.0201317599012717","0.011228921638679562","0.19106001334015366","0.5711111111111107","0.28592763071984","0.8726894167795267","3.2090342965356733","0.8726894167795267","0.9933718991036063","0.8777925491333004","0.905190589030583","0.8912568052609756"
"","","STDEV.S","1.1590225767142484","1.1590225767142484","0.013032746398414558","0.019074990870621943","0.009039011213259866","0.003664204595932881","0.007097171937653768","0.01181676882021089","0.009367708522200334","0.028936902053931412","0.12175489423228764","0.028936902053931412","0.011480207510246655","0.0011991471504238522","0.003920125915184897","0.0024262502901717543"
"A","Interpret","DeepSeek","53.5","53.5","0.128812704053085","0.032268307183121","0.0110058211203542","0.00651302912070891","0.146684708636416","0.143523982055016","0.136869717996087","0.910982618327289","0.967349232571444","0.910982618327289","1","0.842948335409164","0.865963101387023","0.854183733463287"
"B","Interpret","DeepSeek","45","45","0.0892921788158245","0.015709295620666","0.00732496382789675","0.00509517762408476","0.127748223244921","0.104553672410815","0.114034095104251","0.960935769656699","0.795070046763681","0.960935769656699","1","0.846127843856811","0.864952343702316","0.855416852235794"
"C","Interpret","DeepSeek","52.9","52.9","0.133434014494356","0.0519031829613725","0.018559852636132","0.00961322561420871","0.14619073720911","0.125794320976422","0.132084282354321","0.940735003126264","0.854239303801054","0.940735003126264","1","0.84560043811798","0.86297224164009","0.854138618707656"
"","","AVG","50.46666666666667","50.46666666666667","0.11717963245442183","0.03329359525505317","0.012296879194794316","0.007073810786334127","0.14020788969681566","0.12462399181408433","0.12766269848488632","0.937551130370084","0.8722195277120597","0.937551130370084","1","0.8448922057946516","0.8646292289098098","0.8545797348022456"
"","","STDEV.S","4.743767841424507","4.743767841424507","0.024261526752913484","0.018118713583772258","0.0057276351880191515","0.00231063767554366","0.010793213979723593","0.01951149689804423","0.012042807859895867","0.02512831303988379","0.08753568303591319","0.02512831303988379","0","0.0017039698530255337","0.0015213851857135126","0.0007253158163564677"
"A","Summarise","DeepSeek","16.3","16.3","0.0360857058578557","0.0211349510046772","0.0135885521730349","0.0101434123019544","0.72844537815126","0.193260516213346","0.30300723905771","0.982608695652173","0.271605121332181","0.982608695652173","1","0.901052790880203","0.86646624803543","0.883387511968612"
"B","Summarise","DeepSeek","15.1","15.1","0.0570578590598735","0.0324821987161104","0.0218837287106611","0.00970715523549113","0.741667205343675","0.241065654365959","0.359817492449071","0.986666666666666","0.309963624033242","0.986666666666666","1","0.909311121702194","0.878047025203704","0.893396592140197"
"C","Summarise","DeepSeek","14.6","14.6","0.0866155170264303","0.0579602734292898","0.0333555837285963","0.0144804194460516","0.856484962406015","0.285533375274228","0.422331064028948","0.986666666666666","0.319067279534998","0.986666666666666","1","0.923781704902648","0.888523280620575","0.905780923366546"
"","","AVG","15.333333333333334","15.333333333333334","0.0599196939813865","0.03719247438335913","0.022942621537430766","0.011443662327832378","0.7755325153003166","0.23995318195117768","0.36171859851190963","0.985314009661835","0.30021200830014033","0.985314009661835","1","0.911381872495015","0.8776788512865696","0.8941883424917849"
"","","STDEV.S","0.8736894948054101","0.8736894948054101","0.025386177902973997","0.018859112268748906","0.009925967189326099","0.00263893925722081","0.0704178826568734","0.046146487688366766","0.059684624943433136","0.002342870657581239","0.025188978192294043","0.002342870657581239","0","0.011505081042496002","0.011033124473170805","0.011217681131754089"
"","","","","","","","","","","","","","","","","","",""
"","","TOTAL","","","","","","","","","","","","","","","",""
"","","AVG","35.74444444444445","35.74444444444445","0.09443997210020985","0.03827748530682354","0.018457086877832263","0.009915464917615354","0.36893347277909533","0.3118960949587909","0.25843630923887867","0.9318515189371487","1.4604886108492912","0.9318515189371487","0.9977906330345354","0.878022209140989","0.8824995564089875","0.880008294185002"
"","","STDEV.S","15.993679307081837","15.993679307081837","0.032304099010813374","0.016897345397350338","0.008722720585174868","0.003314090120930412","0.3078316315284304","0.2023662550817146","0.10791449114295545","0.05258465124123949","1.3367584598565592","0.05258465124123949","0.006628100896393659","0.029378920435215533","0.018878678330817553","0.019959776733563295"
