"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"B11","Summarise","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","1","1","1","0","0.666666666666666","0","0"
"B11","Summarise","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0","0","0","","1","0","1","0.666666666666666"
"B11","Summarise","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","0.333333333333333","0.333333333333333","","0.333333333333333","0.333333333333333","0.666666666666666","0.333333333333333"
"B11","Summarise","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","1","0.666666666666666","0.666666666666666","0","0.666666666666666","1","0.333333333333333","1"
"B17","Interpret","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","1","1","0.666666666666666","1","1","1","1","1"
"B17","Interpret","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","0.666666666666666","0","0","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B17","Interpret","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0","0","0.333333333333333","","0","0","0","0"
"B17","Interpret","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","0.333333333333333","1","","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"B18","Interpret","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","1","0.666666666666666","0.666666666666666","1","1","0.666666666666666","0.666666666666666","0.666666666666666"
"B18","Interpret","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","0.333333333333333","0","","0.333333333333333","0","0","0.333333333333333"
"B18","Interpret","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","0","0.333333333333333","0","0.666666666666666","1","1","0"
"B18","Interpret","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","0","1","1","","0","0.333333333333333","0.333333333333333","1"
"B5","Idea-to-Text","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","0.666666666666666","0.666666666666666","0","0.666666666666666","0.666666666666666","1","0.666666666666666"
"B5","Idea-to-Text","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","0.333333333333333","0.333333333333333","","0.333333333333333","0.333333333333333","0","0.333333333333333"
"B5","Idea-to-Text","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0","0","0","","0","0","0.333333333333333","0"
"B5","Idea-to-Text","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","1","1","1","1","1","1","0.666666666666666","1"
"B6","Idea-to-Text","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","0.333333333333333","0.333333333333333","0","1","1","1","0.333333333333333"
"B6","Idea-to-Text","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","1","1","1","0","0.333333333333333","0.333333333333333","1"
"B6","Idea-to-Text","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0","0","0","0.333333333333333","0.333333333333333","0","0","0"
"B6","Idea-to-Text","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","1","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B9","Summarise","DeepSeek-R1-0528","b2_DiFAgWQ8kyD5CJQGlknX","0.666666666666666","0.666666666666666","1","1","0","0","0","0"
"B9","Summarise","Qwen3-235B-A22B-2507","b2_DiFAgWQ8kyD5CJQGlknX","0.333333333333333","1","0","0","1","1","0.333333333333333","0.333333333333333"
"B9","Summarise","gemini-2.5-flash","b2_DiFAgWQ8kyD5CJQGlknX","0","0.333333333333333","0.666666666666666","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B9","Summarise","gemini-2.5-pro","b2_DiFAgWQ8kyD5CJQGlknX","1","0","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333","1","1"
