task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
B1,Idea-to-Text,DeepSeek,B_V5,0.0,1.0,0.0,,1.0,1.0,1.0,0.33333333333333337
B1,Idea-to-Text,Flash,B_V5,1.0,0.6666666666666667,0.6666666666666667,,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.6666666666666667
B1,Idea-to-Text,Gemini,B_V5,0.33333333333333337,0.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
B1,Idea-to-Text,Qwen,B_V5,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0,0.0,0.33333333333333337,0.6666666666666667,1.0
B10,Summarise,DeepSeek,B_V5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
B10,Summarise,Flash,B_V5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0
B10,Summarise,Gemini,B_V5,0.33333333333333337,0.33333333333333337,1.0,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337
B10,Summarise,Qwen,B_V5,1.0,1.0,0.33333333333333337,,1.0,1.0,1.0,0.6666666666666667
B15,Interpret,DeepSeek,B_V5,0.0,0.0,0.6666666666666667,1.0,0.6666666666666667,1.0,0.33333333333333337,0.0
B15,Interpret,Flash,B_V5,0.6666666666666667,0.6666666666666667,0.33333333333333337,,0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667
B15,Interpret,Gemini,B_V5,0.33333333333333337,0.33333333333333337,1.0,0.0,0.33333333333333337,0.0,0.0,0.33333333333333337
B15,Interpret,Qwen,B_V5,1.0,1.0,0.0,,1.0,0.6666666666666667,1.0,1.0
B16,Interpret,DeepSeek,B_V5,0.33333333333333337,0.0,0.6666666666666667,,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667
B16,Interpret,Flash,B_V5,0.0,0.33333333333333337,0.0,1.0,0.33333333333333337,0.0,0.6666666666666667,0.0
B16,Interpret,Gemini,B_V5,0.6666666666666667,0.6666666666666667,1.0,0.0,0.0,0.33333333333333337,0.0,1.0
B16,Interpret,Qwen,B_V5,1.0,1.0,0.33333333333333337,,1.0,1.0,1.0,0.33333333333333337
B2,Idea-to-Text,DeepSeek,B_V5,1.0,0.33333333333333337,0.6666666666666667,,1.0,0.6666666666666667,0.6666666666666667,1.0
B2,Idea-to-Text,Flash,B_V5,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667,0.0,0.33333333333333337,0.6666666666666667
B2,Idea-to-Text,Gemini,B_V5,0.0,0.0,1.0,,0.0,1.0,1.0,0.0
B2,Idea-to-Text,Qwen,B_V5,0.33333333333333337,1.0,0.0,1.0,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337
B8,Summarise,DeepSeek,B_V5,0.0,0.0,1.0,,0.0,0.0,0.0,0.0
B8,Summarise,Flash,B_V5,0.33333333333333337,0.6666666666666667,0.0,0.5,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337
B8,Summarise,Gemini,B_V5,1.0,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0
B8,Summarise,Qwen,B_V5,0.6666666666666667,1.0,0.6666666666666667,1.0,1.0,0.33333333333333337,1.0,0.6666666666666667
