"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"B12","Summarise","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","0","0","1","0.666666666666666","0","0","0.666666666666666","1"
"B12","Summarise","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","1","1","0.333333333333333","1","0.666666666666666","1","1","0.333333333333333"
"B12","Summarise","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0.333333333333333","0","0.333333333333333","0.333333333333333","0.333333333333333","0","0"
"B12","Summarise","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","0.666666666666666","0","1","0.666666666666666","0.333333333333333","0.666666666666666"
"B14","Interpret","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","0","0.333333333333333","1","0.666666666666666","1","0.666666666666666","0","0.333333333333333"
"B14","Interpret","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","1","1","0.666666666666666","0","0.666666666666666","1","1","1"
"B14","Interpret","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0","0","0.333333333333333","0","0","0.333333333333333","0"
"B14","Interpret","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","0.333333333333333","1","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666"
"B18","Interpret","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","0","0","0.666666666666666","1","1","0.333333333333333","0.333333333333333","0"
"B18","Interpret","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B18","Interpret","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","1","1","0","0","0.333333333333333","1","1","1"
"B18","Interpret","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0.333333333333333","1","0.666666666666666","0","0","0","0.333333333333333"
"B2","Idea-to-Text","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","1","1","0.666666666666666","1","1","1","0.666666666666666","1"
"B2","Idea-to-Text","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","0","0","0","0.333333333333333","0","0","0","0"
"B2","Idea-to-Text","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0.333333333333333","0.333333333333333","0","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"B2","Idea-to-Text","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","1","0.666666666666666","0.666666666666666","0.666666666666666","1","0.666666666666666"
"B3","Idea-to-Text","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","0","1","0.666666666666666","0.666666666666666","1","0"
"B3","Idea-to-Text","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","0","0","0.666666666666666","","0","0","0","0.333333333333333"
"B3","Idea-to-Text","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","1","1","0.333333333333333","0.5","1","1","0.666666666666666","0.666666666666666"
"B3","Idea-to-Text","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0.333333333333333","1","0","0.333333333333333","0.333333333333333","0.333333333333333","1"
"B7","Summarise","DeepSeek-R1-0528","b1_nWOb3YwMGCcgNgxUisS1","0","0","0","1","0.333333333333333","0.333333333333333","0","0.333333333333333"
"B7","Summarise","Qwen3-235B-A22B-2507","b1_nWOb3YwMGCcgNgxUisS1","1","1","1","0","1","1","1","1"
"B7","Summarise","gemini-2.5-flash","b1_nWOb3YwMGCcgNgxUisS1","0.666666666666666","0.666666666666666","0.333333333333333","0.5","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"B7","Summarise","gemini-2.5-pro","b1_nWOb3YwMGCcgNgxUisS1","0.333333333333333","0.333333333333333","0.666666666666666","","0","0","0.333333333333333","0"
