task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
A1,Idea-to-Text,DeepSeek,A_V1,0.33333333333333337,1.0,0.33333333333333337,,1.0,0.0,0.6666666666666667,0.33333333333333337
A1,Idea-to-Text,Flash,A_V1,1.0,0.33333333333333337,0.0,,0.33333333333333337,0.6666666666666667,0.33333333333333337,0.0
A1,Idea-to-Text,Gemini,A_V1,0.0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.33333333333333337,1.0,0.6666666666666667
A1,Idea-to-Text,Qwen,A_V1,0.6666666666666667,0.0,0.6666666666666667,1.0,0.0,1.0,0.0,1.0
A10,Summarise,DeepSeek,A_V1,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0
A10,Summarise,Flash,A_V1,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0
A10,Summarise,Gemini,A_V1,0.6666666666666667,0.6666666666666667,1.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337
A10,Summarise,Qwen,A_V1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666667
A15,Interpret,DeepSeek,A_V1,0.0,1.0,0.6666666666666667,1.0,0.6666666666666667,0.0,0.33333333333333337,0.33333333333333337
A15,Interpret,Flash,A_V1,0.6666666666666667,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667
A15,Interpret,Gemini,A_V1,0.33333333333333337,0.0,1.0,0.0,0.0,0.33333333333333337,0.0,1.0
A15,Interpret,Qwen,A_V1,1.0,0.6666666666666667,0.0,,1.0,1.0,1.0,0.0
A17,Interpret,DeepSeek,A_V1,0.0,0.33333333333333337,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,1.0
A17,Interpret,Flash,A_V1,0.33333333333333337,0.6666666666666667,0.0,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.0
A17,Interpret,Gemini,A_V1,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.6666666666666667
A17,Interpret,Qwen,A_V1,0.6666666666666667,1.0,0.33333333333333337,,1.0,1.0,1.0,0.33333333333333337
A5,Idea-to-Text,DeepSeek,A_V1,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,1.0
A5,Idea-to-Text,Flash,A_V1,0.0,1.0,0.0,0.33333333333333337,1.0,1.0,0.33333333333333337,0.0
A5,Idea-to-Text,Gemini,A_V1,1.0,0.0,1.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
A5,Idea-to-Text,Qwen,A_V1,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.0,0.0,0.0,0.6666666666666667
A9,Summarise,DeepSeek,A_V1,0.0,0.0,1.0,,0.0,0.0,0.33333333333333337,0.0
A9,Summarise,Flash,A_V1,0.6666666666666667,0.33333333333333337,0.33333333333333337,,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337
A9,Summarise,Gemini,A_V1,1.0,0.6666666666666667,0.6666666666666667,0.0,0.6666666666666667,1.0,1.0,1.0
A9,Summarise,Qwen,A_V1,0.33333333333333337,1.0,0.0,1.0,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667
