"Model","Category","Volunteer","Task_ID","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Gemini","Idea-to-Text","Volunteer 1","A1","34","34","0.08823529411764706","0.05170876899950193","0.020292060095690973","0.012813098990837714","0.16666666666666666","0.4","0.23529411764705882","0.9117647058823529","2.2666666651555554","0.9117647058823529","1.0","0.8751174211502075","0.8848809003829956","0.8799720406532288"
"Gemini","Idea-to-Text","Volunteer 1","A5","36","36","0.11111111111111109","0.05634361698190111","0.02105734001195878","0.012969527290112618","0.21052631578947367","0.6153846153846154","0.3137254901960784","0.8888888888888888","2.7692307671005914","0.8888888888888888","1.0","0.8858683705329895","0.896264910697937","0.8910362720489502"
"Gemini","Summarise","Volunteer 1","A9","24","24","0.14934734464433916","0.08808025856360387","0.021920678573223017","0.011063500174916106","0.4583333333333333","0.20754716981132076","0.28571428571428575","0.9583333333333334","0.45283018859380564","0.9583333333333334","1.0","0.9360156059265137","0.8953920006752014","0.9152532815933228"
"Gemini","Summarise","Volunteer 1","A10","25","25","0.0889377586198756","0.05942403955413845","0.04182204883026254","0.02695707995042931","0.56","0.19444444444444445","0.288659793814433","0.88","0.35211267600674473","0.88","1.0","0.9155693650245667","0.8823134303092957","0.8986337780952454"
"Gemini","Interpret","Volunteer 1","A15","48","48","0.14261660045138938","0.06612945825179653","0.015074049537605888","0.00723658644346491","0.3125","0.15463917525773196","0.20689655172413793","0.8125","0.4948453607737273","0.8125","1.0","0.898722767829895","0.8714467883110046","0.8848746418952942"
"Gemini","Interpret","Volunteer 1","A17","48","48","0.16666666666666669","0.05954913341754136","0.01975442319491853","0.011440503453835606","0.20408163265306123","0.24390243902439024","0.22222222222222224","0.8333333333333334","1.1707317070315288","0.8333333333333334","1.0","0.8924943208694458","0.9107358455657959","0.9015228152275085"
"Gemini","Idea-to-Text","Volunteer 2","A3","28","28","0.14285714285714285","0.023002185311411804","0.012672285514616442","0.009498525867740094","0.3103448275862069","0.6923076923076923","0.4285714285714286","0.9642857142857143","2.5454545431404956","0.9642857142857143","1.0","0.885592520236969","0.9133985638618469","0.8992806673049927"
"Gemini","Idea-to-Text","Volunteer 2","A6","31","31","0.2903225806451613","0.1967477507351859","0.13872365304194612","0.055567822622152444","0.3333333333333333","0.7333333333333333","0.45833333333333326","0.9032258064516129","2.2142857127040814","0.9032258064516129","1.0","0.901130735874176","0.9351714253425598","0.917835533618927"
"Gemini","Summarise","Volunteer 2","A7","22","22","0.05128917605320769","0.02347698990293678","0.006774871743957273","0.0036863749732093834","0.4782608695652174","0.14285714285714285","0.22","1.0","0.31428571424081636","1.0","1.0","0.9280557036399841","0.8800313472747803","0.9034057259559631"
"Gemini","Summarise","Volunteer 2","A11","21","21","0.036026938215830376","0.012305542071529407","0.004061477136184079","0.0023650804506268283","0.4166666666666667","0.13333333333333333","0.20202020202020202","1.0","0.28767123283730534","1.0","1.0","0.9008358716964722","0.8659863471984863","0.8830674290657043"
"Gemini","Interpret","Volunteer 2","A13","48","48","0.14583333333333334","0.055703113731932666","0.018894426063620906","0.011064891248476136","0.125","0.17142857142857143","0.14457831325301204","0.8125","1.3714285710367347","0.8125","1.0","0.8723054528236389","0.9016364812850952","0.8867284655570984"
"Gemini","Interpret","Volunteer 2","A17","48","48","0.16666666666666669","0.05954913341754136","0.01975442319491853","0.011440503453835606","0.20408163265306123","0.24390243902439024","0.22222222222222224","0.8333333333333334","1.1707317070315288","0.8333333333333334","1.0","0.8924943208694458","0.9107358455657959","0.9015228152275085"
"Gemini","Idea-to-Text","Volunteer 3","A4","33","33","0.12121212121212123","0.01946247360403808","0.010690830888365381","0.007988739893685173","0.24242424242424243","0.5714285714285714","0.3404255319148936","0.9393939393939394","2.5384615365088754","0.9393939393939394","1.0","0.8894139528274536","0.9019985198974609","0.8956620693206787"
"Gemini","Idea-to-Text","Volunteer 3","A6","31","31","0.2903225806451613","0.1967477507351859","0.13872365304194612","0.055567822622152444","0.3333333333333333","0.7333333333333333","0.45833333333333326","0.9032258064516129","2.2142857127040814","0.9032258064516129","1.0","0.901130735874176","0.9351714253425598","0.917835533618927"
"Gemini","Summarise","Volunteer 3","A8","25","25","0.22848362553952595","0.1277262296129968","0.07399615377361139","0.03202579814469659","0.4230769230769231","0.275","0.33333333333333337","0.92","0.6410256408612754","0.92","1.0","0.9335334897041321","0.9237128496170044","0.9285972118377686"
"Gemini","Summarise","Volunteer 3","A9","24","24","0.14934734464433916","0.08808025856360387","0.021920678573223017","0.011063500174916106","0.4583333333333333","0.20754716981132076","0.28571428571428575","0.9583333333333334","0.45283018859380564","0.9583333333333334","1.0","0.9360156059265137","0.8953920006752014","0.9152532815933228"
"Gemini","Interpret","Volunteer 3","A14","47","47","0.19129367096266123","0.06114636079802498","0.01954830283072849","0.011115224515509949","0.1836734693877551","0.17307692307692307","0.1782178217821782","0.7872340425531915","0.9038461536723372","0.7872340425531915","1.0","0.8732513189315796","0.8743764162063599","0.8738135099411011"
"Gemini","Interpret","Volunteer 3","A16","43","43","0.11468129498964243","0.046109031257059716","0.023786572133739647","0.009666867333019614","0.25","0.10377358490566038","0.1466666666666667","0.813953488372093","0.42574257421527306","0.813953488372093","0.9523809523809523","0.8830397725105286","0.8672794103622437","0.8750885725021362"
"Gemini","Idea-to-Text","Volunteer 4","A2","31","31","0.12903225806451615","0.02073903389460851","0.011404064937575942","0.008531104334876973","0.21875","0.4666666666666667","0.2978723404255319","0.8709677419354839","2.2142857127040814","0.8709677419354839","1.0","0.9120890498161316","0.9422557950019836","0.9269270300865173"
"Gemini","Idea-to-Text","Volunteer 4","A3","28","28","0.14285714285714285","0.023002185311411804","0.012672285514616442","0.009498525867740094","0.3103448275862069","0.6923076923076923","0.4285714285714286","0.9642857142857143","2.5454545431404956","0.9642857142857143","1.0","0.885592520236969","0.9133985638618469","0.8992806673049927"
"Gemini","Summarise","Volunteer 4","A8","25","25","0.22848362553952595","0.1277262296129968","0.07399615377361139","0.03202579814469659","0.4230769230769231","0.275","0.33333333333333337","0.92","0.6410256408612754","0.92","1.0","0.9335334897041321","0.9237128496170044","0.9285972118377686"
"Gemini","Summarise","Volunteer 4","A11","21","21","0.036026938215830376","0.012305542071529407","0.004061477136184079","0.0023650804506268283","0.4166666666666667","0.13333333333333333","0.20202020202020202","1.0","0.28767123283730534","1.0","1.0","0.9008358716964722","0.8659863471984863","0.8830674290657043"
"Gemini","Interpret","Volunteer 4","A13","48","48","0.14583333333333334","0.055703113731932666","0.018894426063620906","0.011064891248476136","0.125","0.17142857142857143","0.14457831325301204","0.8125","1.3714285710367347","0.8125","1.0","0.8723054528236389","0.9016364812850952","0.8867284655570984"
"Gemini","Interpret","Volunteer 4","A16","43","43","0.11468129498964243","0.046109031257059716","0.023786572133739647","0.009666867333019614","0.25","0.10377358490566038","0.1466666666666667","0.813953488372093","0.42574257421527306","0.813953488372093","0.9523809523809523","0.8830397725105286","0.8672794103622437","0.8750885725021362"
"Gemini","Idea-to-Text","Volunteer 5","A2","31","31","0.12903225806451615","0.02073903389460851","0.011404064937575942","0.008531104334876973","0.21875","0.4666666666666667","0.2978723404255319","0.8709677419354839","2.2142857127040814","0.8709677419354839","1.0","0.9120890498161316","0.9422557950019836","0.9269270300865173"
"Gemini","Idea-to-Text","Volunteer 5","A4","33","33","0.12121212121212123","0.01946247360403808","0.010690830888365381","0.007988739893685173","0.24242424242424243","0.5714285714285714","0.3404255319148936","0.9393939393939394","2.5384615365088754","0.9393939393939394","1.0","0.8894139528274536","0.9019985198974609","0.8956620693206787"
"Gemini","Summarise","Volunteer 5","A10","25","25","0.0889377586198756","0.05942403955413845","0.04182204883026254","0.02695707995042931","0.56","0.19444444444444445","0.288659793814433","0.88","0.35211267600674473","0.88","1.0","0.9155693650245667","0.8823134303092957","0.8986337780952454"
"Gemini","Summarise","Volunteer 5","A12","19","19","0.027273505494045086","0.01401043159812857","0.009077220687682217","0.004171438249036613","0.42105263157894735","0.1111111111111111","0.1758241758241758","1.0","0.26760563376512597","1.0","1.0","0.8885972499847412","0.8392713665962219","0.8632302284240723"
"Gemini","Interpret","Volunteer 5","A15","48","48","0.14261660045138938","0.06612945825179653","0.015074049537605888","0.00723658644346491","0.3125","0.15463917525773196","0.20689655172413793","0.8125","0.4948453607737273","0.8125","1.0","0.898722767829895","0.8714467883110046","0.8848746418952942"
"Gemini","Interpret","Volunteer 5","A18","43","43","0.09836402523476184","0.0314735604382226","0.010072506289196656","0.005733427822910883","0.2222222222222222","0.12195121951219512","0.15748031496062992","0.8837209302325582","0.5374999999328125","0.8837209302325582","1.0","0.8678550124168396","0.8620067238807678","0.8649210333824158"
"DeepSeek","Idea-to-Text","Volunteer 1","A1","47","47","0.042553191489361694","0.009618052714575416","0.005901837724747122","0.004649189828106597","0.12","0.4","0.18461538461538463","0.8936170212765957","3.1333333312444442","0.8936170212765957","1.0","0.8611931800842285","0.8764908909797668","0.8687747120857239"
"DeepSeek","Idea-to-Text","Volunteer 1","A5","43","43","0.06976744186046512","0.012888481555661671","0.007399571153603334","0.0056414392419841305","0.2","0.6923076923076923","0.31034482758620696","0.9069767441860465","3.307692305147929","0.9069767441860465","1.0","0.8771457672119141","0.8953773379325867","0.8861677646636963"
"DeepSeek","Summarise","Volunteer 1","A9","14","14","0.030842506283988023","0.012097426260781769","0.0042214481513175505","0.0025485481182263335","0.7857142857142857","0.20754716981132076","0.3283582089552239","1.0","0.2641509433463866","1.0","1.0","0.8889338970184326","0.8607594966888428","0.8746198415756226"
"DeepSeek","Summarise","Volunteer 1","A10","15","15","0.009565197145122127","0.005716298640886815","0.0039171794477614996","0.001860344062310956","0.7857142857142857","0.1527777777777778","0.2558139534883721","1.0","0.21126760560404684","1.0","1.0","0.8847596645355225","0.8543266654014587","0.8692768812179565"
"DeepSeek","Interpret","Volunteer 1","A15","54","54","0.12527673085870955","0.03265004072947385","0.009741945027071403","0.005347304801815223","0.1896551724137931","0.1134020618556701","0.14193548387096774","0.9259259259259259","0.5567010308704432","0.9259259259259259","1.0","0.8474927544593811","0.8530896902084351","0.8502820134162903"
"DeepSeek","Interpret","Volunteer 1","A17","51","51","0.15686274509803924","0.05601120336112041","0.018568831508838236","0.010746774156890347","0.18518518518518517","0.24390243902439024","0.21052631578947367","0.8627450980392157","1.2439024387209994","0.8627450980392157","1.0","0.8579623699188232","0.8812958002090454","0.8694725632667542"
"DeepSeek","Idea-to-Text","Volunteer 2","A3","41","41","0.0975609756097561","0.015617376188860608","0.00855166170086597","0.006369304104455854","0.21428571428571427","0.6923076923076923","0.32727272727272727","0.8536585365853658","3.727272723884297","0.8536585365853658","0.975","0.8712484836578369","0.910713791847229","0.8905441164970398"
"DeepSeek","Idea-to-Text","Volunteer 2","A6","42","42","0.11904761904761905","0.01703995441477492","0.008987225151920821","0.006568301273760529","0.20930232558139536","0.6","0.3103448275862069","0.8333333333333334","2.9999999978571426","0.8333333333333334","0.9512195121951219","0.8806769847869873","0.9155384302139282","0.8977693915367126"
"DeepSeek","Summarise","Volunteer 2","A7","18","18","0.024727999234596804","0.015581756180729598","0.009451370197869475","0.004206696112019467","0.7058823529411765","0.15584415584415584","0.2553191489361702","1.0","0.25714285710612245","1.0","1.0","0.8931750655174255","0.8594440221786499","0.8759849667549133"
"DeepSeek","Summarise","Volunteer 2","A11","23","23","0.06922799613204017","0.05350758055641036","0.04531215475298041","0.03814072335488702","0.7083333333333334","0.22666666666666666","0.3434343434343434","0.9130434782608695","0.3150684931075249","0.9130434782608695","1.0","0.9124348759651184","0.8708372116088867","0.8911508917808533"
"DeepSeek","Interpret","Volunteer 2","A13","59","59","0.15254237288135594","0.05128392449635185","0.016648018488878945","0.009527411106913531","0.11290322580645161","0.2","0.1443298969072165","0.8983050847457628","1.685714285232653","0.8983050847457628","1.0","0.8375102281570435","0.8973685503005981","0.8664067387580872"
"DeepSeek","Interpret","Volunteer 2","A17","51","51","0.15686274509803924","0.05601120336112041","0.018568831508838236","0.010746774156890347","0.18518518518518517","0.24390243902439024","0.21052631578947367","0.8627450980392157","1.2439024387209994","0.8627450980392157","1.0","0.8579623699188232","0.8812958002090454","0.8694725632667542"
"DeepSeek","Idea-to-Text","Volunteer 3","A4","40","40","0.075","0.013867504905630728","0.007969009659521962","0.006081389695809871","0.14634146341463414","0.42857142857142855","0.2181818181818182","0.8","3.0769230745562126","0.8","0.9743589743589743","0.8797357678413391","0.8958963751792908","0.8877425193786621"
"DeepSeek","Idea-to-Text","Volunteer 3","A6","42","42","0.11904761904761905","0.01703995441477492","0.008987225151920821","0.006568301273760529","0.20930232558139536","0.6","0.3103448275862069","0.8333333333333334","2.9999999978571426","0.8333333333333334","0.9512195121951219","0.8806769847869873","0.9155384302139282","0.8977693915367126"
"DeepSeek","Summarise","Volunteer 3","A8","13","13","0.05205203201408181","0.024228902327019467","0.008972124192374158","0.005591447047890486","0.6428571428571429","0.225","0.33333333333333337","1.0","0.33333333324786324","1.0","1.0","0.9215736985206604","0.8966126441955566","0.9089218378067017"
"DeepSeek","Summarise","Volunteer 3","A9","14","14","0.030842506283988023","0.012097426260781769","0.0042214481513175505","0.0025485481182263335","0.7857142857142857","0.20754716981132076","0.3283582089552239","1.0","0.2641509433463866","1.0","1.0","0.8889338970184326","0.8607594966888428","0.8746198415756226"
"DeepSeek","Interpret","Volunteer 3","A14","57","57","0.17543859649122806","0.017699808135119722","0.008289432686930534","0.0056989542032516195","0.0967741935483871","0.11538461538461539","0.10526315789473684","0.8947368421052632","1.0961538459430473","0.8947368421052632","1.0","0.835871160030365","0.866455078125","0.8508883714675903"
"DeepSeek","Interpret","Volunteer 3","A16","52","52","0.07494758189256577","0.007567879512889552","0.00354742422637388","0.002441046587064953","0.1320754716981132","0.0660377358490566","0.0880503144654088","0.9423076923076923","0.5148514850975395","0.9423076923076923","1.0","0.8363035321235657","0.8431463241577148","0.8397110104560852"
"DeepSeek","Idea-to-Text","Volunteer 4","A2","42","42","0.11904761904761905","0.0538850671761303","0.019362389634425284","0.011680274914060781","0.20930232558139536","0.6","0.3103448275862069","0.8095238095238095","2.9999999978571426","0.8095238095238095","1.0","0.8949058651924133","0.9389320611953735","0.9163904190063477"
"DeepSeek","Idea-to-Text","Volunteer 4","A3","41","41","0.0975609756097561","0.015617376188860608","0.00855166170086597","0.006369304104455854","0.21428571428571427","0.6923076923076923","0.32727272727272727","0.8536585365853658","3.727272723884297","0.8536585365853658","0.975","0.8712484836578369","0.910713791847229","0.8905441164970398"
"DeepSeek","Summarise","Volunteer 4","A8","13","13","0.05205203201408181","0.024228902327019467","0.008972124192374158","0.005591447047890486","0.6428571428571429","0.225","0.33333333333333337","1.0","0.33333333324786324","1.0","1.0","0.9215736985206604","0.8966126441955566","0.9089218378067017"
