task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
C11,Q01,Summarise,Fluency,4.0,2.0,3.0,1.0,C_V4
C11,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V4
C11,Q03,Summarise,Conciseness,1.0,2.0,4.0,3.0,C_V4
C11,Q04,Summarise,Accuracy,,2.0,1.0,,C_V4
C11,Q05,Summarise,Sentiment match,4.0,2.0,3.0,1.0,C_V4
C11,Q06,Summarise,Motivational tone,4.0,3.0,1.0,2.0,C_V4
C11,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V4
C11,Q08,Summarise,Final choice,4.0,3.0,2.0,1.0,C_V4
C16,Q01,Interpret,Fluency,4.0,1.0,3.0,2.0,C_V4
C16,Q02,Interpret,Coherence,3.0,2.0,4.0,1.0,C_V4
C16,Q03,Interpret,Conciseness,2.0,3.0,1.0,4.0,C_V4
C16,Q04,Interpret,Accuracy,1.0,,2.0,,C_V4
C16,Q05,Interpret,Sentiment match,1.0,3.0,2.0,4.0,C_V4
C16,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,C_V4
C16,Q07,Interpret,Constructiveness,3.0,2.0,4.0,1.0,C_V4
C16,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,C_V4
C17,Q01,Interpret,Fluency,4.0,2.0,3.0,1.0,C_V4
C17,Q02,Interpret,Coherence,3.0,2.0,4.0,1.0,C_V4
C17,Q03,Interpret,Conciseness,1.0,3.0,2.0,4.0,C_V4
C17,Q04,Interpret,Accuracy,,1.0,2.0,,C_V4
C17,Q05,Interpret,Sentiment match,1.0,4.0,3.0,2.0,C_V4
C17,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,C_V4
C17,Q07,Interpret,Constructiveness,3.0,2.0,4.0,1.0,C_V4
C17,Q08,Interpret,Final choice,3.0,2.0,4.0,1.0,C_V4
C5,Q01,Idea-to-Text,Fluency,3.0,4.0,1.0,2.0,C_V4
C5,Q02,Idea-to-Text,Coherence,1.0,2.0,4.0,3.0,C_V4
C5,Q03,Idea-to-Text,Conciseness,3.0,4.0,1.0,2.0,C_V4
C5,Q04,Idea-to-Text,Accuracy,,,2.0,1.0,C_V4
C5,Q05,Idea-to-Text,Sentiment match,3.0,4.0,2.0,1.0,C_V4
C5,Q06,Idea-to-Text,Motivational tone,4.0,2.0,1.0,3.0,C_V4
C5,Q07,Idea-to-Text,Constructiveness,2.0,1.0,4.0,3.0,C_V4
C5,Q08,Idea-to-Text,Final choice,2.0,1.0,4.0,3.0,C_V4
C6,Q01,Idea-to-Text,Fluency,1.0,4.0,3.0,2.0,C_V4
C6,Q02,Idea-to-Text,Coherence,1.0,4.0,2.0,3.0,C_V4
C6,Q03,Idea-to-Text,Conciseness,2.0,4.0,1.0,3.0,C_V4
C6,Q04,Idea-to-Text,Accuracy,2.0,3.0,4.0,1.0,C_V4
C6,Q05,Idea-to-Text,Sentiment match,1.0,2.0,4.0,3.0,C_V4
C6,Q06,Idea-to-Text,Motivational tone,2.0,4.0,1.0,3.0,C_V4
C6,Q07,Idea-to-Text,Constructiveness,1.0,3.0,4.0,2.0,C_V4
C6,Q08,Idea-to-Text,Final choice,1.0,4.0,3.0,2.0,C_V4
C8,Q01,Summarise,Fluency,4.0,1.0,2.0,3.0,C_V4
C8,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V4
C8,Q03,Summarise,Conciseness,1.0,3.0,2.0,4.0,C_V4
C8,Q04,Summarise,Accuracy,,2.0,,1.0,C_V4
C8,Q05,Summarise,Sentiment match,4.0,2.0,3.0,1.0,C_V4
C8,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,C_V4
C8,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V4
C8,Q08,Summarise,Final choice,4.0,2.0,3.0,1.0,C_V4
