"Model","Category","Volunteer","Task_ID","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Gemini","Idea-to-Text","Volunteer 1","B2","33","33","0.060606060606060615","0.04351941398892446","0.018281063669093055","0.011945952463515465","0.14705882352941177","0.38461538461538464","0.21276595744680854","0.8787878787878788","2.5384615365088754","0.8787878787878788","1.0","0.8677241206169128","0.8861279487609863","0.8768294453620911"
"Gemini","Idea-to-Text","Volunteer 1","B3","32","32","0.09374999999999999","0.05499266813300748","0.021602106819883025","0.013654398783491636","0.25","0.5714285714285714","0.34782608695652173","0.9375","2.46153845964497","0.9375","1.0","0.8984266519546509","0.9073454141616821","0.9028639793395996"
"Gemini","Summarise","Volunteer 1","B7","21","21","0.08110612957047642","0.03392912825925549","0.009509576488052677","0.005103001395794738","0.47619047619047616","0.15625","0.23529411764705882","1.0","0.33870967736472424","1.0","1.0","0.9253954887390137","0.8893883228302002","0.907034695148468"
"Gemini","Summarise","Volunteer 1","B12","23","23","0.2838418467528829","0.17500991524524773","0.12007405983471078","0.0846607849654791","0.391304347826087","0.2571428571428571","0.3103448275862069","0.9565217391304348","0.657142856955102","0.9565217391304348","1.0","0.9332136511802673","0.9102078676223755","0.9215672016143799"
"Gemini","Interpret","Volunteer 1","B14","40","40","0.13381535712974757","0.013552008008565536","0.006371815868510488","0.0043983366674665006","0.16666666666666666","0.10606060606060606","0.12962962962962962","0.925","0.6153846152899409","0.925","1.0","0.864973783493042","0.8702226877212524","0.8675903081893921"
"Gemini","Interpret","Volunteer 1","B18","41","41","0.18060021625267372","0.019273427032885156","0.009219434815903422","0.006417963276276407","0.21951219512195122","0.1836734693877551","0.2","0.8536585365853658","0.8367346937067889","0.8536585365853658","1.0","0.8819431662559509","0.8859487175941467","0.8839413523674011"
"Gemini","Idea-to-Text","Volunteer 2","B5","31","31","0.09677419354838708","0.017960530202677495","0.010361280620032113","0.007939087147543497","0.25","0.5714285714285714","0.34782608695652173","0.8709677419354839","2.3846153827810648","0.8709677419354839","1.0","0.8953128457069397","0.9243195056915283","0.9095849990844727"
"Gemini","Idea-to-Text","Volunteer 2","B6","32","32","0.15625","0.022450662753346857","0.01188809752368403","0.008724383945340666","0.2571428571428571","0.6","0.36","0.84375","2.666666664444444","0.84375","1.0","0.9000794887542725","0.9288440346717834","0.9142355918884277"
"Gemini","Summarise","Volunteer 2","B9","20","20","0.02252460119677891","0.014615891266180596","0.008116243523024261","0.00345005364636679","0.5","0.12195121951219512","0.19607843137254902","1.0","0.24390243899464606","1.0","1.0","0.9017013907432556","0.8495303392410278","0.8748387694358826"
"Gemini","Summarise","Volunteer 2","B11","20","20","0.07819827455270031","0.04632066017398943","0.01274736860581488","0.006783429908998844","0.47619047619047616","0.18181818181818182","0.26315789473684215","0.95","0.3636363635702479","0.95","1.0","0.9304132461547852","0.8869664072990417","0.9081705212593079"
