task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
A11,Q01,Summarise,Fluency,4.0,2.0,1.0,3.0,A_V2
A11,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,A_V2
A11,Q03,Summarise,Conciseness,2.0,3.0,1.0,4.0,A_V2
A11,Q04,Summarise,Accuracy,2.0,3.0,1.0,4.0,A_V2
A11,Q05,Summarise,Sentiment match,3.0,2.0,4.0,1.0,A_V2
A11,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,A_V2
A11,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,A_V2
A11,Q08,Summarise,Final choice,4.0,2.0,3.0,1.0,A_V2
A13,Q01,Interpret,Fluency,2.0,4.0,3.0,1.0,A_V2
A13,Q02,Interpret,Coherence,1.0,3.0,4.0,2.0,A_V2
A13,Q03,Interpret,Conciseness,2.0,3.0,1.0,4.0,A_V2
A13,Q04,Interpret,Accuracy,1.0,,,2.0,A_V2
A13,Q05,Interpret,Sentiment match,2.0,4.0,1.0,3.0,A_V2
A13,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,A_V2
A13,Q07,Interpret,Constructiveness,1.0,3.0,4.0,2.0,A_V2
A13,Q08,Interpret,Final choice,4.0,1.0,3.0,2.0,A_V2
A17,Q01,Interpret,Fluency,2.0,3.0,1.0,4.0,A_V2
A17,Q02,Interpret,Coherence,3.0,1.0,4.0,2.0,A_V2
A17,Q03,Interpret,Conciseness,2.0,3.0,1.0,4.0,A_V2
A17,Q04,Interpret,Accuracy,,1.0,2.0,,A_V2
A17,Q05,Interpret,Sentiment match,2.0,4.0,1.0,3.0,A_V2
A17,Q06,Interpret,Motivational tone,3.0,2.0,4.0,1.0,A_V2
A17,Q07,Interpret,Constructiveness,2.0,4.0,3.0,1.0,A_V2
A17,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,A_V2
A3,Q01,Idea-to-Text,Fluency,3.0,2.0,4.0,1.0,A_V2
A3,Q02,Idea-to-Text,Coherence,1.0,3.0,4.0,2.0,A_V2
A3,Q03,Idea-to-Text,Conciseness,3.0,4.0,1.0,2.0,A_V2
A3,Q04,Idea-to-Text,Accuracy,,,2.0,1.0,A_V2
A3,Q05,Idea-to-Text,Sentiment match,2.0,4.0,1.0,3.0,A_V2
A3,Q06,Idea-to-Text,Motivational tone,1.0,3.0,2.0,4.0,A_V2
A3,Q07,Idea-to-Text,Constructiveness,3.0,1.0,4.0,2.0,A_V2
A3,Q08,Idea-to-Text,Final choice,2.0,3.0,4.0,1.0,A_V2
A6,Q01,Idea-to-Text,Fluency,3.0,1.0,4.0,2.0,A_V2
A6,Q02,Idea-to-Text,Coherence,3.0,2.0,4.0,1.0,A_V2
A6,Q03,Idea-to-Text,Conciseness,4.0,1.0,2.0,3.0,A_V2
A6,Q04,Idea-to-Text,Accuracy,,2.0,,1.0,A_V2
A6,Q05,Idea-to-Text,Sentiment match,4.0,2.0,3.0,1.0,A_V2
A6,Q06,Idea-to-Text,Motivational tone,1.0,3.0,2.0,4.0,A_V2
A6,Q07,Idea-to-Text,Constructiveness,2.0,3.0,1.0,4.0,A_V2
A6,Q08,Idea-to-Text,Final choice,2.0,3.0,1.0,4.0,A_V2
A7,Q01,Summarise,Fluency,4.0,2.0,1.0,3.0,A_V2
A7,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,A_V2
A7,Q03,Summarise,Conciseness,4.0,3.0,1.0,2.0,A_V2
A7,Q04,Summarise,Accuracy,,2.0,,1.0,A_V2
A7,Q05,Summarise,Sentiment match,4.0,2.0,3.0,1.0,A_V2
A7,Q06,Summarise,Motivational tone,3.0,2.0,1.0,4.0,A_V2
A7,Q07,Summarise,Constructiveness,4.0,3.0,2.0,1.0,A_V2
A7,Q08,Summarise,Final choice,4.0,3.0,2.0,1.0,A_V2
