scope,evaluator_id,task_type,criterion,std_beta,N,note
ALL,ALL,ALL,Constructiveness,0.2687637784105552,264,
ALL,ALL,ALL,Coherence,0.2451219982714435,264,
ALL,ALL,ALL,Fluency,0.22876883908517215,264,
ALL,ALL,ALL,Motivational,0.14766916973941485,264,
ALL,ALL,ALL,Sentiment,0.1350344440566276,264,
ALL,ALL,ALL,Conciseness,0.023007650828456218,264,
ALL,ALL,ALL,Accuracy,-0.005288542627862741,264,
EVALUATOR,a1,ALL,Coherence,0.7496911128542305,21,
EVALUATOR,a1,ALL,Fluency,0.3441867013220501,21,
EVALUATOR,a1,ALL,Constructiveness,0.13204356572167858,21,
EVALUATOR,a1,ALL,Motivational,-0.0553368905769305,21,
EVALUATOR,a1,ALL,Conciseness,-0.16396270890008235,21,
EVALUATOR,a1,ALL,Sentiment,-0.16945068749541545,21,
EVALUATOR,a1,ALL,Accuracy,-0.2763280440543337,21,
EVALUATOR,a2,ALL,Coherence,1.0142261101603853,16,
EVALUATOR,a2,ALL,Fluency,0.5205476947036034,16,
EVALUATOR,a2,ALL,Motivational,0.12686240758305195,16,
EVALUATOR,a2,ALL,Constructiveness,-0.06311615430068564,16,
EVALUATOR,a2,ALL,Conciseness,-0.44861750924351507,16,
EVALUATOR,a2,ALL,Sentiment,-0.49012212018164536,16,
EVALUATOR,a2,ALL,Accuracy,-0.5627330019965492,16,
EVALUATOR,a3,ALL,Constructiveness,0.5838486907329894,24,
EVALUATOR,a3,ALL,Coherence,0.22581481947640036,24,
EVALUATOR,a3,ALL,Motivational,0.18605008900917194,24,
EVALUATOR,a3,ALL,Conciseness,0.17981087432288745,24,
EVALUATOR,a3,ALL,Fluency,0.1265768234992064,24,
EVALUATOR,a3,ALL,Sentiment,0.10035012528468983,24,
EVALUATOR,a3,ALL,Accuracy,-0.022808815801729027,24,
EVALUATOR,a4,ALL,Coherence,0.402542678587659,14,
EVALUATOR,a4,ALL,Fluency,0.37914808615474865,14,
EVALUATOR,a4,ALL,Constructiveness,0.31723912685611383,14,
EVALUATOR,a4,ALL,Motivational,0.09660083449820311,14,
EVALUATOR,a4,ALL,Sentiment,-0.04661238224426062,14,
EVALUATOR,a4,ALL,Accuracy,-0.09019093580269033,14,
EVALUATOR,a4,ALL,Conciseness,-0.12459995180637509,14,
EVALUATOR,a5,ALL,Sentiment,0.8091088928427185,22,
EVALUATOR,a5,ALL,Accuracy,0.2121972427058394,22,
EVALUATOR,a5,ALL,Conciseness,0.18822654176370537,22,
EVALUATOR,a5,ALL,Constructiveness,0.06610533165609853,22,
EVALUATOR,a5,ALL,Motivational,0.034247573477646176,22,
EVALUATOR,a5,ALL,Fluency,-0.14748250082355333,22,
EVALUATOR,a5,ALL,Coherence,-0.5536105939491527,22,
EVALUATOR,b1,ALL,Coherence,0.978841134054193,22,
EVALUATOR,b1,ALL,Constructiveness,0.42537496306003314,22,
EVALUATOR,b1,ALL,Motivational,0.15068983945628517,22,
EVALUATOR,b1,ALL,Sentiment,0.1193981569011974,22,
EVALUATOR,b1,ALL,Accuracy,-0.05410281972857343,22,
EVALUATOR,b1,ALL,Conciseness,-0.22160888908722107,22,
EVALUATOR,b1,ALL,Fluency,-0.5005443923784908,22,
EVALUATOR,b2,ALL,Constructiveness,0.5418349936336851,16,
EVALUATOR,b2,ALL,Coherence,0.3590843701411095,16,
EVALUATOR,b2,ALL,Conciseness,0.29110248347069567,16,
EVALUATOR,b2,ALL,Motivational,0.21121377897418517,16,
EVALUATOR,b2,ALL,Fluency,0.1573100243231802,16,
EVALUATOR,b2,ALL,Sentiment,-0.14490106999912652,16,
EVALUATOR,b2,ALL,Accuracy,-0.46923827465606976,16,
EVALUATOR,b3,ALL,Constructiveness,0.9973741876199658,17,
EVALUATOR,b3,ALL,Fluency,0.265484497426434,17,
EVALUATOR,b3,ALL,Sentiment,0.13933913948389784,17,
EVALUATOR,b3,ALL,Conciseness,0.12458566094100884,17,
EVALUATOR,b3,ALL,Accuracy,0.09642924291307305,17,
EVALUATOR,b3,ALL,Motivational,0.06176005809153848,17,
EVALUATOR,b3,ALL,Coherence,-0.21801213782935064,17,
EVALUATOR,b4,ALL,Conciseness,0.48261927093050966,18,
EVALUATOR,b4,ALL,Motivational,0.31186206470682254,18,
EVALUATOR,b4,ALL,Fluency,0.3027885933452057,18,
EVALUATOR,b4,ALL,Sentiment,0.19086252066744502,18,
EVALUATOR,b4,ALL,Constructiveness,0.0811935553186216,18,
EVALUATOR,b4,ALL,Coherence,0.010953631476544818,18,
EVALUATOR,b4,ALL,Accuracy,-0.08310864636607175,18,
EVALUATOR,b5,ALL,Coherence,0.43629960051813493,20,
EVALUATOR,b5,ALL,Sentiment,0.3889690619076232,20,
EVALUATOR,b5,ALL,Constructiveness,0.38154589560519453,20,
EVALUATOR,b5,ALL,Conciseness,0.3663655204665348,20,
EVALUATOR,b5,ALL,Motivational,0.3192556559068385,20,
EVALUATOR,b5,ALL,Fluency,0.2508688639233302,20,
EVALUATOR,b5,ALL,Accuracy,-0.22003171306141747,20,
EVALUATOR,c1,ALL,Coherence,0.666786784872461,19,
EVALUATOR,c1,ALL,Constructiveness,0.3047678827116793,19,
EVALUATOR,c1,ALL,Conciseness,0.2765226382967886,19,
EVALUATOR,c1,ALL,Motivational,0.10328402905265821,19,
EVALUATOR,c1,ALL,Sentiment,0.05398686921623687,19,
EVALUATOR,c1,ALL,Accuracy,-0.18364117720758397,19,
EVALUATOR,c1,ALL,Fluency,-0.3498409738798923,19,
EVALUATOR,c2,ALL,Fluency,,8,insufficient_data
EVALUATOR,c2,ALL,Coherence,,8,insufficient_data
EVALUATOR,c2,ALL,Conciseness,,8,insufficient_data
EVALUATOR,c2,ALL,Accuracy,,8,insufficient_data
EVALUATOR,c2,ALL,Constructiveness,,8,insufficient_data
EVALUATOR,c2,ALL,Motivational,,8,insufficient_data
EVALUATOR,c2,ALL,Sentiment,,8,insufficient_data
EVALUATOR,c3,ALL,Fluency,0.5178673313156015,17,
EVALUATOR,c3,ALL,Sentiment,0.3368151237955007,17,
EVALUATOR,c3,ALL,Motivational,0.2404434117828784,17,
EVALUATOR,c3,ALL,Accuracy,0.2223251873917702,17,
EVALUATOR,c3,ALL,Constructiveness,0.12649480305091054,17,
EVALUATOR,c3,ALL,Coherence,0.05514181880309704,17,
EVALUATOR,c3,ALL,Conciseness,0.015453012234968339,17,
EVALUATOR,c4,ALL,Accuracy,0.8740103892811808,16,
EVALUATOR,c4,ALL,Constructiveness,0.4765805514840404,16,
EVALUATOR,c4,ALL,Motivational,0.14739928919089512,16,
EVALUATOR,c4,ALL,Coherence,0.03029462442608727,16,
EVALUATOR,c4,ALL,Sentiment,-0.07991669604713549,16,
EVALUATOR,c4,ALL,Conciseness,-0.20275774133403265,16,
EVALUATOR,c4,ALL,Fluency,-0.4639312294349158,16,
EVALUATOR,c5,ALL,Accuracy,0.9200174799369067,14,
EVALUATOR,c5,ALL,Fluency,0.4538924528925349,14,
EVALUATOR,c5,ALL,Coherence,0.0012764342919988868,14,
EVALUATOR,c5,ALL,Motivational,-0.08347377264967061,14,
EVALUATOR,c5,ALL,Constructiveness,-0.17236398344549614,14,
EVALUATOR,c5,ALL,Conciseness,-0.23852931735905195,14,
EVALUATOR,c5,ALL,Sentiment,-0.604521370887698,14,
EVALUATOR_TASK,a1,Idea-to-Text,Fluency,,6,insufficient_data
EVALUATOR_TASK,a1,Idea-to-Text,Coherence,,6,insufficient_data
EVALUATOR_TASK,a1,Idea-to-Text,Conciseness,,6,insufficient_data
EVALUATOR_TASK,a1,Idea-to-Text,Accuracy,,6,insufficient_data
