"Model","Category","Volunteer","Task_ID","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Gemini","Idea-to-Text","Volunteer 1","C2","32","32","0.0625","0.014199045856176616","0.008759225147232153","0.006938247178254633","0.12121212121212122","0.3076923076923077","0.17391304347826086","0.875","2.666666664444444","0.875","1.0","0.8623923063278198","0.8871364593505859","0.8745893836021423"
"Gemini","Idea-to-Text","Volunteer 1","C3","32","32","0.1875","0.13470397652008112","0.10655075334034418","0.08036517486170723","0.36363636363636365","0.8571428571428571","0.5106382978723404","0.875","2.46153845964497","0.875","1.0","0.8966399431228638","0.9160897731781006","0.9062604904174805"
"Gemini","Summarise","Volunteer 1","C7","23","23","0.03492165156791329","0.0035706505779318463","0.001695766326253679","0.001182967079830971","0.4166666666666667","0.12195121951219512","0.18867924528301888","0.9565217391304348","0.28395061724889503","0.9565217391304348","1.0","0.9036646485328674","0.8723541498184204","0.8877333402633667"
"Gemini","Summarise","Volunteer 1","C8","23","23","0.14684598751269787","0.08328618729806236","0.055573499285125144","0.03864158668083045","0.625","0.2777777777777778","0.3846153846153846","0.9130434782608695","0.42592592584705075","0.9130434782608695","0.9545454545454546","0.9271559715270996","0.8823708295822144","0.9042091965675354"
"Gemini","Interpret","Volunteer 1","C13","47","47","0.1852044586819767","0.01784946108749676","0.008243875755964289","0.005634100141400914","0.16666666666666666","0.13793103448275862","0.1509433962264151","0.8723404255319149","0.8103448274464923","0.8723404255319149","1.0","0.8703473806381226","0.867423415184021","0.868882954120636"
"Gemini","Interpret","Volunteer 1","C14","46","46","0.1726830203109213","0.05988427997964499","0.03364422365968718","0.014262820161265689","0.2391304347826087","0.13924050632911392","0.176","0.8478260869565217","0.5679012344977901","0.8478260869565217","1.0","0.8918314576148987","0.8797403573989868","0.885744571685791"
"Gemini","Idea-to-Text","Volunteer 2","C4","32","32","0.0625","0.014199045856176616","0.008759225147232153","0.006938247178254633","0.21212121212121213","0.4666666666666667","0.29166666666666663","0.9375","2.2857142840816325","0.9375","1.0","0.8849483132362366","0.9109362959861755","0.8977542519569397"
"Gemini","Idea-to-Text","Volunteer 2","C6","35","35","0.14285714285714285","0.02049800154226969","0.010838512954406363","0.007942181016469338","0.2","0.5384615384615384","0.2916666666666667","0.8571428571428571","2.692307690236686","0.8571428571428571","1.0","0.884402871131897","0.9300379157066345","0.9066464900970459"
"Gemini","Summarise","Volunteer 2","C10","22","22","0.08493453860236748","0.02621136766765983","0.008356438709455068","0.004779209909811388","0.5","0.171875","0.2558139534883721","0.8636363636363636","0.3606557376457941","0.8636363636363636","1.0","0.9422016143798828","0.8893753290176392","0.9150266647338867"
"Gemini","Summarise","Volunteer 2","C12","25","25","0.3864218526498848","0.33773554848791815","0.2945384811089975","0.2588309948203773","0.64","0.4444444444444444","0.5245901639344263","0.8","0.6944444442515432","0.8","0.9583333333333334","0.9517769813537598","0.9262252449989319","0.9388272762298584"
"Gemini","Interpret","Volunteer 2","C15","44","44","0.14704030829168305","0.03840456811391587","0.011484306311670902","0.006318035575632342","0.2608695652173913","0.14634146341463414","0.1875","0.7954545454545454","0.5432098764761469","0.7954545454545454","0.9767441860465116","0.8796507716178894","0.8455638885498047","0.8622705936431885"
"Gemini","Interpret","Volunteer 2","C18","43","43","0.2219891769875788","0.02246163592865342","0.010551148183048921","0.007276287627590909","0.20454545454545456","0.1956521739130435","0.2","0.9069767441860465","0.9555555553432099","0.9069767441860465","1.0","0.8852769732475281","0.8872612714767456","0.8862680196762085"
"Gemini","Idea-to-Text","Volunteer 3","C2","32","32","0.0625","0.014199045856176616","0.008759225147232153","0.006938247178254633","0.12121212121212122","0.3076923076923077","0.17391304347826086","0.875","2.666666664444444","0.875","1.0","0.8623923063278198","0.8871364593505859","0.8745893836021423"
"Gemini","Idea-to-Text","Volunteer 3","C5","31","31","0.16129032258064513","0.07332355751067662","0.026466490236023755","0.016041048674590542","0.3125","0.6666666666666666","0.425531914893617","0.9354838709677419","2.3846153827810648","0.9354838709677419","1.0","0.9075015783309937","0.9216499328613281","0.9145210385322571"
"Gemini","Summarise","Volunteer 3","C7","23","23","0.03492165156791329","0.0035706505779318463","0.001695766326253679","0.001182967079830971","0.4166666666666667","0.12195121951219512","0.18867924528301888","0.9565217391304348","0.28395061724889503","0.9565217391304348","1.0","0.9036646485328674","0.8723541498184204","0.8877333402633667"
"Gemini","Summarise","Volunteer 3","C9","25","25","0.3055436955997107","0.25084739339885703","0.20492011984394584","0.1628316719205722","0.76","0.4222222222222222","0.5428571428571428","1.0","0.5555555554320988","1.0","1.0","0.9504084587097168","0.912360429763794","0.9309958815574646"
"Gemini","Interpret","Volunteer 3","C16","44","44","0.13581918019022438","0.033321823102065835","0.009758678853743314","0.005312984150951168","0.2391304347826087","0.11956521739130435","0.15942028985507245","0.8863636363636364","0.48888888883456794","0.8863636363636364","1.0","0.8747563362121582","0.8594869375228882","0.8670544624328613"
"Gemini","Interpret","Volunteer 3","C18","43","43","0.2219891769875788","0.02246163592865342","0.010551148183048921","0.007276287627590909","0.20454545454545456","0.1956521739130435","0.2","0.9069767441860465","0.9555555553432099","0.9069767441860465","1.0","0.8852769732475281","0.8872612714767456","0.8862680196762085"
"Gemini","Idea-to-Text","Volunteer 4","C5","31","31","0.16129032258064513","0.07332355751067662","0.026466490236023755","0.016041048674590542","0.3125","0.6666666666666666","0.425531914893617","0.9354838709677419","2.3846153827810648","0.9354838709677419","1.0","0.9075015783309937","0.9216499328613281","0.9145210385322571"
"Gemini","Idea-to-Text","Volunteer 4","C6","35","35","0.14285714285714285","0.02049800154226969","0.010838512954406363","0.007942181016469338","0.2","0.5384615384615384","0.2916666666666667","0.8571428571428571","2.692307690236686","0.8571428571428571","1.0","0.884402871131897","0.9300379157066345","0.9066464900970459"
"Gemini","Summarise","Volunteer 4","C8","23","23","0.14684598751269787","0.08328618729806236","0.055573499285125144","0.03864158668083045","0.625","0.2777777777777778","0.3846153846153846","0.9130434782608695","0.42592592584705075","0.9130434782608695","0.9545454545454546","0.9271559715270996","0.8823708295822144","0.9042091965675354"
"Gemini","Summarise","Volunteer 4","C11","22","22","0.449859319411789","0.33787476665543176","0.259039417331417","0.21379882641003528","0.5454545454545454","0.42857142857142855","0.4799999999999999","1.0","0.7857142854336735","1.0","1.0","0.966541051864624","0.9494945406913757","0.9579419493675232"
"Gemini","Interpret","Volunteer 4","C16","44","44","0.13581918019022438","0.033321823102065835","0.009758678853743314","0.005312984150951168","0.2391304347826087","0.11956521739130435","0.15942028985507245","0.8863636363636364","0.48888888883456794","0.8863636363636364","1.0","0.8747563362121582","0.8594869375228882","0.8670544624328613"
"Gemini","Interpret","Volunteer 4","C17","47","47","0.2553191489361702","0.14900223194598247","0.03667676404639805","0.018299115122932173","0.2553191489361702","0.36363636363636365","0.29999999999999993","0.8085106382978723","1.4687499995410156","0.8085106382978723","1.0","0.8933560848236084","0.9127472639083862","0.9029476046562195"
"Gemini","Idea-to-Text","Volunteer 5","C1","28","28","0.14285714285714285","0.07273929674533079","0.027301611514678203","0.016891032976324306","0.20689655172413793","0.46153846153846156","0.28571428571428575","0.8571428571428571","2.153846152189349","0.8571428571428571","1.0","0.8881814479827881","0.9074572324752808","0.8977159261703491"
"Gemini","Idea-to-Text","Volunteer 5","C4","32","32","0.0625","0.014199045856176616","0.008759225147232153","0.006938247178254633","0.21212121212121213","0.4666666666666667","0.29166666666666663","0.9375","2.2857142840816325","0.9375","1.0","0.8849483132362366","0.9109362959861755","0.8977542519569397"
"Gemini","Summarise","Volunteer 5","C11","22","22","0.449859319411789","0.33787476665543176","0.259039417331417","0.21379882641003528","0.5454545454545454","0.42857142857142855","0.4799999999999999","1.0","0.7857142854336735","1.0","1.0","0.966541051864624","0.9494945406913757","0.9579419493675232"
"Gemini","Summarise","Volunteer 5","C12","25","25","0.3864218526498848","0.33773554848791815","0.2945384811089975","0.2588309948203773","0.64","0.4444444444444444","0.5245901639344263","0.8","0.6944444442515432","0.8","0.9583333333333334","0.9517769813537598","0.9262252449989319","0.9388272762298584"
"Gemini","Interpret","Volunteer 5","C14","46","46","0.1726830203109213","0.05988427997964499","0.03364422365968718","0.014262820161265689","0.2391304347826087","0.13924050632911392","0.176","0.8478260869565217","0.5679012344977901","0.8478260869565217","1.0","0.8918314576148987","0.8797403573989868","0.885744571685791"
