task_id,prompt_label,candidate_index,model
A4,A4_Q01_Fluency,1,Qwen
A4,A4_Q01_Fluency,2,DeepSeek
A4,A4_Q01_Fluency,3,Gemini
A4,A4_Q01_Fluency,4,Flash
A4,A4_Q02_Coherence,1,DeepSeek
A4,A4_Q02_Coherence,2,Flash
A4,A4_Q02_Coherence,3,Qwen
A4,A4_Q02_Coherence,4,Gemini
A4,A4_Q03_Conciseness,1,DeepSeek
A4,A4_Q03_Conciseness,2,Gemini
A4,A4_Q03_Conciseness,3,Qwen
A4,A4_Q03_Conciseness,4,Flash
A4,A4_Q04_Accuracy,1,Qwen
A4,A4_Q04_Accuracy,2,Flash
A4,A4_Q04_Accuracy,3,Gemini
A4,A4_Q04_Accuracy,4,DeepSeek
A4,A4_Q05_Sentimentmatch,1,Flash
A4,A4_Q05_Sentimentmatch,2,Gemini
A4,A4_Q05_Sentimentmatch,3,DeepSeek
A4,A4_Q05_Sentimentmatch,4,Qwen
A4,A4_Q06_Motivationaltone,1,Flash
A4,A4_Q06_Motivationaltone,2,Qwen
A4,A4_Q06_Motivationaltone,3,Gemini
A4,A4_Q06_Motivationaltone,4,DeepSeek
A4,A4_Q07_Constructiveness,1,DeepSeek
A4,A4_Q07_Constructiveness,2,Qwen
A4,A4_Q07_Constructiveness,3,Flash
A4,A4_Q07_Constructiveness,4,Gemini
A4,A4_Q08_Finalchoice,1,Qwen
A4,A4_Q08_Finalchoice,2,Gemini
A4,A4_Q08_Finalchoice,3,Flash
A4,A4_Q08_Finalchoice,4,DeepSeek
A6,A6_Q01_Fluency,1,DeepSeek
A6,A6_Q01_Fluency,2,Flash
A6,A6_Q01_Fluency,3,Gemini
A6,A6_Q01_Fluency,4,Qwen
A6,A6_Q02_Coherence,1,DeepSeek
A6,A6_Q02_Coherence,2,Qwen
A6,A6_Q02_Coherence,3,Flash
A6,A6_Q02_Coherence,4,Gemini
A6,A6_Q03_Conciseness,1,Qwen
A6,A6_Q03_Conciseness,2,Gemini
A6,A6_Q03_Conciseness,3,DeepSeek
A6,A6_Q03_Conciseness,4,Flash
A6,A6_Q04_Accuracy,1,Qwen
A6,A6_Q04_Accuracy,2,DeepSeek
A6,A6_Q04_Accuracy,3,Flash
A6,A6_Q04_Accuracy,4,Gemini
A6,A6_Q05_Sentimentmatch,1,Qwen
A6,A6_Q05_Sentimentmatch,2,Flash
A6,A6_Q05_Sentimentmatch,3,Gemini
A6,A6_Q05_Sentimentmatch,4,DeepSeek
A6,A6_Q06_Motivationaltone,1,DeepSeek
A6,A6_Q06_Motivationaltone,2,Qwen
A6,A6_Q06_Motivationaltone,3,Gemini
A6,A6_Q06_Motivationaltone,4,Flash
A6,A6_Q07_Constructiveness,1,DeepSeek
A6,A6_Q07_Constructiveness,2,Qwen
A6,A6_Q07_Constructiveness,3,Flash
A6,A6_Q07_Constructiveness,4,Gemini
A6,A6_Q08_Finalchoice,1,Gemini
A6,A6_Q08_Finalchoice,2,DeepSeek
A6,A6_Q08_Finalchoice,3,Flash
A6,A6_Q08_Finalchoice,4,Qwen
A8,A8_Q01_Fluency,1,Gemini
A8,A8_Q01_Fluency,2,Qwen
A8,A8_Q01_Fluency,3,DeepSeek
A8,A8_Q01_Fluency,4,Flash
A8,A8_Q02_Coherence,1,Qwen
A8,A8_Q02_Coherence,2,Gemini
A8,A8_Q02_Coherence,3,DeepSeek
A8,A8_Q02_Coherence,4,Flash
A8,A8_Q03_Conciseness,1,Qwen
A8,A8_Q03_Conciseness,2,Gemini
A8,A8_Q03_Conciseness,3,Flash
A8,A8_Q03_Conciseness,4,DeepSeek
A8,A8_Q04_Accuracy,1,Qwen
A8,A8_Q04_Accuracy,2,DeepSeek
A8,A8_Q04_Accuracy,3,Flash
A8,A8_Q04_Accuracy,4,Gemini
A8,A8_Q05_Sentimentmatch,1,Gemini
A8,A8_Q05_Sentimentmatch,2,Flash
A8,A8_Q05_Sentimentmatch,3,DeepSeek
A8,A8_Q05_Sentimentmatch,4,Qwen
A8,A8_Q06_Motivationaltone,1,DeepSeek
A8,A8_Q06_Motivationaltone,2,Gemini
A8,A8_Q06_Motivationaltone,3,Qwen
A8,A8_Q06_Motivationaltone,4,Flash
A8,A8_Q07_Constructiveness,1,Qwen
A8,A8_Q07_Constructiveness,2,DeepSeek
A8,A8_Q07_Constructiveness,3,Flash
A8,A8_Q07_Constructiveness,4,Gemini
A8,A8_Q08_Finalchoice,1,Flash
A8,A8_Q08_Finalchoice,2,Gemini
A8,A8_Q08_Finalchoice,3,Qwen
A8,A8_Q08_Finalchoice,4,DeepSeek
A9,A9_Q01_Fluency,1,Flash
A9,A9_Q01_Fluency,2,Gemini
A9,A9_Q01_Fluency,3,DeepSeek
A9,A9_Q01_Fluency,4,Qwen
A9,A9_Q02_Coherence,1,Qwen
A9,A9_Q02_Coherence,2,DeepSeek
A9,A9_Q02_Coherence,3,Flash
A9,A9_Q02_Coherence,4,Gemini
A9,A9_Q03_Conciseness,1,Gemini
A9,A9_Q03_Conciseness,2,DeepSeek
A9,A9_Q03_Conciseness,3,Qwen
A9,A9_Q03_Conciseness,4,Flash
A9,A9_Q04_Accuracy,1,Gemini
A9,A9_Q04_Accuracy,2,DeepSeek
A9,A9_Q04_Accuracy,3,Flash
A9,A9_Q04_Accuracy,4,Qwen
A9,A9_Q05_Sentimentmatch,1,Flash
A9,A9_Q05_Sentimentmatch,2,DeepSeek
A9,A9_Q05_Sentimentmatch,3,Qwen
A9,A9_Q05_Sentimentmatch,4,Gemini
A9,A9_Q06_Motivationaltone,1,DeepSeek
A9,A9_Q06_Motivationaltone,2,Gemini
A9,A9_Q06_Motivationaltone,3,Flash
A9,A9_Q06_Motivationaltone,4,Qwen
A9,A9_Q07_Constructiveness,1,Qwen
A9,A9_Q07_Constructiveness,2,DeepSeek
A9,A9_Q07_Constructiveness,3,Flash
A9,A9_Q07_Constructiveness,4,Gemini
A9,A9_Q08_Finalchoice,1,Gemini
A9,A9_Q08_Finalchoice,2,Flash
A9,A9_Q08_Finalchoice,3,DeepSeek
A9,A9_Q08_Finalchoice,4,Qwen
A14,A14_Q01_Fluency,1,Qwen
A14,A14_Q01_Fluency,2,DeepSeek
A14,A14_Q01_Fluency,3,Gemini
A14,A14_Q01_Fluency,4,Flash
A14,A14_Q02_Coherence,1,DeepSeek
A14,A14_Q02_Coherence,2,Qwen
A14,A14_Q02_Coherence,3,Gemini
A14,A14_Q02_Coherence,4,Flash
A14,A14_Q03_Conciseness,1,DeepSeek
A14,A14_Q03_Conciseness,2,Flash
A14,A14_Q03_Conciseness,3,Gemini
A14,A14_Q03_Conciseness,4,Qwen
A14,A14_Q04_Accuracy,1,DeepSeek
A14,A14_Q04_Accuracy,2,Qwen
A14,A14_Q04_Accuracy,3,Gemini
A14,A14_Q04_Accuracy,4,Flash
A14,A14_Q05_Sentimentmatch,1,Gemini
A14,A14_Q05_Sentimentmatch,2,Flash
A14,A14_Q05_Sentimentmatch,3,DeepSeek
A14,A14_Q05_Sentimentmatch,4,Qwen
A14,A14_Q06_Motivationaltone,1,Flash
A14,A14_Q06_Motivationaltone,2,DeepSeek
A14,A14_Q06_Motivationaltone,3,Qwen
A14,A14_Q06_Motivationaltone,4,Gemini
A14,A14_Q07_Constructiveness,1,Gemini
A14,A14_Q07_Constructiveness,2,DeepSeek
A14,A14_Q07_Constructiveness,3,Flash
A14,A14_Q07_Constructiveness,4,Qwen
A14,A14_Q08_Finalchoice,1,Gemini
A14,A14_Q08_Finalchoice,2,Flash
A14,A14_Q08_Finalchoice,3,Qwen
A14,A14_Q08_Finalchoice,4,DeepSeek
A16,A16_Q01_Fluency,1,Gemini
A16,A16_Q01_Fluency,2,Flash
A16,A16_Q01_Fluency,3,DeepSeek
A16,A16_Q01_Fluency,4,Qwen
A16,A16_Q02_Coherence,1,Qwen
A16,A16_Q02_Coherence,2,Flash
A16,A16_Q02_Coherence,3,Gemini
A16,A16_Q02_Coherence,4,DeepSeek
A16,A16_Q03_Conciseness,1,Qwen
A16,A16_Q03_Conciseness,2,Flash
A16,A16_Q03_Conciseness,3,Gemini
A16,A16_Q03_Conciseness,4,DeepSeek
A16,A16_Q04_Accuracy,1,Flash
A16,A16_Q04_Accuracy,2,Qwen
A16,A16_Q04_Accuracy,3,Gemini
A16,A16_Q04_Accuracy,4,DeepSeek
A16,A16_Q05_Sentimentmatch,1,Gemini
A16,A16_Q05_Sentimentmatch,2,Flash
A16,A16_Q05_Sentimentmatch,3,Qwen
A16,A16_Q05_Sentimentmatch,4,DeepSeek
A16,A16_Q06_Motivationaltone,1,Flash
A16,A16_Q06_Motivationaltone,2,DeepSeek
A16,A16_Q06_Motivationaltone,3,Qwen
A16,A16_Q06_Motivationaltone,4,Gemini
A16,A16_Q07_Constructiveness,1,Gemini
A16,A16_Q07_Constructiveness,2,DeepSeek
A16,A16_Q07_Constructiveness,3,Qwen
A16,A16_Q07_Constructiveness,4,Flash
A16,A16_Q08_Finalchoice,1,Qwen
A16,A16_Q08_Finalchoice,2,Gemini
A16,A16_Q08_Finalchoice,3,Flash
A16,A16_Q08_Finalchoice,4,DeepSeek
