task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final choice,Motivational tone,Sentiment match
B1,Idea-to-Text,DeepSeek,B_V4,0.33333333333333337,1.0,0.33333333333333337,,1.0,0.33333333333333337,1.0,0.0
B1,Idea-to-Text,Flash,B_V4,1.0,0.6666666666666667,0.0,,0.0,0.6666666666666667,0.0,0.6666666666666667
B1,Idea-to-Text,Gemini,B_V4,0.0,0.0,1.0,0.0,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333337
B1,Idea-to-Text,Qwen,B_V4,0.6666666666666667,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,1.0,0.33333333333333337,1.0
B12,Summarise,DeepSeek,B_V4,0.0,0.0,1.0,,0.0,0.0,0.0,0.0
B12,Summarise,Flash,B_V4,1.0,1.0,0.33333333333333337,0.5,0.6666666666666667,1.0,1.0,0.6666666666666667
B12,Summarise,Gemini,B_V4,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0
B12,Summarise,Qwen,B_V4,0.6666666666666667,0.6666666666666667,0.0,0.0,1.0,0.33333333333333337,0.6666666666666667,0.33333333333333337
B14,Interpret,DeepSeek,B_V4,0.0,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.0,0.0,0.0
B14,Interpret,Flash,B_V4,0.33333333333333337,0.0,0.33333333333333337,0.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337
B14,Interpret,Gemini,B_V4,1.0,0.6666666666666667,1.0,0.5,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667
B14,Interpret,Qwen,B_V4,0.6666666666666667,1.0,0.0,,1.0,1.0,1.0,1.0
B15,Interpret,DeepSeek,B_V4,0.0,0.0,0.6666666666666667,,1.0,0.0,0.0,0.0
B15,Interpret,Flash,B_V4,0.33333333333333337,0.6666666666666667,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.33333333333333337
B15,Interpret,Gemini,B_V4,1.0,0.33333333333333337,1.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0
B15,Interpret,Qwen,B_V4,0.6666666666666667,1.0,0.0,,0.6666666666666667,1.0,1.0,0.6666666666666667
B6,Idea-to-Text,DeepSeek,B_V4,0.0,0.0,0.0,,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337
B6,Idea-to-Text,Flash,B_V4,1.0,0.6666666666666667,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666667
B6,Idea-to-Text,Gemini,B_V4,0.33333333333333337,0.33333333333333337,1.0,,1.0,0.0,1.0,0.0
B6,Idea-to-Text,Qwen,B_V4,0.6666666666666667,1.0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.0,1.0
B9,Summarise,DeepSeek,B_V4,0.0,0.33333333333333337,1.0,,0.33333333333333337,0.0,1.0,0.6666666666666667
B9,Summarise,Flash,B_V4,0.33333333333333337,0.0,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0
B9,Summarise,Gemini,B_V4,1.0,0.6666666666666667,0.33333333333333337,,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337
B9,Summarise,Qwen,B_V4,0.6666666666666667,1.0,0.0,1.0,1.0,1.0,0.6666666666666667,1.0
