task_id,prompt_label,candidate_index,model
A2,A2_Q01_Fluency,1,Qwen
A2,A2_Q01_Fluency,2,DeepSeek
A2,A2_Q01_Fluency,3,Gemini
A2,A2_Q01_Fluency,4,Flash
A2,A2_Q02_Coherence,1,DeepSeek
A2,A2_Q02_Coherence,2,Flash
A2,A2_Q02_Coherence,3,Qwen
A2,A2_Q02_Coherence,4,Gemini
A2,A2_Q03_Conciseness,1,DeepSeek
A2,A2_Q03_Conciseness,2,Gemini
A2,A2_Q03_Conciseness,3,Qwen
A2,A2_Q03_Conciseness,4,Flash
A2,A2_Q04_Accuracy,1,Qwen
A2,A2_Q04_Accuracy,2,Flash
A2,A2_Q04_Accuracy,3,Gemini
A2,A2_Q04_Accuracy,4,DeepSeek
A2,A2_Q05_Sentimentmatch,1,Flash
A2,A2_Q05_Sentimentmatch,2,Gemini
A2,A2_Q05_Sentimentmatch,3,DeepSeek
A2,A2_Q05_Sentimentmatch,4,Qwen
A2,A2_Q06_Motivationaltone,1,Flash
A2,A2_Q06_Motivationaltone,2,Qwen
A2,A2_Q06_Motivationaltone,3,Gemini
A2,A2_Q06_Motivationaltone,4,DeepSeek
A2,A2_Q07_Constructiveness,1,DeepSeek
A2,A2_Q07_Constructiveness,2,Qwen
A2,A2_Q07_Constructiveness,3,Flash
A2,A2_Q07_Constructiveness,4,Gemini
A2,A2_Q08_Finalchoice,1,Qwen
A2,A2_Q08_Finalchoice,2,Gemini
A2,A2_Q08_Finalchoice,3,Flash
A2,A2_Q08_Finalchoice,4,DeepSeek
A4,A4_Q01_Fluency,1,DeepSeek
A4,A4_Q01_Fluency,2,Flash
A4,A4_Q01_Fluency,3,Gemini
A4,A4_Q01_Fluency,4,Qwen
A4,A4_Q02_Coherence,1,DeepSeek
A4,A4_Q02_Coherence,2,Qwen
A4,A4_Q02_Coherence,3,Flash
A4,A4_Q02_Coherence,4,Gemini
A4,A4_Q03_Conciseness,1,Qwen
A4,A4_Q03_Conciseness,2,Gemini
A4,A4_Q03_Conciseness,3,DeepSeek
A4,A4_Q03_Conciseness,4,Flash
A4,A4_Q04_Accuracy,1,Qwen
A4,A4_Q04_Accuracy,2,DeepSeek
A4,A4_Q04_Accuracy,3,Flash
A4,A4_Q04_Accuracy,4,Gemini
A4,A4_Q05_Sentimentmatch,1,Qwen
A4,A4_Q05_Sentimentmatch,2,Flash
A4,A4_Q05_Sentimentmatch,3,Gemini
A4,A4_Q05_Sentimentmatch,4,DeepSeek
A4,A4_Q06_Motivationaltone,1,DeepSeek
A4,A4_Q06_Motivationaltone,2,Qwen
A4,A4_Q06_Motivationaltone,3,Gemini
A4,A4_Q06_Motivationaltone,4,Flash
A4,A4_Q07_Constructiveness,1,DeepSeek
A4,A4_Q07_Constructiveness,2,Qwen
A4,A4_Q07_Constructiveness,3,Flash
A4,A4_Q07_Constructiveness,4,Gemini
A4,A4_Q08_Finalchoice,1,Gemini
A4,A4_Q08_Finalchoice,2,DeepSeek
A4,A4_Q08_Finalchoice,3,Flash
A4,A4_Q08_Finalchoice,4,Qwen
A10,A10_Q01_Fluency,1,Gemini
A10,A10_Q01_Fluency,2,Qwen
A10,A10_Q01_Fluency,3,DeepSeek
A10,A10_Q01_Fluency,4,Flash
A10,A10_Q02_Coherence,1,Qwen
