"Category","Model","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"Idea-to-Text","DeepSeek","42.2","42.2","0.11942198370105346","0.05598675149153226","0.02808987910374792","0.014290266087876587","0.18613811584816892","0.5583150183150183","0.27858135290730157","0.8914343072947724","3.332783880145198","0.8914343072947724","1.0","0.8773629784584045","0.9016493558883667","0.8893363118171692"
"Idea-to-Text","Flash","51.1","51.1","0.09844731077316217","0.03777977378017451","0.01373439095278941","0.008451175089269361","0.1618363699216694","0.5872161172161172","0.2521520025867852","0.8642984881761973","4.023626370450755","0.8642984881761973","1.0","0.8701805830001831","0.9030755400657654","0.8863087117671966"
"Idea-to-Text","Gemini","32.4","32.4","0.10844887778146954","0.03667402004687232","0.016035269329626362","0.01078868359528726","0.2178161050067744","0.515018315018315","0.3056211601788138","0.8744738080792029","2.5622710602398846","0.8744738080792029","1.0","0.886840945482254","0.9050282716751099","0.8958268821239471"
"Idea-to-Text","Qwen","42.0","42.0","0.1506611416052771","0.07488949393009692","0.038303834240784526","0.023294985612009357","0.2232007146650757","0.6481318681318682","0.32800127150721375","0.896211601425201","3.301648349046547","0.896211601425201","1.0","0.8902112662792205","0.925413066148758","0.9074428737163543"
"Interpret","DeepSeek","45.0","45.0","0.08929217881582459","0.015709295620666017","0.007324963827896755","0.0050951776240847685","0.1277482232449217","0.10455367241081528","0.11403409510425175","0.9609357696566999","0.7950700467636816","0.9609357696566999","1.0","0.8461278438568115","0.8649523437023163","0.8554168522357941"
"Interpret","Flash","77.4","77.4","0.20114673964171986","0.04804547221912781","0.014382475383943069","0.00793705526691212","0.1447170773581758","0.18995874353017211","0.1638708818961934","0.8240141970768506","1.341089720393862","0.8240141970768506","1.0","0.8608225464820862","0.878801953792572","0.8696784853935242"
"Interpret","Gemini","41.8","41.8","0.16025677269183894","0.03393895503647184","0.016009138836114788","0.008463321993950812","0.19267093796730778","0.1379105450534022","0.1592904786431965","0.8925076058371577","0.744258769494746","0.8925076058371577","1.0","0.8758541166782379","0.8731500148773194","0.8744724154472351"
"Interpret","Qwen","80.8","80.8","0.17392337198143473","0.04167690129862291","0.021748366659886074","0.01321442942996232","0.1407442112163916","0.1945984945984946","0.16053824261293176","0.8323420687596268","1.438050299470281","0.8323420687596268","0.9952581369248035","0.8567739009857178","0.8819167673587799","0.8691280901432037"
"Summarise","DeepSeek","Wed Jan 15 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Wed Jan 15 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.05705785905987352","0.03248219871611041","0.021883728710661195","0.009707155235491132","0.7416672053436759","0.24106565436595923","0.3598174924490714","0.9866666666666667","0.3099636240332422","0.9866666666666667","1.0","0.9093111217021942","0.8780470252037048","0.8933965921401977"
"Summarise","Flash","21.0","21.0","0.09637330135645576","0.04212903760008596","0.021734263826578858","0.014879629407447626","0.35363732377462354","0.14925097006651883","0.2058047430378498","0.9411629072681704","0.4401098428503281","0.9411629072681704","1.0","0.9028708934783936","0.8756766498088837","0.8890493094921113"
"Summarise","Gemini","Sun Sep 21 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Sun Sep 21 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.15068546248090803","0.07385984058602199","0.03626119305235481","0.023478764068580998","0.4127846790890269","0.1807691241685144","0.24457850963669264","0.9521376811594203","0.4624170556952009","0.9521376811594203","1.0","0.9199179828166961","0.8846577763557434","0.9019045770168305"
"Summarise","Qwen","Sat Jun 28 2025 00:00:00 GMT+0300 (Moscow Standard Time)","Sat Jun 28 2025 00:00:00 GMT+0300 (Moscow Standard Time)","0.1954157702438978","0.11432165642368501","0.051959154202214954","0.025298694313774323","0.39727186406796605","0.240652485218034","0.29354307804587587","0.9352601924844028","0.5890611747283928","0.9352601924844028","1.0","0.9133981168270111","0.8931651651859284","0.9031570136547089"
