task_id,question_id,task_type,criterion,model_name,candidate_index,rank,evaluator
C11,Q01,Summarise,Fluency,Qwen,4,1,C_V4
C11,Q01,Summarise,Fluency,Flash,1,2,C_V4
C11,Q01,Summarise,Fluency,Gemini,2,3,C_V4
C11,Q01,Summarise,Fluency,DeepSeek,3,4,C_V4
C11,Q02,Summarise,Coherence,Flash,3,1,C_V4
C11,Q02,Summarise,Coherence,Qwen,1,2,C_V4
C11,Q02,Summarise,Coherence,Gemini,4,3,C_V4
C11,Q02,Summarise,Coherence,DeepSeek,2,4,C_V4
C11,Q03,Summarise,Conciseness,DeepSeek,2,1,C_V4
C11,Q03,Summarise,Conciseness,Qwen,3,2,C_V4
C11,Q03,Summarise,Conciseness,Flash,4,3,C_V4
C11,Q03,Summarise,Conciseness,Gemini,1,4,C_V4
C11,Q04,Summarise,Accuracy,Gemini,1,1,C_V4
C11,Q04,Summarise,Accuracy,Flash,3,2,C_V4
C11,Q05,Summarise,Sentiment match,Qwen,3,1,C_V4
C11,Q05,Summarise,Sentiment match,Gemini,4,2,C_V4
C11,Q05,Summarise,Sentiment match,Flash,1,3,C_V4
C11,Q05,Summarise,Sentiment match,DeepSeek,2,4,C_V4
C11,Q06,Summarise,Motivational tone,Gemini,2,1,C_V4
C11,Q06,Summarise,Motivational tone,Qwen,4,2,C_V4
C11,Q06,Summarise,Motivational tone,Flash,3,3,C_V4
C11,Q06,Summarise,Motivational tone,DeepSeek,1,4,C_V4
C11,Q07,Summarise,Constructiveness,Qwen,1,1,C_V4
C11,Q07,Summarise,Constructiveness,Flash,3,2,C_V4
C11,Q07,Summarise,Constructiveness,Gemini,4,3,C_V4
C11,Q07,Summarise,Constructiveness,DeepSeek,2,4,C_V4
C11,Q08,Summarise,Final choice,Qwen,4,1,C_V4
C11,Q08,Summarise,Final choice,Gemini,1,2,C_V4
C11,Q08,Summarise,Final choice,Flash,2,3,C_V4
C11,Q08,Summarise,Final choice,DeepSeek,3,4,C_V4
