task_id,prompt_label,candidate_index,model
B3,B3_Q01_Fluency,1,Qwen
B3,B3_Q01_Fluency,2,DeepSeek
B3,B3_Q01_Fluency,3,Gemini
B3,B3_Q01_Fluency,4,Flash
B3,B3_Q02_Coherence,1,DeepSeek
B3,B3_Q02_Coherence,2,Flash
B3,B3_Q02_Coherence,3,Qwen
B3,B3_Q02_Coherence,4,Gemini
B3,B3_Q03_Conciseness,1,DeepSeek
B3,B3_Q03_Conciseness,2,Gemini
B3,B3_Q03_Conciseness,3,Qwen
B3,B3_Q03_Conciseness,4,Flash
B3,B3_Q04_Accuracy,1,Qwen
B3,B3_Q04_Accuracy,2,Flash
B3,B3_Q04_Accuracy,3,Gemini
B3,B3_Q04_Accuracy,4,DeepSeek
B3,B3_Q05_Sentimentmatch,1,Flash
B3,B3_Q05_Sentimentmatch,2,Gemini
B3,B3_Q05_Sentimentmatch,3,DeepSeek
B3,B3_Q05_Sentimentmatch,4,Qwen
B3,B3_Q06_Motivationaltone,1,Flash
B3,B3_Q06_Motivationaltone,2,Qwen
B3,B3_Q06_Motivationaltone,3,Gemini
B3,B3_Q06_Motivationaltone,4,DeepSeek
B3,B3_Q07_Constructiveness,1,DeepSeek
B3,B3_Q07_Constructiveness,2,Qwen
B3,B3_Q07_Constructiveness,3,Flash
B3,B3_Q07_Constructiveness,4,Gemini
B3,B3_Q08_Finalchoice,1,Qwen
B3,B3_Q08_Finalchoice,2,Gemini
B3,B3_Q08_Finalchoice,3,Flash
B3,B3_Q08_Finalchoice,4,DeepSeek
B4,B4_Q01_Fluency,1,DeepSeek
B4,B4_Q01_Fluency,2,Flash
B4,B4_Q01_Fluency,3,Gemini
B4,B4_Q01_Fluency,4,Qwen
B4,B4_Q02_Coherence,1,DeepSeek
B4,B4_Q02_Coherence,2,Qwen
B4,B4_Q02_Coherence,3,Flash
B4,B4_Q02_Coherence,4,Gemini
B4,B4_Q03_Conciseness,1,Qwen
B4,B4_Q03_Conciseness,2,Gemini
B4,B4_Q03_Conciseness,3,DeepSeek
B4,B4_Q03_Conciseness,4,Flash
B4,B4_Q04_Accuracy,1,Qwen
B4,B4_Q04_Accuracy,2,DeepSeek
B4,B4_Q04_Accuracy,3,Flash
B4,B4_Q04_Accuracy,4,Gemini
B4,B4_Q05_Sentimentmatch,1,Qwen
B4,B4_Q05_Sentimentmatch,2,Flash
B4,B4_Q05_Sentimentmatch,3,Gemini
