"group","constructiveness","","sentiment","","","driver","","nine_box_category","","","","","","","",""
"","Constructive","Destructive","Positive","Negative","Neutral-mixed","Emotion-driven","Results-driven","1:
""Risk""","2:
""Average performer""","3:
""Solid Performer""","4:
""Inconsistent Player""","5:
""Core Player""","6:
""High Performer""","7:
""Potential Gem""","8:
""High Potential""","9:
""Star"""
"A","11","7","9","3","6","7","11","2","2","3","1","1","2","2","2","3"
"B","11","7","9","4","5","7","11","2","2","1","2","3","2","3","1","2"
"C","13","5","9","3","6","10","8","2","2","2","2","2","1","2","3","2"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"A","Idea-to-Text","Summarise","Interpret","","","","","","","","","","","","",""
"Volunteer 1","A1 + A5","A9 + A10","A15 + A17","","","","","","","","","","","","",""
"Volunteer 2","A3 + A6","A7 + A11","A13 + A17","","","","","","","","","","","","",""
"Volunteer 3","A4 + A6","A8 + A9","A14 + A16","","","","","","","","","","","","",""
"Volunteer 4","A2 + A3","A8 + A11","A13 + A16","","","","","","","","","","","","",""
"Volunteer 5","A2 + A4","A10 + A12","A15 + A18","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"B","Idea-to-Text","Summarise","Interpret","","","","","","","","","","","","",""
"Volunteer 1","B2 + B3","B7 + B12","B14 + B18","","","","","","","","","","","","",""
"Volunteer 2","B5 + B6","B9 + B11","B17 + B18","","","","","","","","","","","","",""
"Volunteer 3","B3 + B4","B10 + B11","B13 + B16","","","","","","","","","","","","",""
"Volunteer 4","B1 + B6","B9 + B12","B14 + B15","","","","","","","","","","","","",""
"Volunteer 5","B1 + B2","B8 + B10","B15 + B16","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"C","Idea-to-Text","Summarise","Interpret","","","","","","","","","","","","",""
"Volunteer 1","C2 + C3","C7 + C8","C13 + C14","","","","","","","","","","","","",""
"Volunteer 2","C4 + C6","C10 + C12","C15 + C18","","","","","","","","","","","","",""
"Volunteer 3","C2 + C5","C7 + C9","C16 + C18","","","","","","","","","","","","",""
"Volunteer 4","C5 + C6","C8 + C11","C16 + C17","","","","","","","","","","","","",""
"Volunteer 5","C1 + C4","C11 + C12","C14 + C15","","","","","","","","","","","","",""
