task_id,prompt_label,candidate_index,model
B5,B5_Q01_Fluency,1,Qwen
B5,B5_Q01_Fluency,2,DeepSeek
B5,B5_Q01_Fluency,3,Gemini
B5,B5_Q01_Fluency,4,Flash
B5,B5_Q02_Coherence,1,DeepSeek
B5,B5_Q02_Coherence,2,Flash
B5,B5_Q02_Coherence,3,Qwen
B5,B5_Q02_Coherence,4,Gemini
B5,B5_Q03_Conciseness,1,DeepSeek
B5,B5_Q03_Conciseness,2,Gemini
B5,B5_Q03_Conciseness,3,Qwen
B5,B5_Q03_Conciseness,4,Flash
B5,B5_Q04_Accuracy,1,Qwen
B5,B5_Q04_Accuracy,2,Flash
B5,B5_Q04_Accuracy,3,Gemini
B5,B5_Q04_Accuracy,4,DeepSeek
B5,B5_Q05_Sentimentmatch,1,Flash
B5,B5_Q05_Sentimentmatch,2,Gemini
B5,B5_Q05_Sentimentmatch,3,DeepSeek
B5,B5_Q05_Sentimentmatch,4,Qwen
B5,B5_Q06_Motivationaltone,1,Flash
B5,B5_Q06_Motivationaltone,2,Qwen
B5,B5_Q06_Motivationaltone,3,Gemini
B5,B5_Q06_Motivationaltone,4,DeepSeek
B5,B5_Q07_Constructiveness,1,DeepSeek
B5,B5_Q07_Constructiveness,2,Qwen
B5,B5_Q07_Constructiveness,3,Flash
B5,B5_Q07_Constructiveness,4,Gemini
B5,B5_Q08_Finalchoice,1,Qwen
B5,B5_Q08_Finalchoice,2,Gemini
B5,B5_Q08_Finalchoice,3,Flash
B5,B5_Q08_Finalchoice,4,DeepSeek
B6,B6_Q01_Fluency,1,DeepSeek
B6,B6_Q01_Fluency,2,Flash
B6,B6_Q01_Fluency,3,Gemini
B6,B6_Q01_Fluency,4,Qwen
B6,B6_Q02_Coherence,1,DeepSeek
B6,B6_Q02_Coherence,2,Qwen
B6,B6_Q02_Coherence,3,Flash
B6,B6_Q02_Coherence,4,Gemini
B6,B6_Q03_Conciseness,1,Qwen
B6,B6_Q03_Conciseness,2,Gemini
B6,B6_Q03_Conciseness,3,DeepSeek
B6,B6_Q03_Conciseness,4,Flash
B6,B6_Q04_Accuracy,1,Qwen
B6,B6_Q04_Accuracy,2,DeepSeek
B6,B6_Q04_Accuracy,3,Flash
B6,B6_Q04_Accuracy,4,Gemini
B6,B6_Q05_Sentimentmatch,1,Qwen
B6,B6_Q05_Sentimentmatch,2,Flash
B6,B6_Q05_Sentimentmatch,3,Gemini
B6,B6_Q05_Sentimentmatch,4,DeepSeek
B6,B6_Q06_Motivationaltone,1,DeepSeek
B6,B6_Q06_Motivationaltone,2,Qwen
B6,B6_Q06_Motivationaltone,3,Gemini
B6,B6_Q06_Motivationaltone,4,Flash
B6,B6_Q07_Constructiveness,1,DeepSeek
B6,B6_Q07_Constructiveness,2,Qwen
B6,B6_Q07_Constructiveness,3,Flash
B6,B6_Q07_Constructiveness,4,Gemini
B6,B6_Q08_Finalchoice,1,Gemini
B6,B6_Q08_Finalchoice,2,DeepSeek
B6,B6_Q08_Finalchoice,3,Flash
B6,B6_Q08_Finalchoice,4,Qwen
B9,B9_Q01_Fluency,1,Gemini
B9,B9_Q01_Fluency,2,Qwen
B9,B9_Q01_Fluency,3,DeepSeek
B9,B9_Q01_Fluency,4,Flash
B9,B9_Q02_Coherence,1,Qwen
B9,B9_Q02_Coherence,2,Gemini
B9,B9_Q02_Coherence,3,DeepSeek
B9,B9_Q02_Coherence,4,Flash
B9,B9_Q03_Conciseness,1,Qwen
B9,B9_Q03_Conciseness,2,Gemini
