task_id,task_type,model_name,evaluator,Fluency,Coherence,Conciseness,Accuracy,Constructiveness,Final,Motivational,Sentiment
A10,Summarise,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.0,0.6666666666666667,1.0,0.5,0.6666666666666667,0.0,0.0,0.0
A10,Summarise,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.0,0.0,,0.33333333333333337,0.33333333333333337,1.0,0.6666666666666667
A10,Summarise,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.6666666666666667,1.0
A10,Summarise,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,1.0,0.6666666666666667,1.0,0.0,0.6666666666666667,0.33333333333333337,0.33333333333333337
A12,Summarise,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.0,0.6666666666666667,1.0,0.33333333333333337,0.0,0.0,0.0,0.0
A12,Summarise,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.33333333333333337
A12,Summarise,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.6666666666666667,1.0,1.0,0.6666666666666667,1.0
A12,Summarise,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,1.0,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667
A15,Interpret,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,1.0,0.6666666666666667,1.0,0.0,0.33333333333333337,0.6666666666666667,0.6666666666666667
A15,Interpret,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,0.0,0.33333333333333337,0.0,0.0,0.33333333333333337,0.6666666666666667,0.0,0.33333333333333337
A15,Interpret,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,0.6666666666666667,0.33333333333333337,,0.6666666666666667,0.0,0.33333333333333337,1.0
A15,Interpret,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0
A18,Interpret,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,1.0,0.0,0.6666666666666667,1.0,1.0,0.6666666666666667,1.0
A18,Interpret,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,0.0,1.0,0.33333333333333337,0.0,0.6666666666666667,0.33333333333333337,0.0
A18,Interpret,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.0,1.0,0.33333333333333337
A18,Interpret,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,0.0,0.6666666666666667,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,0.0,0.6666666666666667
A2,Idea-to-Text,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667
A2,Idea-to-Text,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.0,0.33333333333333337,0.33333333333333337,1.0,0.0,1.0,0.0
A2,Idea-to-Text,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,0.33333333333333337,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337,0.33333333333333337
A2,Idea-to-Text,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,0.0,1.0,1.0,1.0,0.6666666666666667,1.0,0.0,1.0
A4,Idea-to-Text,DeepSeek-R1-0528,a5_Q516tv4jqOpz6G0k2YcD,0.33333333333333337,0.6666666666666667,1.0,0.6666666666666667,0.33333333333333337,1.0,0.0,1.0
A4,Idea-to-Text,Qwen3-235B-A22B-2507,a5_Q516tv4jqOpz6G0k2YcD,0.6666666666666667,0.0,0.0,0.33333333333333337,1.0,0.33333333333333337,1.0,0.0
A4,Idea-to-Text,gemini-2.5-flash,a5_Q516tv4jqOpz6G0k2YcD,1.0,0.33333333333333337,0.33333333333333337,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
A4,Idea-to-Text,gemini-2.5-pro,a5_Q516tv4jqOpz6G0k2YcD,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.33333333333333337,0.33333333333333337
