scope,evaluator_id,group,task_type,criterion,std_beta,N,note
ALL,ALL,ALL,ALL,Constructiveness,0.2687637784105552,264,
ALL,ALL,ALL,ALL,Coherence,0.2451219982714435,264,
ALL,ALL,ALL,ALL,Fluency,0.22876883908517215,264,
EVALUATOR,a1,A,ALL,Coherence,0.7496911128542305,21,
EVALUATOR,a1,A,ALL,Fluency,0.3441867013220501,21,
EVALUATOR,a1,A,ALL,Constructiveness,0.13204356572167858,21,
EVALUATOR,a2,A,ALL,Coherence,1.0142261101603853,16,
EVALUATOR,a2,A,ALL,Fluency,0.5205476947036034,16,
EVALUATOR,a2,A,ALL,Motivational,0.12686240758305195,16,
EVALUATOR,a3,A,ALL,Constructiveness,0.5838486907329894,24,
EVALUATOR,a3,A,ALL,Coherence,0.22581481947640036,24,
EVALUATOR,a3,A,ALL,Motivational,0.18605008900917194,24,
EVALUATOR,a4,A,ALL,Coherence,0.402542678587659,14,
EVALUATOR,a4,A,ALL,Fluency,0.37914808615474865,14,
EVALUATOR,a4,A,ALL,Constructiveness,0.31723912685611383,14,
EVALUATOR,a5,A,ALL,Sentiment,0.8091088928427185,22,
EVALUATOR,a5,A,ALL,Accuracy,0.2121972427058394,22,
EVALUATOR,a5,A,ALL,Conciseness,0.18822654176370537,22,
EVALUATOR,b1,B,ALL,Coherence,0.978841134054193,22,
EVALUATOR,b1,B,ALL,Constructiveness,0.42537496306003314,22,
EVALUATOR,b1,B,ALL,Motivational,0.15068983945628517,22,
EVALUATOR,b2,B,ALL,Constructiveness,0.5418349936336851,16,
EVALUATOR,b2,B,ALL,Coherence,0.3590843701411095,16,
EVALUATOR,b2,B,ALL,Conciseness,0.29110248347069567,16,
EVALUATOR,b3,B,ALL,Constructiveness,0.9973741876199658,17,
EVALUATOR,b3,B,ALL,Fluency,0.265484497426434,17,
EVALUATOR,b3,B,ALL,Sentiment,0.13933913948389784,17,
EVALUATOR,b4,B,ALL,Conciseness,0.48261927093050966,18,
EVALUATOR,b4,B,ALL,Motivational,0.31186206470682254,18,
EVALUATOR,b4,B,ALL,Fluency,0.3027885933452057,18,
EVALUATOR,b5,B,ALL,Coherence,0.43629960051813493,20,
EVALUATOR,b5,B,ALL,Sentiment,0.3889690619076232,20,
EVALUATOR,b5,B,ALL,Constructiveness,0.38154589560519453,20,
EVALUATOR,c1,C,ALL,Coherence,0.666786784872461,19,
EVALUATOR,c1,C,ALL,Constructiveness,0.3047678827116793,19,
EVALUATOR,c1,C,ALL,Conciseness,0.2765226382967886,19,
EVALUATOR,c2,C,ALL,Fluency,,8,insufficient_data
EVALUATOR,c2,C,ALL,Coherence,,8,insufficient_data
EVALUATOR,c2,C,ALL,Conciseness,,8,insufficient_data
EVALUATOR,c3,C,ALL,Fluency,0.5178673313156015,17,
EVALUATOR,c3,C,ALL,Sentiment,0.3368151237955007,17,
EVALUATOR,c3,C,ALL,Motivational,0.2404434117828784,17,
EVALUATOR,c4,C,ALL,Accuracy,0.8740103892811808,16,
EVALUATOR,c4,C,ALL,Constructiveness,0.4765805514840404,16,
EVALUATOR,c4,C,ALL,Motivational,0.14739928919089512,16,
EVALUATOR,c5,C,ALL,Accuracy,0.9200174799369067,14,
EVALUATOR,c5,C,ALL,Fluency,0.4538924528925349,14,
EVALUATOR,c5,C,ALL,Coherence,0.0012764342919988868,14,
EVALUATOR_TASK,a1,A,Idea-to-Text,Fluency,,6,insufficient_data
EVALUATOR_TASK,a1,A,Idea-to-Text,Coherence,,6,insufficient_data
EVALUATOR_TASK,a1,A,Idea-to-Text,Conciseness,,6,insufficient_data
EVALUATOR_TASK,a2,A,Idea-to-Text,Fluency,,5,insufficient_data
EVALUATOR_TASK,a2,A,Idea-to-Text,Coherence,,5,insufficient_data
EVALUATOR_TASK,a2,A,Idea-to-Text,Conciseness,,5,insufficient_data
EVALUATOR_TASK,a3,A,Idea-to-Text,Fluency,,8,insufficient_data
EVALUATOR_TASK,a3,A,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,a3,A,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,a4,A,Idea-to-Text,Fluency,,3,insufficient_data
EVALUATOR_TASK,a4,A,Idea-to-Text,Coherence,,3,insufficient_data
EVALUATOR_TASK,a4,A,Idea-to-Text,Conciseness,,3,insufficient_data
EVALUATOR_TASK,a5,A,Idea-to-Text,Fluency,,8,insufficient_data
