question_id,model_name,n,wins,mean_rank,median_rank,level_2
Q01,Qwen,6,4,1.5,1.0,2
Q01,Qwen,6,4,1.5,1.0,3
Q01,Qwen,6,4,1.5,1.0,4
Q01,Qwen,6,4,1.5,1.0,1
Q01,Flash,6,1,2.3333333333333335,2.5,2
Q01,Flash,6,1,2.3333333333333335,2.5,3
Q01,Flash,6,1,2.3333333333333335,2.5,4
Q01,Flash,6,1,2.3333333333333335,2.5,1
Q01,Gemini,6,1,2.6666666666666665,2.5,2
Q01,Gemini,6,1,2.6666666666666665,2.5,3
Q01,Gemini,6,1,2.6666666666666665,2.5,4
Q01,Gemini,6,1,2.6666666666666665,2.5,1
Q01,DeepSeek,6,0,3.5,4.0,2
Q01,DeepSeek,6,0,3.5,4.0,3
Q01,DeepSeek,6,0,3.5,4.0,4
Q01,DeepSeek,6,0,3.5,4.0,1
Q02,Qwen,6,4,1.5,1.0,2
Q02,Qwen,6,4,1.5,1.0,3
Q02,Qwen,6,4,1.5,1.0,4
Q02,Qwen,6,4,1.5,1.0,1
Q02,Flash,6,1,2.5,2.5,2
Q02,Flash,6,1,2.5,2.5,3
Q02,Flash,6,1,2.5,2.5,4
Q02,Flash,6,1,2.5,2.5,1
Q02,DeepSeek,6,1,2.8333333333333335,3.0,2
Q02,DeepSeek,6,1,2.8333333333333335,3.0,3
Q02,DeepSeek,6,1,2.8333333333333335,3.0,4
Q02,DeepSeek,6,1,2.8333333333333335,3.0,1
Q02,Gemini,6,0,3.1666666666666665,3.5,2
Q02,Gemini,6,0,3.1666666666666665,3.5,3
Q02,Gemini,6,0,3.1666666666666665,3.5,4
Q02,Gemini,6,0,3.1666666666666665,3.5,1
Q03,Gemini,6,3,1.5,1.5,2
Q03,Gemini,6,3,1.5,1.5,3
Q03,Gemini,6,3,1.5,1.5,4
Q03,Gemini,6,3,1.5,1.5,1
Q03,DeepSeek,6,3,1.8333333333333333,1.5,2
