task_id,question_id,task_type,criterion,model_name,candidate_index,rank,evaluator
C13,Q01,Interpret,Fluency,Qwen,1,1,C_V1
C13,Q01,Interpret,Fluency,Flash,4,2,C_V1
C13,Q01,Interpret,Fluency,Gemini,3,3,C_V1
C13,Q01,Interpret,Fluency,DeepSeek,2,4,C_V1
C13,Q02,Interpret,Coherence,Qwen,2,1,C_V1
C13,Q02,Interpret,Coherence,Flash,4,2,C_V1
C13,Q02,Interpret,Coherence,Gemini,3,3,C_V1
C13,Q02,Interpret,Coherence,DeepSeek,1,4,C_V1
C13,Q03,Interpret,Conciseness,Gemini,3,1,C_V1
C13,Q03,Interpret,Conciseness,DeepSeek,1,2,C_V1
C13,Q03,Interpret,Conciseness,Qwen,4,3,C_V1
C13,Q03,Interpret,Conciseness,Flash,2,4,C_V1
C13,Q04,Interpret,Accuracy,Qwen,2,1,C_V1
C13,Q04,Interpret,Accuracy,Flash,4,2,C_V1
C13,Q05,Interpret,Sentiment match,Qwen,4,1,C_V1
C13,Q05,Interpret,Sentiment match,Gemini,1,2,C_V1
C13,Q05,Interpret,Sentiment match,Flash,2,3,C_V1
C13,Q05,Interpret,Sentiment match,DeepSeek,3,4,C_V1
C13,Q06,Interpret,Motivational tone,Qwen,3,1,C_V1
C13,Q06,Interpret,Motivational tone,Flash,1,2,C_V1
C13,Q06,Interpret,Motivational tone,DeepSeek,2,3,C_V1
C13,Q06,Interpret,Motivational tone,Gemini,4,4,C_V1
C13,Q07,Interpret,Constructiveness,Qwen,4,1,C_V1
C13,Q07,Interpret,Constructiveness,DeepSeek,2,2,C_V1
C13,Q07,Interpret,Constructiveness,Flash,3,3,C_V1
C13,Q07,Interpret,Constructiveness,Gemini,1,4,C_V1
C13,Q08,Interpret,Final choice,Qwen,3,1,C_V1
C13,Q08,Interpret,Final choice,Flash,2,2,C_V1
C13,Q08,Interpret,Final choice,DeepSeek,4,3,C_V1
C13,Q08,Interpret,Final choice,Gemini,1,4,C_V1
C14,Q01,Interpret,Fluency,Qwen,4,1,C_V1
C14,Q01,Interpret,Fluency,Gemini,1,2,C_V1
C14,Q01,Interpret,Fluency,Flash,2,3,C_V1
C14,Q01,Interpret,Fluency,DeepSeek,3,4,C_V1
C14,Q02,Interpret,Coherence,Qwen,1,1,C_V1
C14,Q02,Interpret,Coherence,Flash,2,2,C_V1
C14,Q02,Interpret,Coherence,DeepSeek,4,3,C_V1
C14,Q02,Interpret,Coherence,Gemini,3,4,C_V1
C14,Q03,Interpret,Conciseness,DeepSeek,4,1,C_V1
C14,Q03,Interpret,Conciseness,Gemini,3,2,C_V1
C14,Q03,Interpret,Conciseness,Flash,2,3,C_V1
C14,Q03,Interpret,Conciseness,Qwen,1,4,C_V1
C14,Q04,Interpret,Accuracy,Flash,1,1,C_V1
C14,Q04,Interpret,Accuracy,Qwen,2,2,C_V1
C14,Q04,Interpret,Accuracy,Gemini,3,3,C_V1
C14,Q04,Interpret,Accuracy,DeepSeek,4,4,C_V1
C14,Q05,Interpret,Sentiment match,Qwen,3,1,C_V1
C14,Q05,Interpret,Sentiment match,Flash,2,2,C_V1
C14,Q05,Interpret,Sentiment match,Gemini,1,3,C_V1
C14,Q05,Interpret,Sentiment match,DeepSeek,4,4,C_V1
C14,Q06,Interpret,Motivational tone,Qwen,3,1,C_V1
C14,Q06,Interpret,Motivational tone,Flash,1,2,C_V1
C14,Q06,Interpret,Motivational tone,DeepSeek,2,3,C_V1
C14,Q06,Interpret,Motivational tone,Gemini,4,4,C_V1
C14,Q07,Interpret,Constructiveness,Qwen,3,1,C_V1
C14,Q07,Interpret,Constructiveness,DeepSeek,2,2,C_V1
C14,Q07,Interpret,Constructiveness,Flash,4,3,C_V1
C14,Q07,Interpret,Constructiveness,Gemini,1,4,C_V1
C14,Q08,Interpret,Final choice,Qwen,1,1,C_V1
C14,Q08,Interpret,Final choice,Flash,3,2,C_V1
C14,Q08,Interpret,Final choice,DeepSeek,4,3,C_V1
C14,Q08,Interpret,Final choice,Gemini,2,4,C_V1
C2,Q01,Idea-to-Text,Fluency,Qwen,1,1,C_V1
C2,Q01,Idea-to-Text,Fluency,Flash,4,2,C_V1
C2,Q01,Idea-to-Text,Fluency,DeepSeek,2,3,C_V1
C2,Q01,Idea-to-Text,Fluency,Gemini,3,4,C_V1
C2,Q02,Idea-to-Text,Coherence,DeepSeek,1,1,C_V1
C2,Q02,Idea-to-Text,Coherence,Gemini,4,2,C_V1
C2,Q02,Idea-to-Text,Coherence,Flash,2,3,C_V1
C2,Q02,Idea-to-Text,Coherence,Qwen,3,4,C_V1
C2,Q03,Idea-to-Text,Conciseness,Gemini,2,1,C_V1
C2,Q03,Idea-to-Text,Conciseness,Flash,4,2,C_V1
C2,Q03,Idea-to-Text,Conciseness,Qwen,3,3,C_V1
C2,Q03,Idea-to-Text,Conciseness,DeepSeek,1,4,C_V1
C2,Q04,Idea-to-Text,Accuracy,Qwen,1,1,C_V1
C2,Q04,Idea-to-Text,Accuracy,Flash,2,2,C_V1
C2,Q04,Idea-to-Text,Accuracy,Gemini,3,3,C_V1
C2,Q04,Idea-to-Text,Accuracy,DeepSeek,4,4,C_V1
C2,Q05,Idea-to-Text,Sentiment match,Qwen,4,1,C_V1
C2,Q05,Idea-to-Text,Sentiment match,Flash,1,2,C_V1
C2,Q05,Idea-to-Text,Sentiment match,DeepSeek,3,3,C_V1
C2,Q05,Idea-to-Text,Sentiment match,Gemini,2,4,C_V1
C2,Q06,Idea-to-Text,Motivational tone,Gemini,3,1,C_V1
C2,Q06,Idea-to-Text,Motivational tone,DeepSeek,4,2,C_V1
C2,Q06,Idea-to-Text,Motivational tone,Flash,1,3,C_V1
C2,Q06,Idea-to-Text,Motivational tone,Qwen,2,4,C_V1
C2,Q07,Idea-to-Text,Constructiveness,DeepSeek,1,1,C_V1
C2,Q07,Idea-to-Text,Constructiveness,Gemini,4,2,C_V1
C2,Q07,Idea-to-Text,Constructiveness,Qwen,2,3,C_V1
C2,Q07,Idea-to-Text,Constructiveness,Flash,3,4,C_V1
C2,Q08,Idea-to-Text,Final choice,Qwen,1,1,C_V1
C2,Q08,Idea-to-Text,Final choice,DeepSeek,4,2,C_V1
C2,Q08,Idea-to-Text,Final choice,Flash,3,3,C_V1
C2,Q08,Idea-to-Text,Final choice,Gemini,2,4,C_V1
C3,Q01,Idea-to-Text,Fluency,Flash,2,1,C_V1
C3,Q01,Idea-to-Text,Fluency,Qwen,4,2,C_V1
C3,Q01,Idea-to-Text,Fluency,DeepSeek,1,3,C_V1
C3,Q01,Idea-to-Text,Fluency,Gemini,3,4,C_V1
C3,Q02,Idea-to-Text,Coherence,Qwen,2,1,C_V1
C3,Q02,Idea-to-Text,Coherence,Flash,3,2,C_V1
C3,Q02,Idea-to-Text,Coherence,DeepSeek,1,3,C_V1
C3,Q02,Idea-to-Text,Coherence,Gemini,4,4,C_V1
C3,Q03,Idea-to-Text,Conciseness,Gemini,2,1,C_V1
