"task_id","task_type","model_name","evaluator","Fluency","Coherence","Conciseness","Accuracy","Constructiveness","Final","Motivational","Sentiment"
"A11","Summarise","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0","0","0.666666666666666","0","0.333333333333333","0","0","0.333333333333333"
"A11","Summarise","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","1","0.333333333333333","0","1","1","1","1","1"
"A11","Summarise","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","0.666666666666666","0.666666666666666","0.333333333333333","","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"A11","Summarise","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0.333333333333333","1","1","","0","0.333333333333333","0.333333333333333","0"
"A13","Interpret","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0.666666666666666","0.666666666666666","0.666666666666666","0.5","0.666666666666666","1","0.333333333333333","0.666666666666666"
"A13","Interpret","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","1","0.333333333333333","0.333333333333333","0","0.333333333333333","0.666666666666666","0.666666666666666","0.333333333333333"
"A13","Interpret","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","0","0","0","1","0","0","1","0"
"A13","Interpret","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0.333333333333333","1","1","","1","0.333333333333333","0","1"
"A16","Interpret","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0","0","0.333333333333333","0","0","0","0.333333333333333","0.666666666666666"
"A16","Interpret","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","1","0.333333333333333","0","","0.666666666666666","0.333333333333333","1","0"
"A16","Interpret","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","0.666666666666666","0.666666666666666","0.666666666666666","","0.333333333333333","1","0.666666666666666","0.333333333333333"
"A16","Interpret","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0.333333333333333","1","1","1","1","0.666666666666666","0","1"
"A2","Idea-to-Text","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0","0.333333333333333","0.666666666666666","","0.666666666666666","1","1","0.666666666666666"
"A2","Idea-to-Text","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","0.666666666666666","0","0","","0.333333333333333","0","0.333333333333333","0"
"A2","Idea-to-Text","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","1","0.666666666666666","0.333333333333333","","0","0.666666666666666","0.666666666666666","0.333333333333333"
"A2","Idea-to-Text","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0.333333333333333","1","1","1","1","0.333333333333333","0","1"
"A3","Idea-to-Text","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0.666666666666666","0.666666666666666","0.333333333333333","0","1","1","1","0"
"A3","Idea-to-Text","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","0.333333333333333","0.333333333333333","0.666666666666666","","0.333333333333333","0.333333333333333","0.666666666666666","0.666666666666666"
"A3","Idea-to-Text","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","1","0","0","","0","0","0","0.333333333333333"
"A3","Idea-to-Text","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0","1","1","1","0.666666666666666","0.666666666666666","0.333333333333333","1"
"A8","Summarise","DeepSeek-R1-0528","a4_d8e1b23f7e45f08c9132","0","0.333333333333333","0.666666666666666","0.333333333333333","0.333333333333333","0.333333333333333","0","0"
"A8","Summarise","Qwen3-235B-A22B-2507","a4_d8e1b23f7e45f08c9132","1","1","1","0","1","1","1","0.333333333333333"
"A8","Summarise","gemini-2.5-flash","a4_d8e1b23f7e45f08c9132","0.666666666666666","0.666666666666666","0","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666","0.666666666666666"
"A8","Summarise","gemini-2.5-pro","a4_d8e1b23f7e45f08c9132","0.333333333333333","0","0.333333333333333","1","0","0","0.333333333333333","1"
