task_id,question_id,task_type,criterion,DeepSeek,Flash,Gemini,Qwen,evaluator
C16,Q01,Interpret,Fluency,3.0,2.0,4.0,1.0,C_V3
C16,Q02,Interpret,Coherence,1.0,3.0,4.0,2.0,C_V3
C16,Q03,Interpret,Conciseness,1.0,3.0,2.0,4.0,C_V3
C16,Q04,Interpret,Accuracy,1.0,3.0,2.0,,C_V3
C16,Q05,Interpret,Sentiment match,2.0,3.0,1.0,4.0,C_V3
C16,Q06,Interpret,Motivational tone,2.0,3.0,4.0,1.0,C_V3
C16,Q07,Interpret,Constructiveness,2.0,1.0,3.0,4.0,C_V3
C16,Q08,Interpret,Final choice,4.0,2.0,3.0,1.0,C_V3
C18,Q01,Interpret,Fluency,4.0,3.0,1.0,2.0,C_V3
C18,Q02,Interpret,Coherence,4.0,2.0,3.0,1.0,C_V3
C18,Q03,Interpret,Conciseness,2.0,4.0,1.0,3.0,C_V3
C18,Q04,Interpret,Accuracy,,1.0,,2.0,C_V3
C18,Q05,Interpret,Sentiment match,4.0,1.0,2.0,3.0,C_V3
C18,Q06,Interpret,Motivational tone,4.0,1.0,3.0,2.0,C_V3
C18,Q07,Interpret,Constructiveness,1.0,2.0,3.0,4.0,C_V3
C18,Q08,Interpret,Final choice,3.0,1.0,4.0,2.0,C_V3
C2,Q01,Idea-to-Text,Fluency,3.0,4.0,2.0,1.0,C_V3
C2,Q02,Idea-to-Text,Coherence,1.0,3.0,2.0,4.0,C_V3
C2,Q03,Idea-to-Text,Conciseness,3.0,2.0,1.0,4.0,C_V3
C2,Q04,Idea-to-Text,Accuracy,,,2.0,1.0,C_V3
C2,Q05,Idea-to-Text,Sentiment match,2.0,4.0,3.0,1.0,C_V3
C2,Q06,Idea-to-Text,Motivational tone,2.0,4.0,1.0,3.0,C_V3
C2,Q07,Idea-to-Text,Constructiveness,1.0,4.0,2.0,3.0,C_V3
C2,Q08,Idea-to-Text,Final choice,1.0,2.0,3.0,4.0,C_V3
C5,Q01,Idea-to-Text,Fluency,1.0,3.0,2.0,4.0,C_V3
C5,Q02,Idea-to-Text,Coherence,3.0,4.0,1.0,2.0,C_V3
C5,Q03,Idea-to-Text,Conciseness,3.0,4.0,1.0,2.0,C_V3
C5,Q04,Idea-to-Text,Accuracy,2.0,,3.0,1.0,C_V3
C5,Q05,Idea-to-Text,Sentiment match,3.0,4.0,2.0,1.0,C_V3
C5,Q06,Idea-to-Text,Motivational tone,1.0,3.0,2.0,4.0,C_V3
C5,Q07,Idea-to-Text,Constructiveness,2.0,1.0,4.0,3.0,C_V3
C5,Q08,Idea-to-Text,Final choice,2.0,4.0,1.0,3.0,C_V3
C7,Q01,Summarise,Fluency,4.0,2.0,1.0,3.0,C_V3
C7,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V3
C7,Q03,Summarise,Conciseness,4.0,3.0,1.0,2.0,C_V3
C7,Q04,Summarise,Accuracy,,2.0,,1.0,C_V3
C7,Q05,Summarise,Sentiment match,4.0,2.0,1.0,3.0,C_V3
C7,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,C_V3
C7,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V3
C7,Q08,Summarise,Final choice,4.0,3.0,2.0,1.0,C_V3
C9,Q01,Summarise,Fluency,4.0,1.0,2.0,3.0,C_V3
C9,Q02,Summarise,Coherence,4.0,2.0,3.0,1.0,C_V3
C9,Q03,Summarise,Conciseness,1.0,3.0,2.0,4.0,C_V3
C9,Q04,Summarise,Accuracy,2.0,,1.0,,C_V3
C9,Q05,Summarise,Sentiment match,4.0,1.0,2.0,3.0,C_V3
C9,Q06,Summarise,Motivational tone,4.0,2.0,3.0,1.0,C_V3
C9,Q07,Summarise,Constructiveness,4.0,2.0,3.0,1.0,C_V3
C9,Q08,Summarise,Final choice,4.0,1.0,3.0,2.0,C_V3
